tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
106863,62,0,0,0,0,1,1,109,1,passed
115963,52,0,0,0,0,1,2,111,2,passed
125041,9,0,0,0,0,4,2,137,2,passed
125500,84,0,8,1,0,11,1,125,1,passed
126525,2,0,0,0,0,1,1,115,1,passed
131766,4,0,0,0,0,1,1,116,1,passed
135079,50,0,0,0,0,2,1,125,1,passed
140494,2,0,0,0,0,1,1,118,1,passed
153111,11,0,0,0,0,2,3,135,3,passed
156792,6,0,0,0,0,1,1,121,1,passed
168484,4,0,0,0,0,1,2,122,2,passed
178535,28,0,0,0,0,2,2,132,2,passed
185999,2,0,0,0,0,1,1,126,1,failed
187642,6,0,0,0,0,1,1,127,1,failed
194276,2,0,0,0,0,1,1,128,1,failed
196401,2,0,0,0,0,1,1,129,1,failed
198590,2,0,0,0,0,1,1,130,1,failed
204801,6,0,0,0,0,1,2,131,2,passed
212413,56,0,0,0,0,1,1,133,1,passed
215577,4,0,0,0,0,1,1,134,1,passed
223690,2,0,0,0,0,1,1,135,1,passed
230170,2,0,0,0,0,1,1,136,1,passed
233994,2,0,0,0,0,1,1,137,1,passed
234875,2,0,0,0,0,1,1,138,1,passed
236266,2,0,0,0,0,1,1,139,1,passed
240902,6,0,0,0,0,1,1,140,1,failed
240975,6,0,0,0,0,1,1,141,1,passed
245846,2,0,0,0,0,1,1,142,1,passed
248470,2,0,0,0,0,1,1,143,1,passed
253181,2,0,0,0,0,1,1,144,1,passed
267924,2,0,0,0,0,1,1,145,1,passed
268907,0,0,0,0,0,1,1,12,1,failed
269237,22,0,0,0,0,2,1,154,1,failed
270498,0,0,0,0,0,1,1,13,1,failed
270751,22,0,0,0,0,2,1,155,1,passed
283390,2,0,0,0,0,1,1,148,1,passed
287689,52,0,0,0,0,3,2,157,2,passed
298791,2,0,0,0,0,1,1,151,1,passed
305291,2,0,0,0,0,1,1,152,1,passed
306446,6,0,0,0,0,2,1,161,1,passed
320712,54,0,0,0,0,1,1,154,1,passed
320785,6,0,0,0,0,2,1,163,1,passed
325397,2,0,0,0,0,1,1,156,1,passed
326224,52,0,0,0,0,1,1,157,1,passed
337080,22,0,0,0,0,2,3,175,3,passed
341151,37,0,0,0,0,2,3,178,3,passed
349797,0,0,0,0,0,1,1,14,1,passed
350122,2,0,0,0,0,1,1,161,1,passed
350381,2,0,0,0,0,1,1,162,1,passed
361574,2,0,0,0,0,1,1,163,1,passed
363351,6,0,0,0,0,2,2,36,2,passed
381151,12,0,0,0,0,2,3,187,3,passed
399276,9,0,0,0,0,2,2,174,2,passed
411620,2,0,0,0,0,1,1,168,1,passed
418304,21,0,0,0,0,1,2,25,2,passed
419201,44,0,20,17,1,13,2,222,2,passed
419208,5,0,0,0,0,1,1,28,1,passed
419215,6,0,0,0,0,1,1,29,1,passed
419222,0,0,0,0,0,2,1,7,1,passed
419229,0,0,0,0,0,4,1,1,1,passed
419263,9,0,0,3,2,9,1,185,1,passed
422157,2,0,0,0,0,5,2,172,2,passed
422205,0,0,0,0,0,3,1,15,1,passed
422293,0,0,0,0,0,6,1,11,1,passed
422371,0,0,0,0,0,7,1,19,1,passed
422463,0,0,0,2,0,8,1,12,1,passed
422854,0,0,0,0,2,2,1,17,1,passed
424489,2,0,0,0,0,1,1,172,1,passed
443874,2,0,0,0,0,1,1,173,1,passed
448815,2,0,0,0,0,1,1,174,1,passed
454104,2,0,0,0,0,1,1,175,1,passed
469862,6,0,0,0,0,2,1,184,1,passed
477974,2,0,0,0,0,1,1,177,1,passed
478343,0,0,0,0,0,1,1,16,1,failed
