tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
2991079,13,0,52,1,0,4,1,64,1,passed
2991337,0,0,0,0,1,0,1,8,1,passed
2991342,0,0,0,0,1,0,1,9,1,passed
2991614,3,0,0,0,0,1,1,36,1,passed
2991685,2,0,0,0,0,1,1,37,1,passed
2991690,2,0,0,0,0,1,1,38,1,passed
3018303,49,0,120,0,0,6,1,114,1,passed
3020059,341,0,452,5,0,8,1,143,1,passed
3022548,10,0,41,0,0,3,2,57,2,passed
3022618,10,0,41,0,0,3,1,59,1,passed
3022840,20,0,0,0,0,3,1,81,1,passed
3022852,20,0,0,0,0,3,1,84,1,passed
3023150,2,0,0,0,0,2,1,79,1,passed
3042420,0,0,0,0,0,1,1,56,1,passed
3042841,6,0,52,0,0,3,1,86,1,passed
3119942,10,0,0,0,0,1,1,18,1,passed
3119954,10,0,0,0,0,1,1,19,1,passed
3124383,9,0,54,0,0,3,1,67,1,passed
3196805,33,0,0,0,0,1,1,21,1,passed
3214682,2,0,2,0,0,2,1,37,1,passed
3214783,41,0,12,1,0,6,2,131,2,passed
3374308,3,0,14,0,0,3,2,77,2,passed
3374470,5,0,0,0,0,2,1,67,1,passed
3374646,4,0,0,0,0,2,1,102,1,passed
3384547,4,0,0,0,0,2,1,103,1,passed
3392040,5,0,0,0,0,2,1,70,1,passed
3439248,9,0,0,0,0,3,1,109,1,passed
3444465,2,0,0,0,0,2,1,93,1,passed
3479665,33,0,0,0,0,1,1,24,1,passed
3485862,0,0,2,0,0,1,1,3,1,passed
3490391,12,0,31,0,0,5,1,124,1,passed
3617133,0,0,2,0,0,1,1,41,1,passed
3617167,4,0,3,0,0,5,1,150,1,passed
3617193,2,0,0,0,0,2,1,99,1,passed
3726232,0,0,20,0,0,1,1,24,1,passed
3726411,50,0,218,0,0,8,1,160,1,passed
3726435,2,0,0,0,0,2,1,103,1,passed
3778172,49,0,0,0,1,1,1,58,1,passed
3778349,281,0,4,1,1,19,1,119,1,passed
3778499,0,0,0,0,0,1,1,80,1,passed
3782957,422,0,237,2,0,30,1,195,1,passed
3783086,2,0,0,0,0,2,1,114,1,failed
3784567,2,0,0,0,0,2,1,130,1,failed
3788698,2,0,0,0,0,2,1,131,1,passed
3828561,2,0,0,0,0,2,1,111,1,passed
4049319,6,0,0,0,0,1,1,45,1,passed
4049378,2,0,0,0,0,2,1,112,1,passed
4629173,15,0,6,0,0,3,1,16,1,passed
4807312,4,0,0,0,0,3,1,136,1,passed
4828223,3,0,0,0,0,1,1,18,1,passed
4890606,0,0,133,0,0,1,2,7,2,passed
4908603,21,0,143,1,0,2,2,19,2,passed
4908787,10,0,0,0,0,1,1,21,1,passed
4909569,0,0,103,0,0,1,1,9,1,passed
4909634,6,0,0,0,0,1,1,22,1,passed
4910297,0,0,9,0,0,1,1,2,1,passed
4910601,34,0,48,1,0,1,1,24,1,passed
4910670,0,0,0,0,0,1,1,90,1,passed
4921045,74,0,167,1,0,6,12,155,12,passed
4965226,0,0,0,0,0,1,1,94,1,passed
4968191,26,0,117,0,0,4,1,31,1,passed
4968239,0,0,0,0,0,1,1,93,1,passed
4984186,26,0,117,0,0,5,1,130,1,passed
4985529,201,0,224,8,0,5,1,185,1,passed
4986530,2,0,0,0,0,2,1,124,1,passed
4987442,0,0,0,1,0,0,1,0,1,passed
5112196,12,0,0,0,0,1,1,19,1,passed
5112532,12,0,0,0,0,1,1,20,1,passed
5112569,6,0,0,0,0,2,1,58,1,passed
5510921,2,0,0,0,0,1,1,2,1,failed
5512513,0,0,4,0,0,1,1,2,1,failed
5512542,2,0,4,0,0,2,1,4,1,failed
5608626,2,0,0,0,0,1,1,51,1,failed
5609245,2,0,0,0,0,1,1,52,1,failed
5644271,9,0,0,0,0,2,1,59,1,failed
5645694,1,0,21,0,0,3,1,66,1,failed
5645786,4,0,0,0,0,1,1,35,1,failed
5648500,4,0,2,0,0,2,1,41,1,passed
5648583,0,0,0,0,0,1,1,2,1,passed
5658946,3,0,23,0,0,5,1,88,1,passed
5675393,8,0,0,0,0,2,2,68,2,passed
5677259,8,0,0,0,0,2,1,70,1,passed
5678375,7,0,0,0,0,2,1,62,1,passed
6058335,52,0,469,10,0,2,1,91,1,passed
6064145,841,0,1025,27,0,28,1,275,1,passed
6195343,6,0,222,0,0,27,1,123,1,passed
6227723,140,0,629,5,2,68,1,297,1,passed
6229973,2,0,0,0,0,1,1,91,1,passed
6233567,0,0,81,0,0,31,1,158,1,passed
6236264,0,0,99,1,0,16,1,81,1,passed
6236366,0,0,6,0,0,2,1,41,1,passed
6257106,0,0,56,0,0,8,1,57,1,passed
