tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
31856904,54,1,3,2,0,7,5,13,5,passed
31857740,70,0,0,0,2,5,3,36,3,passed
31860781,91,0,7,2,0,6,2,40,2,passed
31915907,4,0,0,0,0,1,1,2,1,passed
31943182,0,0,0,1,0,0,1,0,1,passed
31944231,0,0,0,0,0,1,1,1,1,passed
31945841,9,0,65,0,0,2,1,27,1,passed
32028464,57,0,16,0,0,3,3,29,3,passed
32028560,24,0,0,0,0,3,1,20,1,passed
32059419,302,0,672,3,5,11,13,50,13,failed
32243193,2,0,2,0,0,2,1,20,1,passed
32262193,1,0,183,0,0,2,1,6,1,passed
32271189,157,0,0,0,0,1,1,2,1,passed
32275373,21,0,0,0,0,1,1,3,1,passed
32277704,66,0,0,0,0,7,1,59,1,passed
32279196,31,0,0,0,0,1,1,4,1,passed
32280874,22,0,0,0,0,1,1,5,1,passed
32347646,10,0,0,0,0,4,1,27,1,passed
32429087,10,0,35,2,0,1,1,20,1,passed
32429278,14,0,2,0,0,4,1,45,1,passed
32429641,8,0,5,0,0,4,1,50,1,passed
32432970,0,0,739,1,0,5,4,9,4,passed
32433384,38,0,0,0,0,1,2,7,2,passed
32433730,21,0,0,0,0,2,2,7,2,passed
32466499,130,0,4,0,0,4,2,23,2,passed
32467180,31,0,35,2,0,3,1,30,1,passed
32467450,15,0,2,0,0,5,1,52,1,passed
32475767,84,0,117,8,0,4,5,54,5,passed
32482847,2,0,0,0,0,1,1,6,1,passed
32483881,28,0,0,0,0,1,1,13,1,passed
32559034,97,0,37,2,0,6,1,66,1,passed
32635419,32,1,0,0,0,3,1,23,1,failed
32636987,0,0,543,1,0,3,1,12,1,passed
32637203,169,0,704,11,0,11,2,87,2,passed
32639356,0,0,16,0,0,1,1,6,1,passed
32665592,4,0,7,0,0,3,1,29,1,passed
32666963,0,0,0,0,0,1,1,3,1,passed
32667039,165,0,547,1,0,7,1,53,1,failed
