tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
9410632,61,0,431,1,0,6,2,61,2,passed
9410699,179,0,0,0,0,6,1,87,1,passed
9660610,10,0,0,0,0,1,1,59,1,passed
9661353,0,0,0,0,0,1,1,30,1,passed
9661363,0,0,0,0,0,1,1,31,1,passed
10277660,82,0,0,0,0,2,1,44,1,passed
11782245,46,0,0,0,0,1,1,61,1,passed
11910090,0,0,0,0,0,1,1,35,1,passed
11910314,0,0,0,0,0,1,1,36,1,passed
11910318,0,0,0,0,0,1,1,37,1,passed
12232216,2,0,0,0,0,1,1,10,1,passed
12289989,0,0,127,1,0,0,1,2,1,passed
12796858,27,0,47,0,0,2,1,16,1,passed
12897705,2,0,22,0,0,2,1,19,1,passed
12903327,0,0,12,0,0,1,1,12,1,passed
13286170,2,0,40,0,0,2,3,63,3,passed
14171250,73,0,0,0,0,1,1,62,1,passed
14175997,11,0,2,0,0,4,1,89,1,failed
14176433,0,0,2,0,0,1,1,3,1,passed
14269538,23,0,0,0,0,1,1,35,1,passed
14580287,0,0,0,0,0,1,1,38,1,passed
14791546,1118,0,768,7,0,1,2,39,2,passed
15185703,60,0,0,0,0,1,1,11,1,failed
15226453,1118,0,768,7,0,1,2,39,2,passed
16009076,69,0,0,0,0,2,2,71,2,passed
16256735,38,0,27,0,0,2,1,6,1,passed
16427979,38,0,27,0,0,2,1,7,1,passed
16496253,2,0,32,0,0,2,1,70,1,passed
16496322,2,0,0,0,0,1,1,68,1,passed
16497474,25,0,20,0,0,2,1,72,1,passed
16502446,109,1,192,2,0,1,1,13,1,passed
16819749,10,0,0,0,0,1,1,70,1,passed
17130842,2,0,12,0,0,2,1,40,1,passed
17376978,0,0,19,0,0,1,1,4,1,passed
17415997,60,0,19,0,0,2,1,17,1,passed
17428037,2,0,12,0,0,2,1,41,1,passed
17579794,19,0,0,0,0,1,1,71,1,passed
17870235,0,0,0,0,0,1,1,41,1,passed
18035306,2,0,0,0,0,1,1,16,1,passed
18294456,109,0,192,2,0,1,1,14,1,passed
18353304,5,0,0,0,0,1,1,8,1,passed
19080749,8,0,0,0,0,1,1,72,1,passed
19082732,63,0,0,0,0,2,1,98,1,passed
19339660,0,0,6,0,0,3,2,59,2,passed
20954219,63,0,0,0,0,2,1,99,1,passed
20957213,2927,0,2147,0,0,73,1,233,1,passed
22269302,2927,0,2147,0,0,73,1,234,1,passed
23546931,49,0,53,1,0,2,1,47,1,failed
23629887,3,0,0,0,0,1,1,46,1,passed
23630492,8,0,0,0,0,1,1,47,1,passed
24179501,102,0,53,1,0,3,1,53,1,passed
24297071,0,0,37,0,0,1,1,12,1,passed
25356409,80,0,13,0,0,2,1,80,1,passed
25799369,0,0,37,0,0,1,1,13,1,passed
25872138,0,0,0,0,0,1,1,47,1,passed
29085687,0,0,0,0,0,1,1,7,1,passed
29088617,0,0,0,0,0,1,1,8,1,passed
31046167,2,0,0,0,0,1,1,19,1,passed
31049022,2,0,0,0,0,1,1,20,1,passed
32904154,137,0,0,0,0,2,1,122,1,passed
33076947,9,0,0,0,0,2,1,64,1,passed
33088158,0,0,0,0,0,1,1,51,1,passed
33123255,7,0,0,0,0,1,1,81,1,passed
33123845,51,0,41,0,0,3,1,129,1,passed
35033289,41,0,0,0,0,1,1,49,1,passed
36180809,60,0,22,1,0,2,1,4,1,passed
36379856,41,0,0,0,0,1,1,50,1,passed
40465623,28,0,40,0,0,4,2,91,2,passed
40560047,2,0,18,0,0,2,1,87,1,failed
45066564,22,0,0,0,0,3,2,160,2,passed
47947876,0,0,0,0,0,1,1,52,1,passed
50194947,0,0,0,0,0,1,1,54,1,passed
50194958,0,0,0,0,0,1,1,55,1,passed
51883557,0,0,0,0,0,1,1,56,1,passed
52012547,38,0,15,0,0,2,1,89,1,passed
52044360,2,0,0,0,0,1,1,87,1,passed
52055844,54,0,2,0,0,2,1,89,1,passed
52058499,57,0,2,0,0,2,1,92,1,passed
52184244,10,0,0,0,0,1,1,90,1,passed
52190094,21,0,19,0,0,2,1,95,1,passed
61150521,0,0,0,0,0,1,1,62,1,passed
61151994,0,0,0,0,0,1,1,63,1,passed
61152026,0,0,0,0,0,1,1,64,1,passed
69953451,0,0,0,0,0,2,2,67,2,passed
77199788,31,0,16,0,0,4,1,135,1,passed
77371171,31,0,16,0,0,4,1,136,1,passed
85217901,2,0,0,0,0,1,1,94,1,passed
85226767,2,0,0,0,0,1,1,95,1,passed
88646818,54,0,0,0,0,1,1,96,1,passed
88648882,30,0,0,0,0,1,1,96,1,passed
88997193,18,0,0,0,0,1,1,97,1,passed
88998062,30,0,0,0,0,1,1,99,1,passed
88998082,54,0,0,0,0,1,1,101,1,passed
90184139,8,0,12,0,0,2,1,107,1,passed
95233913,34,0,0,0,0,2,1,19,1,failed
95241442,34,0,0,0,0,2,1,20,1,failed
96817359,0,0,0,0,0,1,1,67,1,failed
96817375,0,0,0,0,0,1,1,68,1,failed
101871633,0,0,0,1,0,0,1,0,1,failed
101895055,0,0,0,0,0,1,1,1,1,failed
117536748,2,0,0,0,0,1,1,18,1,failed
123399405,20,0,15,0,0,2,1,109,1,failed
124456224,7,0,0,0,0,3,1,4,1,failed
127531298,0,0,0,0,0,1,1,70,1,failed
127531305,0,0,0,0,0,1,1,69,1,failed
137852987,4,0,36,0,0,2,1,26,1,failed
137856004,0,0,0,0,0,1,1,71,1,failed
137856027,0,0,0,0,0,1,1,72,1,failed
141767670,7,0,89,0,0,2,5,22,5,failed
142483223,4,0,33,0,0,2,1,29,1,failed
142557253,0,0,0,0,0,1,1,73,1,failed
142557281,0,0,0,0,0,1,1,74,1,failed
143397107,64,0,98,0,0,4,3,27,3,failed
143411293,2,0,2,0,0,2,1,3,1,failed
143412472,62,0,82,0,0,2,1,31,1,failed
147787471,27,0,12,0,0,2,1,33,1,failed
148986966,0,0,0,0,0,1,1,75,1,failed
148986980,0,0,0,0,0,1,1,76,1,failed
