tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
26268127,823,0,369,41,4,5,1,83,1,passed
26268185,1,0,0,0,0,1,1,23,1,passed
26268211,4,0,0,0,0,1,1,24,1,passed
26268223,2,0,0,0,0,1,1,25,1,passed
26268466,1,0,0,0,0,1,1,26,1,passed
26268507,2,0,0,0,0,1,1,2,1,passed
26268638,1,0,0,0,0,1,1,27,1,passed
26268904,5,0,0,0,0,1,1,28,1,passed
26269067,2,0,0,0,0,1,1,29,1,passed
26269107,6,0,0,0,0,1,1,30,1,passed
26270436,1,0,0,0,0,1,1,31,1,passed
26277590,12,0,0,0,0,1,2,33,2,passed
26277669,2,0,0,0,0,1,1,35,1,passed
26278862,2,0,0,0,0,1,1,36,1,passed
26295094,6,0,0,1,0,4,1,20,1,passed
26295210,2,0,0,0,0,1,1,3,1,passed
26303072,2,0,0,0,0,1,1,37,1,passed
26303246,2,0,0,0,0,1,1,38,1,passed
26316395,4,0,0,0,0,1,1,39,1,passed
26319895,10,0,0,0,0,1,1,4,1,passed
26321624,4,0,0,0,0,1,1,40,1,passed
26327760,0,0,0,0,0,1,1,1,1,passed
26333115,2,0,0,0,0,1,1,41,1,passed
26338114,4,0,2,0,0,4,1,14,1,passed
26338319,4,0,2,0,0,4,1,15,1,passed
26338350,2,0,0,0,0,1,1,4,1,passed
26358729,2,0,0,0,0,1,1,42,1,passed
26359717,2,0,0,0,0,1,1,43,1,passed
26359967,4,0,0,0,0,1,1,44,1,passed
26406880,2,0,0,0,0,1,1,45,1,passed
26488136,2,0,0,0,0,1,1,45,1,passed
26488313,4,0,7,0,0,2,1,10,1,passed
26488526,2,0,2,0,0,2,1,13,1,passed
26538052,0,0,3,0,0,1,1,9,1,passed
26600196,4,0,8,0,0,2,1,12,1,passed
26600218,25,0,50,1,0,6,1,36,1,passed
26600360,2,0,0,0,0,1,1,5,1,passed
26989023,31,0,0,0,0,2,1,20,1,passed
26993160,31,0,0,0,0,2,1,21,1,passed
27440279,2,0,0,0,0,1,1,11,1,passed
27454711,2,0,0,0,0,1,1,12,1,passed
27467204,2,0,0,0,0,1,1,6,1,passed
28194938,17,0,9,0,0,4,1,17,1,passed
28247622,18,0,9,0,0,4,1,19,1,passed
28256760,41,0,29,1,0,7,3,34,3,passed
28260583,2,0,0,0,0,1,1,22,1,passed
28273837,8,0,0,0,0,1,1,14,1,passed
28353355,49,0,29,1,0,7,1,42,1,passed
28353422,2,0,0,0,0,1,1,7,1,passed
28355635,1,0,0,0,0,1,1,46,1,passed
28456041,9,0,0,0,0,1,1,46,1,passed
28456174,1,0,0,0,0,1,1,48,1,passed
28465114,4,0,0,0,0,1,1,49,1,passed
28675035,22,0,8,0,0,7,1,81,1,passed
28816386,22,0,14,0,0,7,1,83,1,passed
30217549,33,0,0,4,0,5,3,19,3,failed
30365255,6,0,0,0,0,1,1,4,1,passed
30616176,6,0,0,0,0,1,1,5,1,passed
31634337,20,0,0,0,0,1,1,9,1,passed
31634464,0,0,17,0,0,5,1,29,1,passed
31650594,9,0,32,0,0,4,1,33,1,passed
31767324,44,0,0,1,0,1,1,6,1,passed
32058831,44,0,0,1,0,1,1,7,1,passed
42143653,4,0,0,0,0,2,2,22,2,passed
43886150,0,0,0,0,0,1,1,12,1,passed
43903793,103,0,0,1,0,1,2,12,2,passed
43911401,108,0,0,1,0,1,1,15,1,passed
43911426,108,0,0,1,0,1,1,17,1,passed
43911500,5,0,0,0,0,2,1,19,1,passed
45419479,117,0,2,1,1,8,1,36,1,passed
45584842,116,0,2,1,1,8,1,38,1,passed
45585124,12,0,0,0,0,2,1,16,1,passed
45585219,12,0,0,0,0,1,1,7,1,passed
47016080,2,0,0,0,0,1,1,11,1,passed
62126979,2,0,0,0,0,1,1,16,1,passed
62775206,2,0,0,0,0,1,1,17,1,passed
62954490,11,0,0,0,0,1,1,52,1,passed
63219918,11,0,0,0,0,1,1,53,1,passed
76712246,29,0,8,0,0,4,1,43,1,passed
76713466,29,0,8,0,0,4,1,44,1,passed
76713528,2,0,0,0,0,1,1,12,1,passed
85050505,2,0,0,0,0,1,1,18,1,passed
85469752,2,0,0,0,0,1,1,19,1,passed
85469832,2,0,0,0,0,1,1,13,1,passed
104088223,2,0,0,0,0,1,1,7,1,passed
105198555,2,0,0,0,0,1,1,8,1,passed
105429638,8,0,0,0,0,4,1,93,1,passed
106927317,8,0,0,0,0,4,1,96,1,passed
106927654,2,0,0,0,0,1,1,14,1,passed
115635565,8,0,0,0,0,1,1,4,1,passed
130085067,2,0,0,0,0,1,1,21,1,passed
130134031,2,0,0,0,0,1,1,15,1,passed
