tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
12028970,350,0,0,7,0,29,6,388,6,failed
12291506,0,0,0,0,0,17,1,268,1,failed
14514849,0,0,0,0,0,17,1,270,1,failed
14518908,0,0,0,0,0,1,1,13,1,failed
17232435,0,0,0,0,0,1,1,13,1,failed
17874494,0,0,0,0,0,17,1,270,1,failed
19678744,0,0,0,0,0,1,1,13,1,failed
20622747,23,0,212,1,0,20,4,286,4,failed
60333336,704,0,1,0,3,17,1,313,1,passed
60582707,0,0,0,0,0,2,1,42,1,passed
60603159,2,0,0,0,0,1,1,29,1,passed
60608981,38,0,0,0,0,4,1,108,1,passed
60704421,2,0,0,0,0,1,1,9,1,passed
60750745,6,2,0,0,0,1,2,21,2,passed
60779948,4,0,0,0,0,1,1,23,1,passed
60781244,0,0,25,0,0,1,1,8,1,passed
60839062,0,0,92,0,0,45,1,290,1,passed
60877908,12,0,27,0,0,4,1,74,1,passed
60979049,52,0,6,0,0,4,1,41,1,passed
61070795,5,0,0,0,0,2,1,17,1,passed
61374594,55,0,6,0,0,5,1,43,1,passed
61390428,7,0,20,0,0,4,1,141,1,passed
61402291,0,0,4,0,0,1,1,64,1,passed
61404813,96,0,854,19,5,138,2,1872,2,failed
61405518,0,0,0,0,0,1,1,83,1,failed
61529765,0,0,30,0,0,7,1,87,1,failed
61549546,11,0,3,0,0,4,1,72,1,failed
61553231,108,0,885,19,5,145,2,1882,2,failed
61714493,4,0,83,0,0,6,1,58,1,failed
62144434,0,0,0,0,0,1,1,9,1,failed
62153142,4,0,83,0,0,7,1,68,1,failed
62155930,90,0,10,0,0,6,2,112,2,failed
62160686,4,0,81,0,0,6,1,61,1,failed
62161716,4,0,87,0,0,9,1,112,1,failed
62165460,0,0,4,0,0,1,1,29,1,failed
62272534,21,0,0,0,0,1,1,13,1,passed
62296012,21,0,0,0,0,1,1,14,1,passed
62323551,0,0,0,0,0,1,1,43,1,failed
62332916,0,0,0,0,0,1,1,44,1,passed
62449828,0,0,0,4,0,0,1,0,1,failed
62471581,31,0,6,0,0,14,1,554,1,passed
62489490,0,0,0,0,0,3,1,220,1,passed
62780198,0,0,0,0,0,1,1,113,1,passed
63066608,0,0,5,0,0,1,1,14,1,failed
63073704,0,0,0,0,0,1,1,7,1,failed
63076257,0,0,0,0,0,28,1,559,1,failed
63096954,0,0,5,0,0,5,1,188,1,failed
63218177,5,0,0,0,0,1,1,11,1,failed
63256148,227,0,0,0,0,3,2,24,2,failed
63270215,228,0,0,0,0,3,1,26,1,failed
63273267,0,0,0,0,0,1,1,24,1,passed
63354916,228,0,8,0,1,40,1,823,1,passed
63364605,105,0,2,0,0,8,1,159,1,passed
63393430,245,0,42,0,0,24,1,710,1,passed
63397050,0,0,0,0,0,1,1,152,1,failed
63399930,0,0,0,0,0,1,1,53,1,passed
63505440,0,0,0,0,0,1,1,54,1,passed
63541807,7,0,0,0,0,2,2,24,2,passed
63545895,102,0,0,0,0,1,1,15,1,passed
63557834,6,0,0,0,0,1,1,16,1,failed
63564283,0,0,0,0,0,2,1,6,1,failed
63568755,115,0,0,0,0,5,1,37,1,passed
63589880,10,0,158,0,0,7,1,647,1,passed
63597972,32,0,0,0,0,6,1,166,1,passed
63692904,48,0,0,0,0,2,2,32,2,passed
63694405,1,0,0,0,0,1,1,19,1,passed
63705229,23,0,0,0,0,1,2,28,2,passed
63727833,13,0,117,1,0,1,1,55,1,passed
63985674,83,0,117,1,0,3,1,92,1,passed
64619824,19,0,0,0,0,6,1,180,1,passed
64619977,0,0,0,1,0,0,1,0,1,passed
64634761,0,0,0,0,0,1,1,4,1,failed
64660721,242,0,394,2,1,13,1,638,1,passed
64833145,134,0,0,1,0,1,1,38,1,failed
64948506,0,0,0,0,0,2,1,24,1,passed
65002826,0,0,0,0,0,2,1,25,1,passed
65006315,26,0,0,0,0,7,1,82,1,passed
65100763,43,0,0,0,0,2,1,38,1,passed
65170117,43,0,0,0,0,2,1,39,1,failed
65171700,0,0,55,0,0,1,1,1,1,passed
65325510,110,0,55,0,0,6,1,202,1,passed
65333310,41,0,106,0,0,7,1,84,1,passed
65345313,0,0,0,0,0,1,1,7,1,passed
65494965,131,0,0,2,0,1,1,70,1,passed
65495018,131,0,0,2,0,2,1,79,1,failed
66126313,0,0,0,0,0,1,1,117,1,failed
66144152,0,0,167,0,0,6,1,65,1,passed
66263413,0,0,0,1,0,1,1,44,1,passed
66304045,0,0,0,1,0,1,1,45,1,passed
66450785,0,0,51,0,0,2,1,16,1,passed
66450936,0,0,0,0,0,1,1,4,1,failed
66595836,242,0,394,2,1,13,1,638,1,failed
66617936,0,0,0,0,0,2,1,16,1,passed
66619364,0,0,0,0,0,1,1,28,1,failed
66627426,544,0,418,4,0,44,1,784,1,passed
66813686,1165,0,902,1,3,33,1,797,1,failed
66901111,4,0,0,0,0,1,1,25,1,passed
66906171,1165,0,902,1,3,33,1,797,1,passed
66913111,2,0,0,0,0,1,1,8,1,passed
66918832,1268,0,1046,1,3,44,2,1095,2,failed
66936127,2,0,4,0,0,2,1,115,1,failed
66956265,1268,0,1101,1,3,42,1,1082,1,failed
66958179,0,0,0,3,1,4,1,41,1,failed
66962360,6,0,4,0,0,2,1,118,1,failed
67127790,42,0,0,3,1,8,2,500,2,passed
67149562,0,0,0,0,0,1,1,42,1,passed
67205924,0,0,0,0,0,1,1,43,1,passed
67423200,407,0,0,0,0,2,1,45,1,passed
67437503,0,0,0,0,0,1,1,41,1,passed
67446827,0,0,0,0,0,1,1,42,1,passed
68067646,528,0,307,0,0,13,1,420,1,failed
68078482,528,0,307,0,0,13,1,421,1,failed
68094687,23,0,81,1,0,1,1,74,1,passed
68250965,576,0,388,1,0,14,1,475,1,failed
68397628,0,0,5,0,0,3,1,192,1,passed
68398500,16,0,0,0,0,4,1,35,1,passed
68521333,16,0,0,0,0,4,1,36,1,passed
68651244,927,0,408,2,1,4,1,145,1,failed
68872492,0,0,0,0,0,1,1,119,1,failed
68874466,0,0,0,0,0,1,1,120,1,failed
68892319,75,0,2,0,0,6,1,94,1,failed
69049929,28,0,231,0,0,3,1,112,1,failed
69052404,0,0,254,1,0,0,1,0,1,failed
69055715,0,0,1595,0,0,2,1,6,1,failed
69058243,0,0,2,0,0,0,1,2,1,failed
69058927,0,0,2,0,0,1,1,3,1,failed
69061592,0,0,0,0,0,0,1,0,1,passed
69386204,280,0,28,0,0,2,1,42,1,failed
69783117,1377,0,2543,4,0,36,1,907,1,passed
69786472,2,0,0,0,0,1,1,42,1,failed
69794292,0,0,0,2,0,0,1,0,1,failed
69795760,0,0,0,0,0,2,1,1,1,failed
69797636,0,0,0,0,0,2,1,2,1,failed
69956241,0,0,0,0,0,1,1,9,1,failed
70171424,74,0,0,10,0,0,1,0,1,failed
70171428,74,0,0,10,0,0,1,0,1,failed
70323320,7,0,180,0,0,3,1,8,1,failed
70653027,132,0,37,0,0,6,1,400,1,failed
70655895,0,0,3,0,0,1,1,8,1,passed
70817602,1,0,0,0,0,2,1,1,1,passed
70836108,0,0,0,0,0,2,1,3,1,failed
71007541,1003,0,394,0,0,13,1,648,1,failed
71014733,0,0,31,0,0,2,1,30,1,passed
71117174,0,0,0,0,0,1,1,31,1,passed
71266230,22,0,0,1,0,4,1,2,1,passed
71340995,0,0,0,0,0,3,1,15,1,passed
71460276,0,0,0,1,0,3,1,6,1,passed
71461581,0,0,0,0,0,2,1,6,1,passed
71464287,27,0,0,1,0,0,1,0,1,passed
71466936,0,0,0,1,0,2,1,7,1,failed
71487688,0,0,0,0,0,2,1,8,1,failed
71496239,0,0,0,0,1,4,1,49,1,passed
71497655,0,0,0,0,0,1,1,3,1,passed
71501345,0,0,0,0,0,5,1,84,1,passed
71521755,0,0,0,0,0,2,1,10,1,failed
71522259,0,0,0,0,0,2,1,11,1,passed
71569473,9,0,0,1,0,3,1,3,1,passed
71865583,9,0,0,1,0,5,1,16,1,passed
71999575,0,0,0,0,0,5,1,31,1,passed
72036864,0,0,0,5,1,10,1,112,1,passed
72182365,0,0,0,0,0,3,1,79,1,passed
72205387,0,0,0,0,0,5,1,77,1,passed
72215652,197,0,0,0,0,6,1,568,1,passed
72217176,6,0,0,0,0,3,1,109,1,passed
72218038,0,0,0,0,0,1,1,17,1,failed
72226060,0,0,0,0,0,1,1,19,1,failed
72231502,0,0,0,0,0,1,1,10,1,failed
72232293,0,0,0,0,0,1,1,20,1,passed
72232554,0,0,0,0,0,1,1,21,1,passed
72232609,0,0,0,0,0,1,1,22,1,passed
72233105,0,0,0,0,0,2,1,2,1,passed
72236569,0,0,0,3,0,0,1,0,1,passed
72306777,0,0,0,0,0,1,1,16,1,failed
72323703,0,0,0,0,0,1,1,17,1,passed
72324331,0,0,0,12,2,4,1,80,1,passed
72326060,0,0,0,0,0,2,1,28,1,failed
72337065,0,0,0,0,0,1,1,4,1,passed
72344475,0,0,0,0,0,2,1,29,1,passed
72361590,0,0,0,0,0,1,1,2,1,passed
72366673,0,0,0,0,0,2,1,30,1,passed
72469169,2,0,0,15,2,10,1,100,1,passed
72470382,0,0,0,0,0,2,1,32,1,passed
72473197,0,0,0,0,0,2,1,33,1,passed
72473620,0,0,0,0,0,2,1,34,1,passed
72474391,0,0,0,0,0,2,1,35,1,passed
72474931,0,0,0,0,0,2,1,36,1,passed
72506293,0,0,0,0,0,2,1,37,1,passed
72517167,0,0,0,0,0,2,1,38,1,passed
72535738,9,0,0,2,0,9,1,25,1,passed
72546793,9,0,0,2,0,9,1,26,1,passed
72547360,22,0,0,0,0,2,1,20,1,passed
73116062,429,0,79,2,0,2,3,90,3,failed
73286269,0,0,0,0,0,2,1,6,1,passed
73465048,9,0,0,0,0,1,1,4,1,passed
73469402,9,0,0,0,0,3,1,12,1,passed
73496520,112,0,0,0,0,2,1,87,1,passed
73821571,9,0,0,0,0,3,1,70,1,passed
73969530,19,0,0,0,0,1,1,89,1,passed
74329035,6,0,0,0,0,1,1,67,1,passed
74339117,2,0,0,0,0,1,1,42,1,passed
74340569,0,0,0,0,0,3,1,32,1,passed
74459153,2,0,0,0,0,1,1,43,1,passed
74597900,227,0,0,0,0,3,1,54,1,failed
74731105,227,0,0,0,0,3,1,55,1,failed
74979938,244,0,0,1,0,3,1,57,1,passed
74980414,0,0,0,0,0,2,1,69,1,passed
74980837,390,0,479,0,0,12,1,57,1,passed
74991040,0,0,0,0,0,1,1,30,1,failed
74994366,5,0,0,0,0,1,1,15,1,failed
75147209,0,0,12,0,0,1,1,28,1,failed
75164127,0,0,13,0,0,1,1,29,1,failed
75168957,0,0,3,0,0,1,1,30,1,failed
75498777,0,0,9,0,0,1,1,31,1,failed
75504872,0,0,0,0,0,1,1,34,1,failed
75525978,211,0,0,2,0,5,1,134,1,failed
75630045,0,0,3,0,0,1,1,32,1,failed
76171206,211,0,3,2,0,7,1,197,1,failed
76587166,0,0,0,0,0,2,1,48,1,failed
76710802,0,0,246,0,0,17,1,203,1,passed
76727263,104,0,57,1,0,1,1,309,1,failed
76994840,0,0,246,0,0,17,1,204,1,passed
77222227,14,0,0,7,0,0,2,0,2,passed
77754324,15,0,17,1,0,4,1,158,1,passed
78084305,1262,0,17,10,0,9,1,352,1,failed
78098443,20,0,17,1,0,5,1,186,1,failed
78130025,0,0,0,0,0,1,1,122,1,failed
78130824,0,0,0,0,0,1,1,45,1,failed
79369548,0,0,0,0,10,8,1,6,1,failed
79725695,0,0,0,0,0,1,1,9,1,failed
79764716,2,0,457,0,0,43,1,445,1,passed
79794294,520,0,0,0,0,6,1,40,1,passed
79864773,520,0,0,0,0,6,1,41,1,passed
80375393,0,0,84,0,0,1,1,23,1,passed
80787895,2105,0,0,1,0,1,1,90,1,passed
80901395,0,0,2,0,0,1,1,25,1,failed
80956513,12,0,0,0,0,1,1,27,1,passed
81112700,67,0,0,0,0,2,1,531,1,passed
81673712,0,0,0,0,0,1,1,2,1,failed
81909853,19,0,0,0,0,4,1,80,1,passed
82180760,18,0,362,1,1,1,1,33,1,passed
83020910,27,0,0,1,0,0,1,1,1,passed
83794102,157,0,0,0,0,5,10,47,10,passed
83798006,145,0,0,0,0,5,1,57,1,passed
83906339,209,0,362,2,1,11,1,178,1,passed
83924707,0,0,0,1,0,0,1,1,1,passed
83935862,0,0,0,1,0,0,1,2,1,passed
83952323,67,0,0,0,0,2,1,532,1,passed
84138278,340,0,457,0,0,13,1,276,1,passed
84185045,340,0,457,0,0,13,1,277,1,failed
84433104,9,0,0,0,0,1,1,4,1,passed
85020198,120,0,971,2,2,44,3,464,3,failed
85238017,0,0,383,0,0,23,1,108,1,passed
85338912,120,0,1354,2,2,66,1,514,1,passed
85836076,0,0,7,0,0,1,1,16,1,passed
86093788,0,0,73,0,0,1,1,47,1,passed
86258545,4,0,58,2,0,1,1,69,1,passed
86539040,0,0,84,0,1,0,1,7,1,passed
86540761,429,0,1400,1,1,21,1,152,1,passed
87537980,75,0,0,0,0,2,1,57,1,passed
87542175,25,0,64,0,0,5,1,121,1,passed
87717258,0,0,0,1,0,0,1,1,1,passed
87789423,48,0,0,0,0,5,1,7,1,passed
87940507,48,0,0,0,0,5,1,8,1,passed
88015033,18,0,0,0,0,1,1,9,1,failed
88213674,24,0,0,0,0,1,1,11,1,passed
89541715,120,0,232,1,0,9,1,84,1,passed
90851256,0,0,0,0,0,1,1,81,1,passed
91557207,0,0,0,0,0,2,1,73,1,passed
91627765,0,0,0,0,0,2,1,74,1,passed
91925243,0,0,0,0,0,1,1,66,1,passed
91933210,4,0,0,0,0,1,1,42,1,passed
91937961,4,0,0,0,0,1,1,43,1,passed
92159735,0,0,25,0,0,1,1,14,1,passed
92368370,0,0,10,0,0,1,1,16,1,passed
93198505,171,0,0,0,0,0,1,1,1,passed
93620992,1005,0,52,3,0,11,1,135,1,passed
93806048,0,0,66,0,0,3,1,11,1,passed
94214273,0,0,0,0,0,1,1,68,1,failed
94541397,0,0,56,11,0,1,1,7,1,passed
94931704,1,0,43,0,0,2,2,92,2,passed
94977797,0,0,0,0,0,1,3,82,3,passed
94992619,0,0,0,0,0,1,1,85,1,passed
94992968,0,0,0,0,0,8,1,196,1,passed
94998587,0,0,0,0,0,8,1,197,1,passed
95275603,0,0,0,0,0,3,1,149,1,passed
95383716,0,0,0,0,0,3,1,150,1,passed
95515896,272,0,301,0,0,2,1,23,1,passed
95704582,430,0,63,0,0,3,1,28,1,passed
97296756,2,0,38,0,0,2,1,119,1,passed
99018890,31,0,318,0,1,2,1,33,1,passed
99157601,45,0,139,3,0,4,1,71,1,passed
99214059,45,0,139,3,0,4,1,72,1,passed
99654183,3,0,211,0,0,43,1,438,1,passed
100157438,536,0,111,6,1,31,1,1053,1,passed
100531426,0,0,447,0,1,15,2,110,2,failed
100758406,0,0,13,0,0,1,1,24,1,passed
100882167,0,0,460,0,1,15,1,113,1,passed
100934625,7,0,0,0,0,1,1,4,1,passed
100989228,0,0,76,0,0,20,1,169,1,passed
101722772,4470,0,919,2,14,35,1,1019,1,passed
102267071,29,0,43,0,0,4,1,531,1,passed
102535159,15,0,0,0,0,8,1,32,1,passed
102838111,0,0,3669,0,2,20,1,237,1,passed
102839948,4,0,15,0,0,7,1,258,1,passed
104038997,449,0,0,5,2,5,3,52,3,passed
104318712,345,0,0,3,0,5,1,119,1,passed
104928808,43,0,0,0,0,2,1,90,1,passed
105045245,93,0,0,0,0,1,1,528,1,passed
105082609,2,0,0,0,0,1,1,48,1,passed
105519442,130,0,0,0,0,2,1,85,1,passed
105586522,52,0,0,0,0,9,1,430,1,passed
105764698,0,0,33,0,0,1,1,82,1,passed
105795538,0,0,0,0,0,1,1,6,1,passed
105806929,0,0,0,0,0,1,1,7,1,passed
106753782,54,0,0,0,0,1,1,17,1,passed
106799443,52,0,33,0,0,11,1,510,1,passed
106830515,54,0,0,0,0,1,1,18,1,passed
106938969,149,0,0,0,0,3,1,144,1,passed
107121382,108,0,51,1,0,7,1,115,1,passed
107885362,22,0,0,0,0,1,1,13,1,passed
108160930,0,0,0,2,0,2,1,36,1,passed
108166264,0,2,0,0,30,0,1,570,1,failed
108307064,0,0,40,0,30,1,1,579,1,passed
108672873,0,0,0,0,0,7,1,264,1,passed
109488149,86,0,0,0,0,1,1,314,1,failed
109620206,0,0,0,0,0,1,1,31,1,passed
109730611,0,0,0,0,0,1,1,45,1,passed
110183762,0,0,0,0,0,2,1,67,1,passed
110538456,219,0,131,1,0,3,1,53,1,passed
110634584,79,0,0,0,0,1,1,70,1,passed
111637352,25,0,0,0,0,3,2,51,2,passed
112729959,25,0,0,0,0,3,1,53,1,passed
113223642,72,0,66,1,0,3,1,99,1,passed
113242365,72,0,66,1,0,3,1,100,1,passed
113300887,0,0,0,0,0,1,1,32,1,passed
114566877,2,0,0,0,0,1,1,15,1,passed
114819564,2,0,0,0,0,1,1,217,1,passed
114879246,23,0,0,0,0,1,1,43,1,passed
114938632,80,0,0,0,0,6,2,175,2,passed
115118007,80,0,0,0,0,6,1,177,1,passed
115139325,32,0,0,0,0,2,1,90,1,passed
117147381,35,0,0,0,0,1,1,18,1,passed
118026011,0,0,0,0,2,0,1,15,1,passed
118347932,73,0,0,0,300,0,1,9,1,passed
119900015,0,0,0,0,0,1,1,11,1,passed
120982622,0,0,0,0,0,7,1,265,1,passed
121594957,0,0,0,0,0,3,1,109,1,passed
121595138,0,0,0,0,0,3,1,110,1,passed
123455123,244,0,108,2,0,5,1,262,1,passed
123463556,0,0,0,0,0,1,1,25,1,passed
123471889,87,0,0,0,0,1,1,20,1,passed
125935439,0,0,0,0,0,1,1,79,1,passed
127553652,8,0,1059,0,1,298,1,1263,1,passed
127687642,0,0,0,0,0,2,1,11,1,failed
127885647,0,0,0,0,0,1,1,3,1,failed
127910234,0,0,0,0,0,1,1,11,1,failed
127924345,0,0,0,0,0,3,1,18,1,passed
127970063,41,0,0,0,0,8,1,245,1,passed
129277709,15,0,0,8,0,5,3,55,3,passed
129909395,15,0,0,8,0,5,1,58,1,passed
132425981,17,0,0,0,0,1,1,14,1,passed
132612782,57,0,0,0,0,2,1,80,1,passed
134542595,2,0,0,0,0,2,1,119,1,passed
136208983,218,0,11,0,1,10,1,357,1,passed
137346949,71,0,0,0,0,2,1,410,1,passed
137370455,0,0,0,0,0,5,1,223,1,passed
137887188,0,0,0,0,0,2,1,45,1,passed
140437569,0,0,187,3,0,0,1,1,1,passed
145418705,1,0,0,0,0,1,1,59,1,passed
145821111,168,0,0,0,0,6,1,106,1,passed
145923032,190,0,0,0,0,11,1,448,1,passed
145949323,11,0,13,0,0,2,1,25,1,passed
145954178,5,0,107,8,6,7,1,71,1,passed
145966064,0,0,0,0,0,1,1,26,1,passed
146677899,210,0,0,0,0,3,1,90,1,passed
147641876,24,0,0,0,0,1,1,8,1,passed
148155827,2,0,0,1,0,1,1,24,1,passed
149904429,11,0,0,0,0,2,1,227,1,passed
150762529,11,0,33,0,0,3,1,35,1,passed
153395244,15,0,0,0,0,2,1,17,1,passed
154589302,794,0,0,0,0,1,1,224,1,passed
