tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
4589795,2,0,8,0,0,3,1,5,1,failed
4801425,6,0,0,0,0,1,1,45,1,failed
5146418,9973,0,4965,90,67,103,1,746,1,passed
5156439,77,0,56,2,0,1,1,14,1,passed
5288505,16,0,52,0,0,3,1,114,1,failed
5801787,1167,0,1336,29,1,58,1,377,1,passed
5818710,1167,0,1336,29,1,58,1,377,1,passed
6837253,487,0,69,0,1,46,1,441,1,passed
9755592,0,0,0,1,0,0,1,0,1,passed
9783507,12,0,0,0,0,1,1,7,1,passed
9783599,2,0,0,0,0,1,1,1,1,passed
10733211,0,0,0,0,0,2,1,2,1,passed
10814220,0,0,0,0,0,9,2,198,2,passed
11433445,0,0,0,0,0,1,1,30,1,passed
12590271,11,0,8,0,0,10,1,237,1,passed
14044858,5,0,0,0,0,3,1,25,1,failed
14044913,0,0,0,0,0,1,1,31,1,passed
14145070,0,0,0,0,0,1,1,32,1,passed
14629730,0,0,0,0,0,1,1,32,1,passed
14884436,34,0,0,0,0,2,1,2,1,passed
14886510,5,0,0,0,0,3,1,26,1,passed
15194389,25,0,17,0,0,7,1,51,1,passed
15361028,7,0,0,1,0,9,1,115,1,passed
15663648,15,0,23,0,0,14,1,303,1,failed
17713677,0,0,0,0,0,1,1,39,1,passed
17896415,0,0,0,0,0,1,1,42,1,passed
18759762,14,0,0,0,0,11,1,296,1,passed
19193012,4,0,0,0,0,8,1,236,1,passed
19767756,535,0,111,6,44,38,1,531,1,passed
20097030,0,0,0,1,0,0,1,0,1,passed
21764258,47,0,0,1,0,9,1,245,1,passed
22065111,19820,0,3361,19,0,166,1,462,1,passed
22701471,19865,0,3361,22,0,166,1,477,1,passed
23085165,0,3,0,0,0,1,1,19,1,passed
23308698,89,0,533,0,4,20,1,456,1,passed
24045316,2,0,0,0,0,1,1,19,1,passed
24127701,1229,0,1229,18,1,68,1,752,1,passed
25004713,1929,0,2514,29,5,87,1,866,1,passed
25177215,82,0,80,4,1,13,1,397,1,passed
27698740,2437,0,2365,57,9,96,1,800,1,passed
28005077,0,0,0,0,0,1,1,37,1,passed
28057385,0,0,0,0,0,1,1,38,1,passed
28066169,1852,0,1577,19,21,75,1,738,1,passed
28075595,11,0,15,0,0,9,1,338,1,passed
31096136,2340,0,2762,31,50,70,1,1065,1,passed
31142115,184,0,0,1,0,1,1,80,1,passed
31142604,17,0,0,0,0,2,1,81,1,passed
31190871,0,0,0,0,0,1,1,6,1,passed
34456666,554,0,943,4,0,41,1,528,1,failed
34457375,0,0,0,0,0,1,1,14,1,passed
38103834,0,0,0,0,0,1,1,16,1,passed
38215167,1466,0,1958,11,1,86,1,809,1,passed
41053456,0,0,0,0,0,2,1,25,1,passed
41776023,1521,0,1999,16,3,72,1,795,1,passed
43156472,26,0,206,0,0,5,1,200,1,passed
45989573,5899,0,9002,187,0,72,1,797,1,passed
47870317,2,0,37,0,0,3,1,62,1,passed
49675527,38,0,77,0,0,7,1,142,1,passed
52863694,2,0,0,0,0,2,1,86,1,passed
53409682,0,0,0,0,0,1,1,4,1,passed
54976146,6,0,0,0,0,1,1,4,1,passed
55247655,5552,0,2710,169,0,97,1,856,1,passed
55379926,4,0,0,0,0,1,1,5,1,passed
55988206,6,0,0,0,0,1,1,6,1,passed
58800365,2477,0,2735,52,2,56,1,903,1,passed
58918890,0,0,0,0,0,2,1,117,1,passed
60903415,91,0,221,1,0,18,1,619,1,passed
61847700,984,0,1197,6,0,130,1,954,1,passed
64337774,7,0,0,0,0,1,1,93,1,passed
64454258,2687,0,4027,15,86,82,1,1039,1,passed
68242359,32,0,120,1,0,8,1,270,1,passed
69202907,2991,0,4451,43,9,138,1,1298,1,passed
69989026,91,0,137,0,0,25,2,164,2,passed
70144335,0,0,4,0,0,1,1,4,1,passed
70155088,91,0,137,0,0,25,1,167,1,passed
71031800,11,0,0,0,0,1,1,5,1,failed
71502024,1321,0,2014,10,2,51,1,945,1,passed
74142918,1556,0,1851,26,0,94,1,991,1,passed
74156657,3,0,4,0,0,3,1,102,1,passed
