tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
3881857,0,0,17,1,0,1,2,19,2,passed
3881983,2,0,0,0,0,1,1,4,1,passed
4618865,0,0,0,1,0,1,1,14,1,passed
4704925,0,0,11,0,0,1,1,20,1,failed
4744340,16,0,12,0,0,3,2,35,2,passed
4755979,16,0,12,0,0,3,1,37,1,passed
4778571,235,1,1,1,0,2,1,36,1,passed
4833973,85,0,0,0,0,2,1,29,1,passed
4931523,8,0,0,0,0,1,1,2,1,passed
4934441,7,0,0,0,0,2,1,31,1,passed
5004562,187,0,0,0,3,0,1,12,1,passed
5025550,38,0,49,1,0,3,3,40,3,passed
5025628,0,0,7,0,0,1,1,25,1,passed
5085837,3,0,0,0,0,1,1,4,1,passed
5402895,11,0,59,3,0,1,1,15,1,passed
6699889,8,0,0,0,0,3,1,48,1,passed
6699911,2,0,0,0,0,1,1,6,1,passed
6708546,21,0,10,1,0,5,2,50,2,passed
6741780,1,0,0,0,0,1,1,8,1,passed
6751668,1,0,0,0,0,1,1,9,1,passed
7462770,4,0,12,0,0,2,1,5,1,passed
7462899,4,0,9,0,0,3,1,39,1,passed
8521989,0,0,0,0,0,1,1,3,1,passed
9250750,9,0,0,0,0,2,2,44,2,passed
9998018,90,0,0,0,0,1,1,11,1,passed
10000562,90,0,0,0,0,1,1,12,1,passed
12466882,0,0,32,0,0,1,1,26,1,failed
12479061,0,0,32,0,0,1,1,27,1,failed
12479412,18,0,0,0,0,2,2,25,2,passed
12479643,4,0,0,0,0,2,1,20,1,passed
12479689,46,0,0,1,0,1,1,4,1,passed
12479803,0,0,0,0,0,1,1,20,1,passed
12479995,2,0,0,0,0,1,1,13,1,passed
12480103,0,0,7,0,0,1,1,28,1,passed
12661178,0,0,57,0,0,2,2,32,2,passed
12667562,0,0,57,0,0,2,1,34,1,passed
13989649,2,0,0,0,0,1,1,14,1,passed
14039628,0,0,2,0,0,2,1,21,1,passed
14059589,3,0,5,0,0,2,1,2,1,passed
15082715,33,0,0,0,0,4,3,58,3,passed
15127898,37,0,5,1,0,5,1,60,1,passed
15417685,0,0,50,0,0,1,1,5,1,passed
15418950,0,0,50,0,0,1,1,6,1,passed
15421250,0,0,46,0,0,2,1,31,1,passed
17008797,157,0,13,0,0,4,2,56,2,passed
17596867,598,0,73,3,0,6,1,68,1,passed
17599090,703,0,81,4,1,8,2,71,2,passed
17610393,16,0,0,0,0,2,1,9,1,passed
20059493,0,0,0,1,0,0,1,0,1,passed
20060150,0,0,0,0,0,2,1,26,1,failed
20060402,0,0,0,0,0,1,1,2,1,passed
20060540,0,0,0,0,0,1,1,3,1,failed
20060874,0,0,0,0,0,1,1,4,1,failed
20061229,0,0,0,0,0,1,1,5,1,failed
20061711,0,0,0,0,0,1,1,6,1,passed
20062031,0,0,0,0,0,1,1,7,1,failed
20062252,0,0,0,0,0,1,1,8,1,passed
20063003,0,0,0,0,0,1,1,26,1,passed
21227580,14,0,39,0,0,3,1,43,1,passed
28668800,12,0,100,0,0,8,1,72,1,failed
28700451,43,0,0,0,0,4,1,60,1,failed
28722467,30,0,0,0,0,1,1,9,1,passed
28724661,120,0,0,0,0,3,1,58,1,failed
28725212,7,0,0,0,0,1,1,54,1,passed
28848054,7,0,0,0,0,1,1,13,1,passed
28897690,10,0,0,0,0,1,1,2,1,passed
29218746,103,0,9,0,0,2,1,73,1,passed
29236355,0,0,84,0,0,1,1,39,1,passed
46727395,0,0,0,0,0,1,1,28,1,passed
46904716,0,0,0,0,0,1,1,29,1,passed
46963383,0,0,0,0,0,1,1,30,1,passed
55192302,8,0,0,0,0,1,1,9,1,passed
55452659,0,0,13,0,0,1,1,41,1,failed
62753114,1,0,0,0,0,1,1,15,1,failed
62754673,2,0,0,0,0,1,1,16,1,failed
62781890,0,0,0,0,0,2,1,33,1,failed
62847317,8,0,0,0,0,1,1,10,1,passed
62847763,0,0,8,0,0,2,2,71,2,passed
62898188,10,0,41,0,0,2,1,16,1,passed
63884919,0,0,0,0,0,1,1,33,1,passed
64503319,35,0,0,3,0,5,1,61,1,passed
64504918,0,0,0,0,0,3,1,4,1,passed
64510113,0,0,0,0,0,1,1,5,1,passed
69543272,0,0,0,0,0,2,1,39,1,passed
69556123,5,0,0,0,0,2,1,40,1,passed
83712282,3,0,0,0,0,2,1,48,1,passed
84912947,0,0,0,0,0,1,1,38,1,passed
88903788,56,0,17,0,0,4,1,55,1,passed
88904247,28,0,6,0,0,3,1,1,1,passed
88904375,0,0,0,0,0,1,1,3,1,passed
88907463,0,0,0,0,0,2,1,43,1,passed
88910174,4,0,0,0,0,2,1,56,1,passed
88911077,0,0,0,0,0,1,1,42,1,passed
88911355,0,0,0,0,0,1,1,43,1,passed
88914242,0,0,0,0,0,1,1,44,1,passed
88914326,0,0,0,0,0,1,1,45,1,passed
88914344,0,0,0,0,0,1,1,46,1,passed
88915166,4,0,0,0,0,1,1,19,1,passed
88967900,29,0,0,0,0,1,1,20,1,passed
90581433,0,0,0,0,0,1,1,48,1,passed
90642433,0,0,0,0,0,1,1,49,1,passed
114259471,10,0,0,0,0,3,2,51,2,passed
114259486,0,0,0,0,0,1,1,52,1,passed
114265644,0,0,0,0,0,1,1,53,1,passed
114265682,0,0,0,0,0,1,1,54,1,passed
114278026,27,0,0,1,0,1,1,21,1,passed
114308472,0,0,0,0,0,1,1,4,1,passed
126638237,11,0,6,0,0,4,3,73,3,passed
126642356,12,0,12,0,0,3,1,3,1,passed
