tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
11259314,1386,0,174,69,0,17,15,0,15,passed
11613240,10,0,0,0,0,1,1,3,1,passed
11939471,5,0,0,1,0,2,1,4,1,passed
12005686,2,0,0,0,0,1,1,5,1,passed
12081780,41,0,0,2,0,3,1,4,1,passed
12113913,6,0,0,0,0,2,1,4,1,passed
12114453,63,0,0,2,0,4,2,5,2,passed
12114649,4,0,0,0,0,1,1,3,1,passed
12114725,2,0,0,0,0,1,1,4,1,passed
12114788,23,0,0,0,0,3,1,5,1,passed
12348180,70,0,0,2,1,2,1,4,1,passed
12348257,0,0,0,0,0,1,1,2,1,passed
12349838,0,0,0,0,0,1,1,3,1,passed
12425738,1,0,0,0,0,1,1,2,1,passed
12426021,1,0,0,0,0,1,1,6,1,passed
12461254,70,0,0,2,1,2,1,5,1,passed
12466324,22,0,0,0,0,5,5,15,5,passed
12466553,7,0,0,0,0,3,1,10,1,passed
12468357,6,0,0,0,0,2,1,9,1,passed
12497261,10,0,0,0,0,2,1,8,1,passed
12497452,2,0,0,0,0,1,1,1,1,passed
12499570,16,0,0,0,0,3,3,10,3,passed
12862254,86,1,0,2,0,4,3,8,3,passed
12881339,74,0,0,2,0,3,1,11,1,passed
12881860,25,0,0,0,0,5,4,16,4,passed
12882045,8,0,0,0,0,2,2,20,2,passed
12882464,14,0,0,0,0,1,1,9,1,passed
12882664,63,0,0,2,0,2,1,8,1,passed
12882783,3,0,0,0,0,2,2,23,2,passed
12961854,66,0,0,2,0,4,1,33,1,passed
12961962,53,0,0,0,0,3,2,20,2,passed
12961974,7,0,0,0,0,3,1,22,1,passed
12962087,2,0,0,0,0,1,1,17,1,passed
12963052,20,0,0,0,0,1,2,12,2,passed
12963242,6,0,0,0,0,1,1,14,1,passed
13088160,18,0,0,0,0,2,1,19,1,passed
13132175,6,0,0,0,0,3,1,25,1,passed
13132216,6,0,0,0,0,3,1,26,1,passed
13155698,14,0,0,0,0,4,2,28,2,passed
13155785,9,0,0,0,0,3,1,29,1,passed
13370901,2,0,0,0,0,1,1,15,1,passed
14900201,7,0,0,0,0,1,1,16,1,passed
14921642,1060,0,68,24,6,33,2,127,2,passed
14922137,6,0,0,0,0,3,1,55,1,passed
16272330,0,0,0,0,0,1,1,1,1,passed
22414280,913,0,98,2,0,58,46,127,46,passed
22414756,913,0,98,2,0,58,46,127,46,passed
23761401,2,0,0,0,0,1,1,36,1,passed
24360734,18,0,0,0,0,6,4,86,4,passed
25035471,86,0,0,0,0,6,2,100,2,failed
25080344,0,0,6,0,0,2,1,10,1,passed
33235244,4,0,0,0,0,1,1,38,1,passed
