tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
34224500,14,0,36,0,0,3,2,137,2,passed
36071073,6,0,8,0,0,2,1,136,1,passed
36357982,2,0,0,0,0,1,1,17,1,passed
37182879,0,0,15,0,0,1,1,89,1,passed
37183585,0,0,1,0,0,1,1,90,1,passed
37587460,2,0,14,0,0,2,1,106,1,passed
37587662,18,0,0,0,0,1,1,18,1,passed
39257908,2,0,0,0,0,1,1,2,1,passed
39313686,2,0,0,0,0,1,1,4,1,passed
39360951,2,0,0,0,0,1,1,3,1,passed
39621052,10,0,0,0,0,1,1,6,1,passed
42001044,3,0,0,0,0,1,1,10,1,failed
42023508,2,0,0,0,0,2,1,99,1,passed
43893630,0,0,0,0,0,1,1,3,1,passed
43900760,0,0,2,0,0,1,1,92,1,passed
44995969,3,0,0,0,0,1,1,10,1,passed
47064236,4,0,0,0,0,1,1,33,1,passed
52483414,25,0,0,0,0,6,1,122,1,passed
53409750,0,0,0,0,0,1,1,6,1,passed
55197499,2,0,0,0,0,1,1,25,1,passed
59311950,0,0,0,0,0,1,1,7,1,passed
62090207,6,0,0,0,0,1,1,28,1,passed
63299207,6,0,0,0,0,1,1,29,1,passed
63345741,4,0,0,0,0,2,1,100,1,passed
63455364,6,0,0,0,0,1,1,31,1,passed
63519751,6,0,0,0,0,1,1,32,1,failed
63742496,4,0,0,0,0,2,1,101,1,passed
64076474,0,0,3,0,0,1,1,93,1,passed
64491923,4,0,0,0,0,3,1,25,1,passed
64851153,31,0,65,0,0,3,1,16,1,passed
65100712,21,0,97,0,0,2,1,135,1,passed
65136338,0,0,2,0,0,1,1,94,1,passed
65165182,0,0,15,0,0,1,1,95,1,passed
65215360,0,0,2,0,0,1,1,95,1,passed
65238266,0,0,15,0,0,1,1,96,1,passed
65458401,31,0,65,0,0,3,1,17,1,passed
65489895,0,0,18,0,0,1,1,96,1,passed
66089420,0,0,30,0,0,1,1,97,1,passed
66101748,0,0,2,0,0,1,1,98,1,passed
66137084,0,0,57,0,0,1,1,99,1,passed
66460191,31,0,65,0,0,3,1,18,1,passed
67410458,24,0,41,0,0,6,1,173,1,passed
69023960,21,0,108,0,0,2,1,144,1,passed
69069291,6,0,0,0,0,3,1,40,1,passed
70286157,138,0,0,0,0,2,1,47,1,passed
70315675,13,0,30,0,0,2,1,138,1,passed
70471909,138,0,0,0,0,2,1,48,1,passed
71326507,0,0,0,0,1,0,1,16,1,failed
