tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
640926,18,0,46,0,0,2,1,38,1,passed
641108,0,0,0,0,0,1,1,5,1,failed
641302,3,0,0,0,0,1,1,3,1,failed
641363,2,0,0,0,0,2,1,10,1,passed
655745,2,0,0,0,0,1,1,20,1,passed
668125,13,0,15,2,0,1,1,138,1,passed
668243,2,0,0,0,0,1,1,3,1,passed
668771,10,0,0,0,0,3,2,22,2,passed
668893,28,0,10,0,0,3,4,14,4,passed
668904,2,0,13,0,0,2,1,4,1,passed
700106,103,0,82,2,0,1,1,139,1,passed
700495,35,0,16,0,0,2,1,1,1,passed
704316,109,0,74,0,0,2,2,2,2,failed
704327,5,0,0,0,0,1,1,4,1,failed
704394,188,0,96,1,0,14,2,480,2,passed
704493,68,0,150,0,0,14,1,298,1,passed
704568,12,0,0,0,0,1,1,152,1,passed
704860,8,0,0,0,0,1,1,7,1,passed
803084,4,0,0,0,0,1,1,137,1,passed
803112,8,0,0,0,0,2,1,55,1,passed
809730,34,0,0,0,0,2,1,58,1,failed
810047,33,0,6,0,0,6,3,136,3,failed
810228,30,0,0,0,0,1,1,15,1,passed
818151,22,0,1,0,0,2,2,39,2,passed
818162,1,0,0,0,0,1,1,37,1,passed
896126,7,0,30,0,0,3,1,42,1,failed
896207,0,0,11,0,0,2,1,79,1,passed
905598,53,0,69,0,0,2,3,5,3,passed
905733,2,0,19,0,0,2,1,47,1,passed
905756,2,0,0,0,0,1,1,52,1,passed
905973,406,0,48,1,1,7,1,312,1,passed
911311,160,0,48,0,0,14,1,306,1,passed
911874,0,0,44,0,0,1,1,2,1,passed
911882,3,0,8,0,0,3,1,4,1,passed
911948,1,0,10,0,0,2,1,10,1,passed
913529,10,0,13,0,0,3,1,5,1,passed
913553,10,0,0,0,0,1,1,4,1,passed
914046,13,0,27,0,0,2,1,153,1,passed
916756,202,0,251,3,0,21,4,442,4,passed
919254,5,0,0,0,0,2,1,49,1,failed
919333,2,0,0,0,0,1,1,41,1,passed
921414,100,0,68,1,0,5,2,120,2,passed
927118,80,0,2,0,0,12,1,83,1,passed
930064,75,0,0,0,1,11,4,168,4,passed
944681,0,0,0,2,0,0,1,0,1,passed
945039,15,0,16,0,0,2,1,122,1,passed
965088,36,0,0,0,0,1,1,35,1,passed
1014237,2,0,0,0,0,1,1,36,1,passed
1028135,16,0,27,0,0,3,2,125,2,passed
1029050,6,0,6,0,0,2,1,94,1,passed
1146670,2,0,5,0,0,2,1,133,1,passed
1146678,2,0,4,0,0,4,1,39,1,failed
1177636,2,0,0,0,0,1,1,17,1,passed
1177660,301,0,653,3,0,2,1,151,1,passed
1177735,2,0,0,0,0,1,1,18,1,passed
1177867,0,0,3,0,0,2,2,24,2,passed
1177919,11,0,8,0,0,2,2,17,2,passed
1177994,27,0,12,0,0,4,1,119,1,passed
1178009,6,0,0,0,0,2,1,142,1,passed
1178132,0,0,0,0,0,2,2,21,2,passed
1178376,109,0,70,1,0,15,3,415,3,passed
1178418,2,0,5,0,0,3,1,38,1,passed
1186232,48,0,10,0,0,2,1,55,1,passed
1186240,2,0,0,0,0,1,1,45,1,passed
1186562,21,0,38,0,0,8,3,355,3,failed
1186674,11,0,0,0,0,2,1,20,1,passed
1194563,152,0,8,0,2,29,7,452,7,passed
1200777,0,0,0,0,0,2,1,80,1,passed
1201530,48,0,0,0,1,6,4,196,4,passed
1201541,0,0,0,1,0,0,1,0,1,passed
1201703,89,0,0,0,2,5,1,61,1,passed
1201829,26,0,0,0,0,4,1,29,1,passed
1201845,1213,0,0,9,1,14,26,117,26,passed
1207013,606,0,0,1,1,6,3,88,3,passed
1207091,35,0,9,0,0,5,2,108,2,failed
1207352,0,0,0,0,0,2,1,24,1,failed
1207517,2,0,7,0,0,2,2,33,2,failed
1207536,1328,0,2604,0,0,238,2,1784,2,passed
1207587,13,0,0,0,0,1,1,38,1,passed
1207635,0,0,229,0,0,1,1,3,1,passed
1208729,15,0,14,0,0,7,7,229,7,passed
1209913,195,0,18,0,0,14,7,476,7,passed
1213602,9,0,0,0,0,1,1,71,1,passed
1213764,622,0,626,4,0,6,3,170,3,passed
1214854,358,0,0,0,0,5,4,229,4,passed
1217294,2,0,0,1,0,1,1,39,1,passed
1217376,0,0,0,0,0,1,1,13,1,passed
1224013,199,0,17,0,0,7,4,225,4,passed
1224905,39,0,82,0,0,8,6,195,6,failed
1228920,0,0,7,0,0,1,1,84,1,passed
1229177,221,0,192,4,0,4,1,157,1,failed
1229492,0,0,1,0,0,1,1,2,1,passed
1229828,59,0,0,0,0,2,1,2,1,passed
1229859,2,0,0,0,0,1,1,3,1,passed
1230113,12,0,32,0,0,3,2,246,2,passed
1230376,46,0,0,0,0,4,1,168,1,passed
1242322,16,0,6,0,0,2,1,28,1,failed
1242462,2,0,4,0,0,2,1,29,1,failed
1243460,2,0,0,0,0,1,1,5,1,passed
1248241,0,0,2,0,0,1,1,77,1,passed
1279357,26,0,130,1,0,5,3,118,3,failed
1279492,2,0,1,0,0,2,2,8,2,failed
1279573,2,0,0,0,0,1,1,7,1,failed
1280243,1,0,6,0,0,2,2,6,2,passed
1282544,2,0,0,0,0,1,1,8,1,passed
1286050,136,0,17,0,0,8,5,401,5,passed
1286061,4,0,0,0,0,1,1,30,1,passed
1291503,24,0,0,0,0,2,1,64,1,passed
1295127,7,0,0,0,0,1,1,56,1,passed
1301732,14,0,0,0,0,3,3,97,3,passed
1302724,10,0,3,0,0,2,1,6,1,passed
1323709,10,0,0,0,0,1,1,8,1,passed
1377593,43,0,8,0,0,4,2,72,2,passed
1378015,12,0,11,0,0,2,1,7,1,passed
1391158,37,0,10,1,0,1,1,10,1,passed
1406864,90,0,54,0,0,11,4,198,4,passed
1458060,3,0,36,0,0,3,1,52,1,passed
1458088,2,0,0,0,0,1,1,57,1,passed
1480398,19,0,5,0,0,6,1,124,1,passed
1481160,16,0,14,0,0,4,3,54,3,passed
1542989,179,0,239,2,0,4,1,172,1,failed
1543207,5,0,20,0,0,2,3,2,3,passed
1560887,13,0,0,0,0,3,1,152,1,passed
1570127,2,0,0,0,0,1,1,65,1,passed
1572309,8,0,0,0,0,2,1,54,1,passed
