,tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits.1,tr_status,tr_duration
0,1494869,176959,0,7019,1633,448,848,4178,47,4178,failed,19
1,1494892,12,0,0,0,0,8,2,2370,2,failed,19
2,1495071,0,0,0,0,0,1,1,1707,1,failed,21
3,1495163,12,0,0,0,0,8,2,2373,2,failed,19
4,1495971,0,0,0,1,0,0,1,0,1,failed,2048
5,1505214,0,0,0,0,0,1,1,1709,1,failed,2180
6,1505232,12,0,0,0,0,8,2,2376,2,failed,2028
7,1513501,0,0,0,0,0,1,1,1711,1,failed,1481
8,1513521,12,0,0,0,0,8,2,2379,2,failed,1393
9,1514415,1,0,0,0,0,2,1,5,1,failed,284
10,1514476,0,0,0,0,0,1,1,1713,1,failed,240
11,1514509,12,0,0,0,0,8,2,2382,2,failed,243
12,1514700,8,0,0,0,0,2,2,477,2,failed,267
13,1516069,5,0,0,0,0,1,1,2,1,failed,256
14,1516144,5,0,0,0,0,1,1,69,1,failed,240
15,1519548,0,0,0,0,0,1,1,1715,1,failed,238
16,1521366,0,0,0,0,0,1,1,1716,1,failed,269
17,1522317,0,0,0,0,0,1,1,1717,1,failed,303
18,1522404,4,0,0,0,0,1,1,17,1,failed,246
19,1522510,0,0,0,0,0,1,1,1718,1,failed,235
20,1522544,12,0,0,0,0,8,2,2389,2,failed,237
21,1524106,0,0,0,0,0,1,1,1720,1,failed,241
22,1524165,12,0,0,0,0,8,2,2392,2,failed,260
23,1529863,0,0,0,0,0,1,1,1722,1,failed,415
24,1529883,12,0,0,0,0,8,2,2395,2,failed,288
25,1531829,0,0,0,0,0,1,1,1724,1,failed,418
26,1531841,12,0,0,0,0,8,2,2398,2,failed,370
27,1533991,0,0,0,0,0,1,1,1726,1,failed,243
28,1534325,0,0,0,0,0,1,1,1728,1,failed,245
29,1534369,10,0,0,0,0,6,1,665,1,failed,274
30,1534427,10,0,0,0,0,7,2,2395,2,failed,291
31,1536637,10,0,0,0,0,7,2,2397,2,failed,324
32,1536700,4,0,0,0,0,2,1,1741,1,failed,338
33,1539822,0,0,0,0,0,1,1,1732,1,failed,360
34,1539851,10,0,0,0,0,6,1,668,1,failed,366
35,1542986,0,0,0,0,0,1,1,1733,1,failed,247
36,1543000,12,0,0,0,0,8,2,2413,2,failed,240
37,1543669,2,0,2,0,0,2,2,9,2,failed,375
38,1543958,0,0,0,0,0,1,1,1735,1,failed,287
39,1544549,0,0,0,0,0,1,1,2,1,passed,1060
40,1551399,0,0,0,0,0,1,1,1736,1,passed,1322
41,1551463,10,0,0,0,0,6,1,670,1,passed,1263
42,1554205,0,0,0,0,0,1,1,1737,1,passed,594
43,1554211,12,0,0,0,0,8,2,2419,2,passed,633
44,1554496,0,0,0,0,0,1,1,1739,1,passed,508
45,1554633,0,0,0,0,0,1,1,1740,1,passed,717
46,1554655,10,0,0,0,0,6,1,672,1,passed,1014
47,1554843,0,0,0,0,0,1,1,1741,1,passed,648
48,1554869,10,0,0,0,0,6,1,673,1,passed,670
49,1556342,3,0,0,0,0,1,1,36,1,passed,551
50,1557191,309,0,0,0,0,5,1,43,1,passed,563
51,1557323,2,0,18,0,0,3,2,24,2,failed,561
52,1557395,0,0,0,0,0,1,1,1742,1,passed,632
53,1557415,10,0,0,0,0,6,1,674,1,failed,577
54,1557900,0,0,0,0,0,1,1,3,1,passed,524
55,1558262,0,0,3,0,0,1,1,6,1,passed,540
56,1561425,20,0,0,0,0,2,2,1778,2,passed,626
57,1561470,10,0,0,0,0,6,1,675,1,passed,857
58,1565218,0,0,0,0,0,1,1,1744,1,passed,680
59,1565239,10,0,0,0,0,6,1,676,1,passed,665
60,1571079,0,0,0,0,0,1,1,1745,1,passed,853
61,1571119,10,0,0,0,0,6,1,677,1,passed,798
62,1573729,0,0,0,0,0,1,1,1746,1,passed,390
63,1573732,10,0,0,0,0,6,1,678,1,passed,261
64,1575381,0,0,6,0,0,1,1,2,1,passed,264
65,1579010,0,0,0,0,0,1,1,1747,1,passed,273
66,1579047,10,0,0,0,0,6,1,679,1,passed,265
67,1581060,10,0,0,0,0,7,2,2428,2,passed,281
68,1581369,42,0,2,9,0,2,1,11,1,passed,274
69,1581390,0,0,0,0,0,1,1,1749,1,passed,278
70,1581393,10,0,0,0,0,6,1,681,1,passed,266
71,1581431,4,0,0,0,0,1,1,7,1,passed,270
72,1581453,4,0,0,0,0,1,1,19,1,passed,266
73,1581732,2,0,0,0,0,1,1,3,1,passed,258
74,1581747,0,0,31,0,0,4,2,13,2,passed,257
75,1581793,0,0,0,0,0,1,1,1750,1,passed,257
76,1581814,10,0,0,0,0,6,1,682,1,passed,257
77,1582558,0,0,7,0,0,1,1,4,1,passed,258
78,1582762,34,0,12,0,0,8,3,21,3,passed,281
79,1582860,0,0,0,0,0,1,1,1751,1,passed,254
80,1582892,10,0,0,0,0,6,1,683,1,passed,257
81,1583089,12,0,0,0,0,2,1,14,1,passed,261
82,1583640,6,0,0,0,0,1,1,1,1,passed,272
83,1583747,0,0,0,0,0,1,1,1752,1,passed,260
84,1583754,10,0,0,0,0,6,1,684,1,passed,258
85,1586267,0,0,0,0,0,1,1,1753,1,passed,280
86,1586294,10,0,0,0,0,6,1,685,1,passed,261
87,1588588,0,0,0,0,0,1,1,1754,1,passed,309
88,1588606,10,0,0,0,0,6,1,686,1,passed,278
89,1588712,0,0,35,0,0,2,1,13,1,passed,280
90,1588927,66,0,0,1,0,0,1,0,1,passed,271
91,1588981,0,0,0,0,0,1,1,1755,1,passed,281
92,1589012,10,0,0,0,0,6,1,687,1,passed,271
93,1589465,0,0,0,0,0,11,1,145,1,passed,275
94,1589499,62,0,0,0,0,2,2,1772,2,passed,265
95,1589711,0,0,0,0,0,1,1,42,1,passed,305
96,1589807,0,0,0,0,0,1,1,1757,1,passed,296
97,1589842,252,0,8,0,6,4,2,15,2,passed,304
98,1589938,0,0,0,0,0,1,1,1758,1,passed,312
99,1590206,0,0,0,0,0,1,1,43,1,passed,283
100,1590415,0,0,0,0,0,1,1,1759,1,passed,349
101,1590617,12,0,0,0,0,8,2,2458,2,passed,260
102,1590733,23,0,0,0,0,2,1,28,1,passed,278
103,1590786,60,0,0,0,0,1,1,36,1,passed,272
104,1590884,10,0,0,0,0,7,2,2450,2,passed,311
105,1590934,101,0,0,0,0,2,1,17,1,passed,262
106,1591366,0,0,18,0,0,2,2,14,2,passed,267
107,1591501,0,0,0,0,0,1,1,1762,1,passed,268
108,1591522,10,0,0,0,0,6,1,690,1,passed,268
109,1593822,0,0,4,0,0,1,1,5,1,passed,294
110,1593895,0,0,0,0,0,1,1,1763,1,passed,288
111,1593931,10,0,0,0,0,6,1,691,1,passed,279
112,1595469,0,0,0,0,0,1,1,1764,1,passed,273
113,1595506,10,0,0,0,0,6,1,692,1,passed,295
114,1598067,0,0,0,0,0,1,1,1765,1,passed,291
115,1598089,10,0,0,0,0,6,1,693,1,passed,280
116,1598421,39,0,0,0,0,1,2,4,2,failed,169
117,1598471,0,0,0,0,0,1,1,1766,1,passed,286
118,1598482,10,0,0,0,0,6,1,694,1,passed,275
119,1599381,93,0,0,2,0,10,4,49,4,passed,286
120,1599427,89,0,0,0,0,4,5,16,5,passed,269
121,1599488,417,0,0,10,0,0,3,0,3,passed,268
122,1599608,20,0,0,0,0,1,1,8,1,passed,284
123,1600164,0,0,0,0,0,1,1,73,1,passed,274
124,1600211,0,0,0,0,0,1,1,1767,1,passed,273
125,1600338,10,0,0,0,0,6,1,695,1,passed,277
126,1600514,35,0,0,0,0,1,1,4,1,passed,266
127,1600561,0,0,0,0,0,1,1,38,1,passed,275
128,1602499,44,0,0,0,0,3,1,62,1,passed,283
129,1604559,0,0,0,0,0,1,1,1768,1,passed,282
130,1604595,10,0,0,0,0,6,1,696,1,passed,282
131,1607108,0,0,0,0,0,1,1,1769,1,passed,301
132,1607144,10,0,0,0,0,6,1,697,1,passed,286
133,1610483,0,0,6,0,0,2,1,22,1,passed,273
134,1613922,10,0,0,0,0,7,2,2468,2,passed,416
135,1616254,0,0,0,0,0,1,1,1771,1,passed,254
136,1616276,10,0,0,0,0,6,1,699,1,passed,258
137,1618169,0,0,0,0,0,1,1,1772,1,passed,242
138,1618193,10,0,0,0,0,6,1,700,1,passed,227
139,1618284,0,0,0,0,0,1,1,1773,1,passed,257
140,1618323,0,0,0,0,0,1,1,1774,1,passed,236
141,1618412,10,0,0,0,0,6,1,701,1,passed,244
142,1618561,0,0,0,0,0,1,1,1775,1,passed,236
143,1618589,10,0,0,0,0,6,1,702,1,passed,220
144,1620918,0,0,0,0,0,1,1,1776,1,passed,267
145,1621019,10,0,0,0,0,6,1,703,1,passed,247
146,1622875,2,0,0,0,0,1,1,3,1,passed,303
147,1625022,0,0,0,0,0,1,1,1777,1,passed,304
148,1625039,10,0,0,0,0,6,1,704,1,passed,243
149,1631029,20,0,0,0,0,7,5,2483,5,passed,291
150,1631074,10,0,0,0,0,6,1,707,1,passed,258
151,1632864,0,0,0,0,0,1,1,1781,1,passed,308
152,1633277,0,0,0,0,0,1,1,1782,1,passed,253
153,1633287,10,0,0,0,0,6,1,708,1,passed,234
154,1637035,0,0,0,0,0,1,1,1783,1,passed,257
155,1637050,10,0,0,0,0,6,1,709,1,passed,227
156,1638359,0,0,0,0,0,1,1,1784,1,passed,288
157,1638592,0,0,0,0,0,1,1,1785,1,failed,285
158,1638608,10,0,0,0,0,6,1,710,1,passed,256
159,1639524,6,0,0,0,0,1,1,34,1,passed,270
160,1639791,0,0,0,0,0,1,1,1786,1,passed,253
161,1639805,10,0,0,0,0,6,1,711,1,passed,263
162,1642270,0,0,0,0,0,1,1,1787,1,passed,267
163,1642290,10,0,0,0,0,6,1,712,1,passed,262
164,1642671,0,0,0,0,0,1,1,1788,1,passed,244
165,1642707,10,0,0,0,0,6,1,713,1,passed,246
166,1644238,0,0,0,0,0,1,1,1789,1,passed,286
167,1644259,10,0,0,0,0,6,1,714,1,passed,238
168,1645664,0,0,0,0,0,1,1,1790,1,passed,325
169,1645679,10,0,0,0,0,6,1,715,1,passed,262
170,1645966,0,0,0,0,0,1,1,1791,1,passed,267
171,1646000,10,0,0,0,0,6,1,716,1,passed,279
172,1646039,16,0,0,0,0,2,1,234,1,passed,257
173,1646249,2,0,0,0,0,1,1,5,1,passed,298
174,1647045,0,0,0,0,0,1,1,1792,1,passed,246
175,1647053,10,0,0,0,0,6,1,718,1,failed,259
176,1647254,0,0,0,0,0,1,1,1793,1,passed,327
177,1647286,10,0,0,0,0,6,1,719,1,passed,319
178,1648124,0,0,0,0,0,1,1,1794,1,passed,306
179,1648167,10,0,0,0,0,6,1,720,1,passed,312
180,1648700,0,0,0,0,0,1,1,1795,1,passed,318
181,1648735,10,0,0,0,0,6,1,721,1,passed,265
182,1650012,0,0,0,0,0,1,1,1796,1,passed,302
183,1650056,10,0,0,0,0,6,1,722,1,passed,241
184,1652468,0,0,0,0,0,1,1,1797,1,passed,308
185,1652488,10,0,0,0,0,6,1,723,1,passed,240
186,1653160,10,0,0,0,0,7,2,2522,2,passed,263
187,1653631,128,0,0,0,1,1,1,10,1,passed,243
188,1655526,5,0,0,0,0,1,1,11,1,passed,293
189,1656701,0,0,0,0,0,1,1,1799,1,passed,283
190,1656744,10,0,0,0,0,6,1,725,1,passed,246
191,1659039,0,0,0,0,0,1,1,1800,1,failed,228
192,1659097,10,0,0,0,0,6,1,726,1,passed,273
193,1661785,0,0,0,0,0,1,1,1801,1,passed,295
194,1661802,10,0,0,0,0,6,1,727,1,passed,258
195,1662579,2,0,0,0,0,1,1,3,1,passed,249
196,1665590,2,0,0,0,0,1,1,376,1,passed,294
197,1666161,10,0,0,0,0,7,2,2531,2,passed,298
198,1666628,0,0,0,0,0,1,1,1803,1,passed,248
199,1666670,10,0,0,0,0,6,1,730,1,passed,275
200,1668189,0,0,0,0,0,1,1,1804,1,passed,252
201,1668216,10,0,0,0,0,6,1,731,1,passed,257
202,1670722,0,0,0,0,0,1,1,1805,1,passed,258
203,1670742,10,0,0,0,0,6,1,732,1,passed,241
204,1673729,0,0,0,0,0,1,1,1806,1,passed,272
205,1673824,10,0,0,0,0,6,1,733,1,passed,303
206,1675253,0,0,0,0,0,1,1,1807,1,passed,286
207,1675325,10,0,0,0,0,6,1,734,1,passed,237
208,1677062,0,0,0,0,0,1,1,1808,1,passed,289
209,1677092,10,0,0,0,0,6,1,735,1,passed,287
210,1679139,0,0,0,0,0,1,1,1809,1,passed,264
211,1679157,10,0,0,0,0,6,1,736,1,passed,291
212,1683131,0,0,0,0,0,1,1,1810,1,passed,348
213,1683146,10,0,0,0,0,6,1,737,1,failed,65
214,1685095,0,0,0,0,0,1,1,1811,1,passed,318
215,1685106,10,0,0,0,0,6,1,738,1,passed,245
216,1687076,0,0,0,0,0,1,1,1812,1,passed,266
