,tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits.1,tr_status,tr_duration
0,1104002,3968,0,1313,29,7,84,5,375,5,failed,22
1,1161901,5,0,0,0,0,1,1,19,1,failed,15
2,1207132,2,0,0,2,0,1,3,0,3,passed,156
3,1275729,6,0,0,0,0,3,1,134,1,passed,130
4,1647860,5,0,0,0,0,1,1,2,1,failed,102
5,1647879,27,0,0,0,0,1,1,11,1,failed,25
6,19798143,9,0,0,0,0,1,1,1,1,passed,851
7,20280212,0,0,0,0,0,1,1,278,1,passed,816
8,20785180,2,0,0,0,0,1,1,30,1,passed,647
9,21016400,614,0,5,5,3,30,1,666,1,passed,683
10,21084507,96,0,0,0,0,4,1,38,1,passed,790
11,21173523,9271,0,187,50,1,83,1,402,1,failed,629
12,21248371,211,0,55,0,1,21,6,148,6,passed,601
13,21257400,348,0,0,3,0,18,1,195,1,passed,736
14,21260541,233,0,0,0,0,12,1,161,1,passed,710
15,21416478,37,0,0,0,0,1,1,4,1,passed,710
16,21416547,10,0,0,0,0,5,2,132,2,passed,767
17,21417326,0,0,0,0,0,1,1,33,1,passed,726
18,21442296,34,0,0,0,0,3,1,164,1,passed,716
19,21493878,35,0,0,0,0,2,1,9,1,passed,726
20,21678282,1754,0,101,7,0,53,1,319,1,passed,1151
21,21739888,388,0,0,4,0,13,1,211,1,passed,634
22,21755521,872,0,0,2,1,40,1,243,1,passed,648
23,21759380,507,0,0,0,0,34,1,378,1,passed,674
24,21760689,252,0,14,0,2,7,2,166,2,passed,1240
25,21930630,34,0,0,0,0,3,1,22,1,passed,576
26,22011090,0,0,0,0,0,1,1,7,1,passed,579
27,22019383,293,0,0,2,0,1,2,114,2,passed,662
28,22021379,217,0,0,2,0,1,1,117,1,passed,771
29,22291352,1504,0,106,13,0,46,1,628,1,passed,616
30,22424741,1498,0,106,13,0,46,1,631,1,passed,558
31,22432667,7,0,0,0,0,1,1,10,1,passed,632
32,22432789,327,0,0,0,0,28,1,333,1,passed,598
33,22440722,26,0,2,0,0,2,1,6,1,passed,586
34,22523248,2799,0,474,15,7,52,1,327,1,passed,649
35,22604781,554,0,0,2,0,16,1,198,1,passed,589
36,22610848,92,0,0,1,0,3,1,56,1,passed,627
37,22756138,205,0,0,1,0,11,1,227,1,passed,736
38,22775462,18,0,0,0,0,2,1,56,1,passed,690
39,22776019,2,0,0,0,0,1,1,44,1,passed,759
40,22915731,176,0,0,1,0,6,1,89,1,passed,580
41,22941810,196,0,0,1,0,8,1,144,1,passed,841
42,22957232,70,0,6,0,0,3,1,45,1,passed,645
43,23053193,70,0,6,0,0,3,1,46,1,passed,715
44,23053294,0,0,0,0,0,2,1,79,1,passed,674
45,23053863,22,0,0,0,0,3,1,97,1,passed,724
46,23059481,34,0,0,1,0,2,1,16,1,passed,706
47,23060096,18,0,0,0,0,3,1,35,1,passed,733
48,23100411,84,0,0,1,0,16,1,98,1,passed,674
49,23100927,1,0,0,0,0,1,1,2,1,passed,625
50,23581748,2480,0,16,16,0,41,2,290,2,passed,656
51,23582647,8,0,0,0,0,2,1,28,1,passed,597
52,23602472,170,0,76,0,4,6,1,218,1,passed,710
53,23603860,339,0,0,2,1,4,1,64,1,passed,747
54,23767313,688,0,0,3,0,13,1,469,1,passed,698
55,24708101,543,0,0,2,0,1,1,28,1,passed,613
56,24709131,6,0,0,0,0,1,1,1,1,passed,632
57,24783005,22,0,0,0,0,5,1,46,1,passed,613
58,25338707,17,0,0,0,0,4,4,147,4,passed,720
59,25862300,0,0,0,0,0,1,1,26,1,passed,632
60,25883235,148,0,6,0,1,12,1,109,1,failed,724
61,25890208,168,0,15,1,0,16,2,388,2,passed,605
62,26058412,9,0,0,0,0,2,2,11,2,passed,725
63,26061030,267,0,0,2,0,4,1,102,1,passed,714
64,26066421,83,0,0,1,0,3,1,35,1,passed,593
65,26119891,42,0,8,0,0,9,5,27,5,passed,575
66,26204026,9,0,0,0,0,2,2,17,2,passed,529
67,26215938,35,0,32,0,0,4,1,232,1,passed,599
68,26216600,0,0,0,0,0,1,1,11,1,passed,696
69,26222695,35,0,32,0,0,5,1,241,1,passed,646
70,26586610,12,0,0,0,0,2,2,95,2,passed,652
71,26661136,30,0,60,1,0,5,3,31,3,passed,627
72,26666910,8,0,0,0,0,1,1,16,1,passed,655
73,26680632,49,0,6,0,0,6,1,82,1,passed,567
74,26953799,6,0,0,0,0,3,1,169,1,passed,658
75,26960011,16,0,0,0,0,3,2,170,2,passed,561
76,26963676,162,0,0,1,0,4,1,120,1,passed,630
77,26974983,9,0,0,0,0,1,1,1,1,passed,694
78,27020592,2,0,0,0,0,2,1,66,1,passed,476
79,27045015,6,0,0,0,0,1,1,5,1,passed,491
80,27293265,57,0,129,1,0,4,2,84,2,passed,563
81,27293803,18,0,0,0,0,1,1,2,1,passed,582
82,27295143,18,0,0,0,0,1,1,3,1,passed,493
83,27296850,36,0,0,0,0,1,2,21,2,passed,578
84,27304614,29,0,0,0,0,1,1,20,1,passed,602
85,27395305,10,0,47,1,0,1,2,6,2,passed,535
86,27408078,0,0,0,0,0,1,1,17,1,passed,626
87,27483439,393,0,0,8,1,2,2,334,2,passed,582
88,27490193,0,0,0,1,0,4,1,309,1,passed,706
