tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
6770157,559,0,1448,15,3,8,1,148,1,passed
6770326,0,0,0,0,0,1,1,5,1,passed
6770513,23,0,0,0,0,2,1,11,1,passed
6770950,7,0,0,0,0,1,1,11,1,passed
6771910,20,0,22,0,0,2,1,28,1,passed
6814618,20,0,22,0,0,2,1,29,1,passed
6815051,2,0,0,0,0,1,1,26,1,passed
6824097,37,0,134,1,0,6,5,36,5,passed
6939295,31,0,70,0,0,7,1,65,1,passed
7097081,12,0,96,1,0,6,1,66,1,passed
7097200,6,0,0,0,0,1,1,12,1,passed
7098632,2,0,2,0,0,2,2,28,2,passed
7883993,3,0,0,0,0,1,1,28,1,failed
7885532,0,0,15,0,0,1,1,13,1,passed
7893098,92,0,0,1,0,6,1,92,1,failed
8058882,13,0,4,0,0,2,1,35,1,passed
8119859,14,0,15,0,0,2,1,36,1,passed
8126764,83,0,15,0,1,4,1,64,1,failed
8133364,0,0,0,0,0,1,1,6,1,passed
8279152,0,0,0,0,0,1,1,5,1,passed
8762370,0,0,0,0,0,1,1,7,1,passed
8762413,0,0,0,0,0,1,1,8,1,passed
9133517,56,0,0,0,0,1,1,38,1,failed
9133903,0,0,2,0,0,1,1,22,1,passed
10246807,2,0,2,0,0,2,1,40,1,passed
10271894,5,0,4,0,0,2,1,41,1,failed
10273082,0,0,0,0,0,1,1,6,1,passed
10275666,56,0,0,0,0,6,4,90,4,failed
10275864,0,0,4,0,0,1,1,6,1,passed
10363196,101,0,172,0,0,15,1,142,1,failed
10363382,56,0,4,0,0,7,1,96,1,failed
10365643,0,0,12,0,0,2,2,24,2,passed
10366248,0,0,12,0,0,2,1,27,1,passed
10369116,103,0,187,0,2,12,6,139,6,passed
10370355,101,0,172,0,0,15,1,146,1,passed
10375781,89,0,166,0,0,13,1,133,1,failed
10375831,103,0,185,0,2,12,1,150,1,passed
11927338,2,0,8,0,0,2,1,43,1,passed
11927355,2,0,8,0,0,2,1,44,1,passed
12046346,5,0,12,0,0,2,1,47,1,passed
12046378,5,0,12,0,0,2,1,48,1,passed
12046530,2,0,0,0,0,1,1,37,1,passed
12046761,2,0,0,0,0,1,1,38,1,passed
15518022,213,0,0,0,0,2,1,18,1,failed
15524826,5,0,0,0,0,2,1,27,1,passed
16590374,0,0,0,0,0,1,1,15,1,passed
