tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
74285612,108,0,0,0,0,3,1,36,1,passed
74287232,0,0,0,0,0,2,1,29,1,passed
74294369,4,0,0,0,0,1,1,6,1,passed
74295153,0,0,0,0,0,1,1,15,1,passed
74307750,2,0,0,0,0,1,1,30,1,passed
74348736,4,0,0,0,0,1,1,32,1,passed
74754586,4,0,23,0,0,2,1,5,1,passed
74802787,9,0,28,0,0,2,1,7,1,passed
74848101,10,0,0,0,0,2,1,38,1,passed
74848146,0,0,0,0,0,1,1,17,1,passed
75424497,0,0,0,0,0,1,1,24,1,passed
78093930,6,0,0,0,0,1,1,36,1,passed
78094101,4,0,0,0,0,1,1,37,1,passed
78711485,0,0,0,0,0,1,1,36,1,passed
78853836,0,0,0,0,0,1,1,37,1,passed
79214509,0,0,0,0,0,3,1,56,1,passed
79861592,20,0,0,0,0,1,1,39,1,passed
80057963,0,0,0,0,0,2,1,10,1,passed
81414178,0,0,7,0,0,2,1,34,1,passed
88594401,0,0,0,0,0,1,1,28,1,passed
88594406,10,0,0,0,0,4,1,45,1,passed
89805158,2,0,0,0,0,1,1,41,1,passed
90887276,2,0,0,0,0,2,1,71,1,passed
91085790,84,0,107,2,0,0,1,0,1,passed
91085944,84,0,107,2,0,0,1,1,1,passed
91130629,13,0,16,0,0,2,1,17,1,passed
91414989,2,0,0,0,0,2,1,72,1,passed
95885750,16,0,0,0,0,3,1,78,1,passed
95886799,0,0,0,0,0,1,1,18,1,passed
95887011,0,0,0,0,0,1,1,19,1,passed
95895625,2,0,0,0,0,1,1,3,1,passed
95923035,2,0,0,0,0,1,1,4,1,passed
96408324,8,2,0,5,5,8,1,68,1,passed
97665292,2,0,0,0,0,1,1,48,1,passed
98266330,2,0,0,0,0,1,1,7,1,passed
110670241,19,0,0,1,0,0,1,0,1,passed
110670371,19,0,0,1,0,0,1,1,1,passed
110670537,2,0,0,0,0,1,1,49,1,passed
123588479,2,0,0,0,0,1,1,51,1,passed
125079249,0,0,0,0,0,1,1,5,1,passed
125099250,74,0,51,0,0,2,1,12,1,passed
125103354,74,0,51,0,0,2,1,13,1,passed
125118910,0,0,322,0,0,1,1,12,1,passed
125677529,0,0,322,0,0,1,1,13,1,passed
126984253,5,0,10,0,0,2,1,16,1,passed
127099042,5,0,10,0,0,2,1,17,1,passed
127125244,335,0,575,2,0,5,1,82,1,passed
127218571,4,0,0,0,0,1,1,6,1,passed
127219044,335,0,575,2,0,5,1,84,1,passed
127222165,54,0,0,0,0,6,1,55,1,passed
127297609,4,0,0,0,0,1,1,4,1,passed
127297614,0,0,8,0,0,1,1,8,1,passed
127300088,4,0,0,0,0,1,1,5,1,passed
127300117,0,0,8,0,0,1,1,9,1,passed
127300597,22,0,0,0,0,1,1,16,1,passed
127311033,3,0,0,0,0,1,1,7,1,passed
127311125,22,0,0,0,0,1,1,17,1,passed
127916235,0,0,0,0,0,1,1,21,1,passed
127937059,2,0,0,0,0,1,1,14,1,passed
129231846,0,0,0,0,0,1,1,35,1,passed
129420078,2,0,0,0,0,1,1,56,1,passed
135925325,31,0,55,1,0,1,1,18,1,passed
138218402,5,0,0,0,0,1,1,58,1,passed
138219141,0,0,0,0,0,1,1,37,1,passed
138219579,0,0,0,0,0,1,1,22,1,passed
149926340,0,0,0,0,0,4,1,95,1,passed
149930373,0,0,0,0,0,2,1,55,1,passed
149944893,0,0,104,2,0,3,1,56,1,passed
