tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
28082182,15336,0,1,81,89,3,1,78,1,failed
28082199,2738,0,777,14,15,6,1,87,1,failed
28086624,3269,0,2990,0,0,68,3,2,3,passed
28116454,4,0,0,2,1,5,2,14,2,passed
28173893,9,0,0,0,0,2,2,21,2,passed
28174547,2041,0,792,1,0,128,1,16,1,passed
28190796,0,0,0,0,0,2,2,4,2,passed
28267724,7,0,0,0,0,1,1,13,1,passed
28268719,23827,0,4653,147,136,3,1,95,1,passed
28842015,0,0,0,0,0,1,1,3,1,passed
29071718,7,0,0,0,0,2,1,9,1,passed
29072796,0,0,0,0,0,1,1,9,1,passed
29074524,0,0,0,0,0,2,1,15,1,passed
29075120,0,0,0,0,0,1,1,10,1,passed
29477538,263,0,13,0,0,18,2,13,2,passed
29569984,263,0,13,0,0,18,1,15,1,passed
29633797,0,0,0,1,0,1,1,12,1,failed
29640497,0,0,0,1,0,1,1,13,1,failed
29640644,309,0,63,1,1,28,5,21,5,passed
29651539,256,0,50,0,0,27,1,26,1,passed
29673354,0,0,342,0,0,21,1,26,1,passed
29914838,83,0,48,3,1,2,1,16,1,failed
30109011,0,0,0,0,0,2,1,7,1,passed
30111209,0,0,0,0,0,11,1,14,1,passed
30114861,52,0,0,1,3,18,2,19,2,passed
30115286,0,0,18,0,0,1,1,1,1,passed
30119767,24,0,0,0,1,16,5,34,5,failed
30199404,0,0,0,0,0,1,1,7,1,failed
30213520,0,0,0,0,0,11,2,16,2,passed
30329958,0,0,0,4,0,2,1,20,1,passed
30589074,0,0,0,0,0,1,1,1,1,passed
30631622,0,0,342,0,0,21,1,26,1,passed
30688224,7321,0,590,48,25,11,1,69,1,passed
30707279,0,0,0,1,2,3,3,2,3,passed
30707289,184,0,0,1,0,5,1,2,1,failed
30713139,103,0,59,0,0,13,3,25,3,failed
30715863,184,0,0,0,1,5,1,4,1,passed
30717857,0,0,0,0,0,1,1,17,1,passed
30800655,0,0,0,0,0,1,1,19,1,failed
31108902,13,0,0,0,0,5,2,13,2,passed
31185428,0,0,0,0,0,1,1,22,1,failed
32579911,0,0,0,0,0,1,1,25,1,passed
33734002,0,0,0,0,0,1,1,27,1,failed
36622036,22,0,0,0,0,2,2,47,2,passed
37063802,12,0,0,0,0,2,2,44,2,passed
37153381,2,0,0,0,0,1,1,20,1,passed
37870104,540,0,10,0,0,18,5,85,5,passed
37870376,6,0,0,0,0,2,1,47,1,passed
37870550,542,0,10,0,0,19,1,94,1,passed
38226535,756,0,4,1,0,11,1,101,1,passed
38236076,237,0,14,0,1,9,1,99,1,passed
38329728,362,0,66,3,1,7,4,90,4,passed
38329838,2,0,0,0,0,1,1,5,1,passed
38437780,0,0,0,0,0,1,2,58,2,passed
38623323,0,0,0,0,0,1,1,63,1,passed
38653850,0,0,0,0,0,1,1,65,1,passed
38654816,2,0,0,0,0,1,1,21,1,passed
38793620,0,0,0,0,0,1,1,67,1,passed
38853130,0,0,0,0,0,4,3,42,3,passed
38984706,81,0,0,2,0,5,1,71,1,passed
38986286,81,0,0,2,0,5,1,72,1,passed
38989591,81,0,0,2,0,5,1,73,1,passed
38989751,0,0,0,0,0,1,1,69,1,passed
39015383,2,0,95,0,1,2,1,9,1,passed
39023318,2,0,95,0,1,2,1,10,1,passed
39024238,6,0,95,0,1,4,2,86,2,passed
39024284,0,0,0,0,0,1,1,71,1,passed
39034679,9,0,0,0,0,1,1,21,1,passed
39110360,311,0,729,3,0,12,7,65,7,passed
39110478,45,0,209,3,0,5,1,29,1,failed
39110992,0,0,0,0,0,1,1,73,1,passed
39210454,0,0,0,0,0,1,1,20,1,passed
39211974,0,0,178,1,0,2,1,23,1,passed
39212161,0,0,19,0,0,1,1,2,1,passed
39213654,56,0,0,1,0,3,1,44,1,passed
39213968,56,0,0,1,0,3,1,45,1,passed
39216594,0,0,751,1,0,0,1,0,1,passed
39224086,0,0,751,1,0,0,1,1,1,passed
39224550,18,0,0,0,0,2,2,12,2,passed
39229870,58,0,0,2,0,4,1,76,1,passed
39232199,58,0,0,2,0,4,1,77,1,passed
39318882,2,0,0,0,0,1,1,13,1,passed
39320171,2,0,0,0,0,1,1,14,1,passed
39416416,5,0,87,1,0,2,1,9,1,failed
39417285,24,0,8,0,0,17,1,56,1,passed
39437506,3435,0,66,1,11,6,1,80,1,failed
39437764,9,0,0,0,0,1,1,7,1,passed
39440535,2,0,0,0,0,1,1,3,1,passed
39445469,3438,0,66,1,11,6,1,82,1,passed
39452724,0,0,0,0,0,1,1,75,1,passed
39463438,0,0,0,0,0,1,1,75,1,passed
39543704,99,0,0,2,0,1,3,0,3,passed
39546014,65,0,0,2,0,0,1,3,1,passed
39551468,12,0,312,3,0,4,6,17,6,passed
39561995,12,0,308,3,0,4,1,23,1,passed
39637273,1041,0,791,0,4,31,8,134,8,passed
39643799,2,0,147,1,0,2,1,45,1,passed
39663403,692,0,198,2,0,17,4,73,4,passed
