tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
26510860,5712,0,137,106,60,81,37,694,37,passed
26515531,0,0,0,2,0,1,2,10,2,passed
26517479,752,0,0,3,32,2,1,2,1,passed
26576514,0,0,0,0,0,1,1,11,1,passed
26578629,0,0,0,0,0,1,1,2,1,passed
26583110,0,0,0,0,0,1,1,106,1,passed
26643159,389,0,141,22,5,4,4,123,4,passed
26662122,44,0,0,0,0,2,2,12,2,passed
26664578,8,0,0,0,0,1,2,10,2,passed
26737186,22,0,0,0,0,2,2,13,2,passed
26753306,10,0,0,2,1,10,1,1,1,passed
26774930,128,0,0,8,0,2,3,12,3,passed
26977722,6,0,0,0,0,1,1,6,1,passed
27025122,6,0,0,0,0,1,1,7,1,passed
27085375,60,0,0,5,0,9,7,324,7,passed
27089653,101,0,0,3,1,6,3,120,3,passed
27148113,48,0,0,0,0,9,5,70,5,passed
27228012,8,0,0,0,0,6,2,5,2,passed
27228518,99,0,0,0,0,3,3,45,3,failed
27266333,2,0,0,0,0,2,2,114,2,passed
27271878,2,0,0,5,0,4,1,17,1,passed
27318687,0,0,0,0,0,1,1,16,1,passed
28427438,0,0,0,0,0,1,1,6,1,passed
28864511,10,0,0,0,0,1,1,9,1,passed
28876316,4,0,0,0,0,1,1,1,1,passed
28877543,4,0,0,0,0,1,1,2,1,passed
28880859,0,0,0,0,0,2,1,3,1,passed
28881900,0,0,0,0,0,2,1,4,1,passed
29415399,16,0,0,0,0,7,2,4,2,passed
29758000,0,0,0,0,0,2,1,4,1,passed
30188382,22,0,0,0,0,2,1,27,1,passed
30191431,22,0,0,0,0,2,1,28,1,passed
30271223,0,0,0,0,0,5,1,2,1,passed
30275710,0,0,0,0,0,5,1,3,1,passed
30286858,32,0,0,0,0,1,1,9,1,passed
30686679,0,0,12,0,0,1,1,9,1,passed
30819611,173,0,0,0,0,1,1,10,1,passed
30821426,286,0,0,0,1,2,1,13,1,passed
30857963,34,0,0,0,0,1,1,67,1,passed
31281155,7,0,0,0,0,3,1,9,1,passed
31366855,2,0,0,0,0,3,1,12,1,passed
31380999,0,0,0,0,0,2,1,7,1,passed
31434507,0,0,0,0,0,2,1,8,1,passed
31434918,0,0,0,0,0,2,1,9,1,passed
31639164,0,0,0,0,0,2,1,10,1,passed
31640275,0,0,0,0,0,2,1,11,1,passed
31702857,0,0,0,1,0,0,1,0,1,passed
31703264,3,0,0,0,0,3,3,32,3,passed
31713503,2,0,0,0,0,1,1,1,1,passed
31713816,3,0,0,0,0,3,1,35,1,passed
31714202,2,0,0,0,0,1,1,2,1,passed
31714228,0,0,0,1,0,0,1,1,1,passed
31714979,39,0,0,0,0,2,1,11,1,passed
31796489,39,0,0,0,0,2,1,12,1,passed
32196046,28,0,0,0,0,1,1,20,1,passed
32236749,113,3,0,1,0,4,1,45,1,passed
32330784,119,0,0,0,0,1,1,20,1,passed
32972713,13,0,0,0,0,1,1,1,1,passed
33180718,0,0,22,0,0,1,1,10,1,passed
33180799,251,0,0,0,0,4,1,39,1,passed
33193534,62,0,0,2,0,2,1,6,1,passed
33276359,11,0,0,0,0,1,1,37,1,passed
33277873,10,0,0,0,0,2,1,7,1,passed
33502967,10,0,0,0,0,2,1,8,1,passed
33503087,62,0,0,2,0,2,1,7,1,passed
33503207,0,0,22,0,0,1,1,11,1,passed
33503283,11,0,0,0,0,1,1,38,1,passed
33503459,251,0,0,0,0,4,1,40,1,passed
33503627,13,0,0,0,0,1,1,2,1,passed
33503885,28,0,0,0,0,1,1,21,1,passed
33508952,232,0,0,1,0,4,1,47,1,passed
33517769,0,0,0,0,1,0,1,3,1,passed
33522318,0,0,22,0,0,1,1,12,1,passed
33522885,0,0,22,0,0,1,1,13,1,passed
33582572,0,0,22,0,0,1,1,14,1,passed
33584852,0,0,22,0,0,1,1,15,1,passed
33604999,5,0,0,0,0,1,1,38,1,passed
33826587,157,0,0,0,0,3,1,27,1,passed
34492219,6,0,0,0,0,1,1,7,1,passed
34513190,6,0,0,0,0,1,1,8,1,passed
34513305,157,0,0,0,0,3,1,28,1,passed
34521710,226,0,0,1,0,0,1,1,1,passed
35919010,18,0,0,0,0,3,4,36,4,passed
36134741,13,0,0,0,0,2,2,37,2,passed
36156665,2,0,0,0,0,1,1,62,1,passed
36175998,14,0,0,0,0,1,1,42,1,passed
36193806,14,0,0,0,0,1,1,43,1,passed
36271629,0,0,0,0,0,2,1,36,1,passed
36277835,2,0,0,0,0,1,1,63,1,passed
36287967,23,0,2,2,0,9,1,5,1,passed
36304008,5,0,0,0,0,1,1,14,1,passed
36365430,0,0,0,0,0,1,1,109,1,passed
36365734,0,0,0,0,0,1,1,110,1,passed
38088059,0,0,0,0,0,3,2,6,2,passed
38088679,0,0,0,0,0,3,1,8,1,passed
38283615,5,0,0,0,0,1,1,2,1,passed
38284781,5,0,0,0,0,1,1,3,1,passed
38312407,0,0,0,0,2,1,1,15,1,passed
38312866,0,0,0,0,2,1,1,16,1,passed
38652253,0,0,0,0,4,7,2,20,2,passed
38652613,0,0,0,0,4,7,1,22,1,passed
38811651,103,0,0,16,1,9,1,18,1,passed
38824806,19,0,0,0,0,17,1,9,1,passed
38838472,7,0,0,0,1,4,1,14,1,passed
38936426,0,0,0,0,0,1,1,111,1,passed
38937182,0,0,0,0,0,1,1,112,1,passed
39849264,0,0,0,0,0,1,1,113,1,passed
39858427,0,0,0,0,0,1,1,115,1,passed
39876199,0,0,0,0,1,2,1,28,1,passed
39898458,0,0,0,0,0,3,2,13,2,passed
39942510,145,0,0,2,0,2,2,10,2,passed
39946624,0,0,0,0,0,1,1,2,1,passed
40010917,2,0,0,0,0,1,1,2,1,passed
40128966,3,0,0,0,0,7,2,13,2,passed
40130616,3,0,0,0,0,7,1,15,1,passed
40244914,0,0,0,1,0,4,4,195,4,passed
40246824,0,0,0,1,0,4,1,199,1,passed
40251339,0,0,0,0,0,2,1,8,1,passed
40252438,0,0,0,0,0,2,1,9,1,passed
40360184,0,0,0,0,0,10,1,238,1,passed
40592108,0,0,0,0,0,1,1,7,1,passed
40863180,0,0,0,0,0,1,1,111,1,passed
40912975,0,0,0,0,0,1,1,1,1,passed
40914567,0,0,0,0,0,1,1,2,1,passed
41019889,0,0,0,0,1,2,1,29,1,passed
42086898,81,0,0,0,0,2,1,74,1,passed
42117066,0,0,0,1,0,0,1,0,1,passed
42118057,0,0,0,1,0,0,1,1,1,passed
42811577,0,0,0,0,0,1,1,113,1,passed
42846998,0,0,0,0,0,1,1,114,1,passed
43684707,122,0,0,8,0,1,2,115,2,passed
43684783,0,0,0,0,0,1,1,2,1,passed
44659280,1604,0,123,16,10,10,1,301,1,passed
44680226,19,0,0,0,0,1,1,1,1,passed
44715840,6,0,0,0,0,1,1,35,1,passed
44715842,2,0,0,0,0,1,1,2,1,passed
44715844,12,0,0,0,0,1,1,10,1,passed
44715846,5,0,0,0,0,1,1,2,1,passed
44715848,55,0,0,0,0,1,1,66,1,passed
44803566,466,0,0,5,35,24,4,329,4,passed
44805875,0,0,0,0,0,3,1,8,1,passed
44814296,55,0,0,0,0,1,1,67,1,passed
44814351,12,0,0,0,0,1,1,11,1,passed
44814433,6,0,0,0,0,1,1,36,1,passed
44814489,0,0,0,0,0,3,1,9,1,passed
44814526,5,0,0,0,0,1,1,3,1,passed
44841539,2,0,0,0,0,1,1,5,1,passed
44867354,9,0,0,0,0,1,1,52,1,passed
44885490,62,0,0,0,1,5,2,234,2,passed
44890794,0,0,0,0,0,1,1,1,1,passed
44896980,0,0,0,0,0,1,1,9,1,passed
44897291,0,0,0,0,0,1,1,2,1,passed
45047316,83,0,0,0,0,7,3,140,3,passed
45162454,18,0,0,0,0,1,1,41,1,passed
45440356,338,0,0,2,0,3,1,18,1,passed
45452805,2,0,0,0,0,1,1,36,1,passed
45695128,305,0,0,2,23,10,1,16,1,passed
45695414,305,0,0,2,23,10,1,17,1,passed
46001847,93,0,0,0,0,3,1,21,1,passed
46222614,15,0,0,0,0,1,1,22,1,passed
46464677,15,0,0,0,0,1,1,23,1,passed
46464862,93,0,0,0,0,3,1,22,1,passed
46465269,9,0,0,0,0,1,1,53,1,passed
46495155,0,0,0,0,0,1,1,10,1,passed
46994098,0,0,0,0,0,5,1,7,1,passed
47207371,140,0,0,0,0,1,1,12,1,passed
47325923,140,0,0,0,0,1,1,13,1,passed
47329835,140,0,0,0,0,1,1,15,1,passed
47526369,112,0,0,2,0,6,3,112,3,passed
47674735,71,0,0,0,0,2,1,138,1,passed
47742128,20,0,0,0,0,1,1,12,1,passed
47742185,20,0,0,0,0,1,1,13,1,passed
47887552,57,0,0,0,0,1,1,15,1,passed
47943840,57,0,0,0,0,1,1,17,1,passed
48223325,84,0,0,0,0,6,1,159,1,passed
48985656,9,0,0,0,0,1,1,18,1,passed
48985695,9,0,0,0,0,1,1,19,1,passed
49742445,57,0,0,0,0,1,1,19,1,passed
50314843,38,0,0,0,0,1,1,21,1,passed
50582246,248,0,0,0,0,1,1,20,1,passed
50582344,248,0,0,0,0,1,1,21,1,passed
50681670,51,0,0,0,0,1,1,22,1,passed
50681938,51,0,0,0,0,1,1,23,1,passed
50691232,0,0,0,0,0,12,1,289,1,passed
50712886,0,0,0,0,0,20,1,365,1,passed
50713031,0,0,0,0,0,20,1,366,1,passed
51004036,338,0,0,0,0,13,6,313,6,passed
51004328,2864,0,0,10,2,22,1,462,1,passed
51110286,0,0,0,0,0,1,1,1,1,passed
51141226,16,0,0,0,0,1,1,30,1,passed
51141865,16,0,0,0,0,1,1,31,1,passed
51151488,12,0,0,0,0,1,1,32,1,passed
51152127,12,0,0,0,0,1,1,33,1,passed
51241802,31,0,0,0,0,2,1,39,1,passed
51335535,112,0,0,0,0,3,6,41,6,passed
51335764,110,0,0,0,0,3,1,47,1,passed
51405892,37,0,0,0,0,2,2,10,2,passed
51406345,37,0,0,0,0,2,1,12,1,passed
