tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
40895421,402,0,0,3,0,27,14,219,14,passed
40907718,56,0,0,3,0,3,2,55,2,passed
41003799,86,0,0,0,0,3,2,55,2,passed
41023523,265,0,0,2,1,5,3,68,3,passed
41025133,5,0,0,0,0,1,1,1,1,passed
41029095,5,0,0,0,0,1,1,57,1,passed
41048871,72,0,0,0,0,2,1,59,1,passed
41052137,45,0,0,0,0,3,1,108,1,passed
41060347,222,0,0,1,0,6,1,136,1,passed
41063243,4,0,0,0,0,3,2,99,2,passed
41070198,90,0,0,2,0,4,4,20,4,passed
41362448,17,0,0,1,0,7,4,146,4,passed
41453537,1368,0,0,0,4,7,1,111,1,passed
41475551,12,0,0,0,0,2,1,64,1,passed
41892371,151,0,0,0,0,8,3,179,3,passed
41897663,0,0,0,0,0,1,1,14,1,passed
42209756,1255,0,0,6,0,8,5,161,5,passed
42215120,13,0,0,0,0,6,2,91,2,passed
42343307,39,0,0,0,0,16,4,168,4,passed
42386704,20,0,309,1,0,1,1,6,1,passed
42647247,20,0,309,1,0,1,1,7,1,passed
42647415,25,0,0,0,0,6,1,151,1,passed
42648920,0,0,0,0,0,0,1,0,1,passed
42650841,0,0,0,0,0,0,1,1,1,passed
42692365,424,0,0,0,1,14,2,211,2,passed
42696146,66,0,9,0,0,9,1,160,1,passed
42705690,80,0,0,0,0,5,2,158,2,passed
42709529,0,0,0,0,0,2,1,10,1,passed
42773534,21,0,0,0,0,1,1,3,1,passed
42878160,2,0,0,0,0,1,1,74,1,passed
42959166,14,0,0,0,0,6,2,78,2,passed
42977395,4,0,0,0,0,1,1,3,1,passed
43365287,17,0,0,0,0,5,1,160,1,passed
43572252,0,0,0,1,0,0,1,0,1,passed
43600296,0,0,0,1,0,0,1,1,1,passed
44343761,14,0,0,0,0,4,2,72,2,passed
44346910,23,0,0,0,0,2,1,105,1,passed
44464501,2,0,0,0,0,1,1,1,1,passed
44611646,23,0,0,0,0,2,1,106,1,passed
46863466,0,0,0,0,0,3,1,42,1,passed
46871961,933,0,0,0,4,11,4,171,4,passed
46872003,0,0,0,0,0,3,1,43,1,passed
46936535,4,0,0,0,0,1,1,49,1,passed
47778046,1,0,0,0,0,6,1,83,1,passed
47926915,0,0,0,0,0,1,1,37,1,passed
48483064,3,0,0,0,0,1,1,76,1,passed
48512716,7,0,0,0,0,1,1,77,1,passed
48516525,7,0,0,0,0,1,1,78,1,passed
48519047,1,0,0,0,0,6,1,85,1,passed
48522799,9,0,0,0,0,1,1,98,1,passed
48645420,9,0,0,0,0,1,1,99,1,passed
48923864,4,0,371,2,1,5,2,132,2,passed
49019916,4,0,333,2,1,4,1,134,1,passed
49326564,15,0,0,0,0,2,2,131,2,passed
49437109,2,0,0,0,0,1,1,76,1,passed
49536116,2,0,0,0,0,1,1,79,1,passed
49536223,13,0,0,0,0,1,1,73,1,passed
50806170,20,0,0,0,0,1,1,79,1,passed
50978110,5,0,0,0,0,1,1,80,1,passed
51110444,539,0,205,7,0,17,12,270,12,passed
51214302,0,0,0,0,0,1,1,7,1,passed
51412403,525,0,205,7,0,18,1,285,1,passed
51413032,0,0,0,0,0,1,1,8,1,passed
51536923,31,0,164,3,0,3,2,85,2,passed
53808649,31,0,164,3,0,3,1,87,1,passed
53975124,0,0,0,0,0,1,1,3,1,passed
54124555,69,0,0,0,4,16,1,77,1,passed
54340502,106,0,0,0,1,8,2,117,2,passed
54408074,28,0,0,0,0,2,2,87,2,passed
54408825,3675,0,59,45,5,79,1,444,1,passed
54477120,2,0,0,0,0,1,1,13,1,passed
54595275,79,0,0,0,0,8,2,210,2,passed
54599258,1,1,0,0,0,1,1,15,1,passed
54875183,12,0,0,0,0,1,1,96,1,passed
54885465,277,0,0,1,0,1,1,16,1,passed
54912541,2,0,0,0,0,1,1,4,1,passed
55065186,272,0,0,0,1,1,1,47,1,passed
