tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
20114266,217,0,223,2,0,18,14,84,14,failed
20116753,27,0,0,0,0,3,1,49,1,failed
20254200,66,0,0,0,0,5,1,86,1,failed
20311305,49,0,29,0,0,8,1,65,1,failed
20434603,22,0,12,0,0,4,2,80,2,failed
21218141,10,0,18,0,0,5,1,56,1,failed
21270429,231,0,11,4,0,4,1,61,1,failed
21630688,470,0,0,4,3,2,2,52,2,failed
21654251,2,0,0,0,0,1,1,4,1,passed
21657114,35,0,91,1,0,5,3,60,3,passed
21692743,22,0,911,6,0,3,1,35,1,passed
21693240,2,0,13,0,0,3,2,50,2,passed
21710990,44,0,59,0,0,9,4,68,4,passed
21711200,7,0,0,0,0,2,1,33,1,passed
21722137,40,0,280,0,1,11,2,67,2,passed
21722820,30,0,0,0,0,2,1,7,1,passed
21974864,194,0,134,6,0,6,6,58,6,passed
21978495,27,0,11,0,0,4,1,59,1,passed
21981223,63,0,29,0,0,7,2,94,2,passed
21986353,43,0,10,0,0,5,1,61,1,passed
22002369,6,0,0,0,0,2,1,36,1,passed
22055048,57,0,68,1,0,7,1,75,1,passed
22065323,0,0,84,0,0,1,1,3,1,passed
22065543,6,0,0,0,0,2,1,37,1,passed
22195771,2,0,0,0,0,1,1,1,1,passed
22243304,117,2,79,0,0,11,2,107,2,passed
22288605,9,0,43,0,0,6,2,99,2,passed
22296413,22,0,12,0,0,5,2,69,2,passed
22298170,2,0,0,0,0,1,1,2,1,passed
22312698,4,0,0,0,0,2,2,44,2,passed
22546419,4,0,32,0,0,3,1,43,1,passed
22557674,25,0,14,1,0,4,1,65,1,passed
22557861,2,0,0,0,0,1,1,41,1,passed
22569517,31,0,19,0,0,5,1,73,1,passed
22571604,2,0,0,0,0,1,1,42,1,passed
22573921,8,0,2,0,0,8,2,88,2,passed
22803241,22,0,6,0,0,4,1,36,1,passed
22803677,9,0,0,0,0,2,1,45,1,passed
23056557,10,0,0,1,0,0,1,0,1,passed
25356630,3,0,0,0,0,1,1,21,1,passed
26676148,2,0,0,0,0,1,1,8,1,passed
26947293,17,0,12,0,0,7,1,120,1,passed
27147174,17,0,12,0,0,7,1,122,1,passed
27225641,261,0,67,7,0,5,3,36,3,failed
27255710,2,0,0,0,0,2,1,23,1,failed
27520831,68,0,0,0,0,1,1,23,1,failed
27520921,4,0,0,0,0,1,1,24,1,failed
27631961,0,0,14,0,0,2,1,26,1,passed
27888895,57,0,114,1,0,5,1,39,1,passed
27889737,6,0,0,0,0,2,1,48,1,passed
27935044,73,0,0,0,1,1,1,7,1,passed
29028079,4,0,0,0,0,1,1,9,1,passed
30497380,23,0,13,0,0,6,1,77,1,passed
31192090,48,0,78,2,0,4,1,71,1,passed
31280628,4,0,11,0,0,2,1,16,1,passed
31285042,4,0,11,0,0,2,1,17,1,passed
32229445,2,0,0,0,0,1,1,62,1,passed
32331480,22,0,0,0,0,2,1,68,1,passed
32337934,2,0,0,0,0,1,1,63,1,passed
32738464,22,0,14,0,0,3,1,74,1,passed
33344026,16,0,0,0,0,3,2,112,2,passed
38877284,2,0,0,0,0,1,1,24,1,passed
42682243,7,0,0,0,0,2,1,55,1,passed
42682539,3,0,0,0,0,1,1,25,1,passed
44838367,2,0,0,0,0,1,1,26,1,passed
44861806,2,0,0,0,0,1,1,27,1,passed
49988855,4,0,0,0,0,3,2,82,2,failed
50315201,13,0,2,0,0,5,2,37,2,passed
50425126,4,0,0,0,0,2,1,62,1,passed
50425867,16,0,0,0,0,1,1,14,1,passed
50430024,2,0,0,0,0,1,1,28,1,passed
