tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1539165,345,0,0,8,0,5,17,0,17,failed
1539194,0,0,0,1,0,0,1,0,1,passed
1539227,0,0,0,1,0,0,1,0,1,passed
1539309,0,0,0,0,0,1,1,1,1,passed
1539755,2,0,0,0,0,1,1,5,1,passed
1550567,55,0,0,0,0,4,1,15,1,passed
1550619,55,0,0,0,0,4,1,15,1,passed
1550644,0,0,0,0,0,1,1,10,1,passed
1550656,0,0,0,0,0,1,1,9,1,passed
1555435,2,0,0,0,0,1,1,7,1,passed
1626616,2,0,0,0,0,1,1,9,1,passed
1650100,2,0,0,0,0,1,1,10,1,passed
1691367,0,0,0,0,0,2,1,12,1,passed
1788077,22,0,0,0,0,1,1,4,1,passed
1829710,0,0,0,0,0,1,1,12,1,passed
1829715,0,0,0,0,0,1,1,13,1,passed
1829757,4,0,0,0,0,1,1,11,1,passed
1872088,1,0,0,0,0,1,1,12,1,passed
1917213,188,0,0,3,0,2,2,7,2,passed
1917420,1,0,0,0,0,1,1,13,1,passed
1917491,12,0,0,0,0,1,1,1,1,passed
2032083,0,0,0,0,0,1,1,15,1,passed
2032088,0,0,0,0,0,1,1,16,1,passed
2032234,5,0,0,0,0,1,1,15,1,passed
2134299,62,0,0,0,0,7,1,25,1,passed
2315384,0,0,0,0,0,1,1,18,1,passed
2317910,0,0,0,0,0,1,1,19,1,passed
2642958,16,0,0,0,0,2,3,26,3,passed
2643215,10,0,0,0,0,2,1,29,1,passed
2643785,0,0,0,0,0,1,1,22,1,passed
2643787,0,0,0,0,0,1,1,23,1,passed
2643868,3,0,0,0,0,1,1,16,1,passed
3143083,2,0,0,0,0,1,1,17,1,passed
3334004,6,0,0,0,0,5,3,51,3,passed
3334082,0,0,0,0,0,1,1,25,1,passed
3334084,0,0,0,0,0,1,1,26,1,passed
3334092,2,0,0,0,0,1,1,19,1,passed
3935038,3,0,0,0,0,1,1,20,1,passed
4819209,48,0,0,0,0,1,2,15,2,passed
4911917,2,0,0,0,0,2,2,47,2,passed
4911919,0,0,0,0,0,1,1,28,1,passed
5882169,2,0,0,0,0,1,1,22,1,passed
6613816,89,0,0,4,0,2,3,40,3,passed
6996233,50,0,0,0,0,3,1,19,1,passed
7002583,50,0,0,0,0,3,1,20,1,passed
7002745,8,0,0,0,0,2,1,24,1,passed
7002810,1,0,0,0,0,1,1,2,1,passed
7003220,4,0,0,0,0,1,1,24,1,passed
7003417,0,0,0,0,0,1,1,30,1,passed
7003433,0,0,0,0,0,1,1,31,1,passed
7003510,2,0,0,0,0,1,1,25,1,passed
7003725,4,0,0,0,0,1,1,26,1,passed
7202729,185,0,111,5,0,8,1,73,1,passed
7224554,185,0,111,5,0,8,1,74,1,passed
7235262,10,0,0,0,0,2,2,31,2,passed
7406433,179,0,28,0,1,3,1,22,1,passed
7408725,9,0,0,1,0,0,1,0,1,passed
7437555,0,0,0,0,0,1,1,34,1,passed
7615464,0,0,0,0,0,1,1,35,1,passed
7615471,0,0,0,0,0,1,1,36,1,passed
7712020,10,0,0,0,0,6,1,35,1,passed
7885259,26,0,0,0,0,3,1,24,1,passed
7886232,0,0,0,0,0,1,1,37,1,passed
7886241,0,0,0,0,0,1,1,38,1,passed
7899482,4,0,0,0,0,2,1,34,1,passed
8079973,29,0,0,0,0,1,1,24,1,passed
9051928,28,0,0,0,0,6,2,27,2,passed
12954125,53,0,0,0,0,1,3,33,3,passed
13711670,69,0,0,0,0,4,1,56,1,passed
14225801,28,0,0,0,0,1,1,27,1,passed
14226054,0,0,0,0,0,1,1,40,1,passed
14226058,0,0,0,0,0,1,1,41,1,passed
14227181,14,0,0,0,0,4,1,41,1,passed
29169075,0,0,0,0,0,2,1,45,1,passed
29170724,0,0,0,0,0,1,1,43,1,passed
29176639,0,0,0,0,0,1,1,44,1,passed
29176647,0,0,0,0,0,1,1,45,1,passed
29176838,6,0,0,0,0,2,1,39,1,passed
