tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
50880472,0,0,0,0,0,1,1,2,1,failed
50883483,2,0,0,0,0,2,2,81,2,failed
50884893,0,0,0,0,0,1,1,4,1,failed
50886234,0,0,0,0,0,1,1,3,1,failed
50887135,0,0,0,0,0,1,1,30,1,failed
50887655,0,0,0,0,0,1,1,5,1,failed
50888825,2,0,0,0,0,1,1,4,1,failed
50889100,47,0,0,0,0,1,1,5,1,passed
50889907,2,0,0,0,0,1,1,6,1,passed
50890552,0,0,0,0,0,1,1,7,1,passed
50890670,2,0,0,0,0,1,1,7,1,passed
50891195,2,0,0,0,0,2,1,14,1,passed
50891443,0,0,0,0,0,1,1,9,1,passed
50891967,13,0,0,0,0,1,1,9,1,passed
50892419,12,0,0,0,0,1,1,10,1,passed
50893133,9,0,0,0,0,1,1,11,1,passed
50893422,3,0,0,0,0,2,1,19,1,passed
50895657,2,0,0,0,0,1,1,61,1,passed
50900616,4,0,0,0,0,1,1,7,1,passed
50906232,2,0,0,0,0,1,1,25,1,passed
50909144,4,0,0,1,0,3,1,85,1,passed
50909853,2,0,0,0,0,2,1,14,1,passed
50910044,0,0,0,0,0,1,1,32,1,passed
50910748,2,0,0,0,0,1,1,14,1,passed
50911135,0,0,0,0,0,3,1,34,1,passed
50964618,0,0,0,0,0,0,1,1,1,passed
50965436,958,0,0,0,0,5,1,2,1,passed
50966000,31,0,0,0,0,3,2,21,2,passed
50967034,0,0,0,0,0,2,1,3,1,passed
50967207,0,0,0,0,0,1,1,3,1,passed
50968114,4,0,0,1,0,4,1,88,1,passed
50968457,0,0,0,0,0,1,1,35,1,passed
51044978,0,0,0,0,0,1,1,13,1,passed
51100657,0,0,0,0,0,1,1,10,1,passed
51120481,6,0,0,0,0,1,1,17,1,passed
51120958,0,0,0,0,0,1,1,11,1,passed
51122229,44,0,0,0,0,2,1,8,1,passed
51140191,0,0,0,0,0,1,1,12,1,passed
51140311,0,0,0,0,0,2,1,38,1,passed
51145810,23,0,0,0,1,1,1,27,1,passed
51146728,44,0,0,0,0,2,1,9,1,passed
51146736,23,0,0,0,1,1,1,28,1,passed
51146805,0,0,0,0,0,2,1,39,1,passed
51159318,0,0,0,0,0,1,1,3,1,passed
51159773,5,0,0,0,0,1,1,26,1,passed
51177562,45,0,0,0,0,1,1,17,1,passed
51177984,11,0,0,0,0,2,2,5,2,passed
51179475,1,0,0,0,0,1,1,4,1,passed
51180650,2,0,0,0,0,1,1,14,1,passed
51181051,4,0,0,1,0,3,1,67,1,passed
51181704,0,0,0,0,0,1,1,38,1,passed
51186333,0,0,0,0,0,1,1,39,1,passed
51234549,2,0,0,0,0,1,1,27,1,passed
51256311,2,0,0,0,0,1,1,2,1,passed
51278353,2,0,0,0,0,1,1,28,1,passed
51280683,40,0,0,0,0,3,1,45,1,passed
51286298,45,0,0,0,0,1,1,8,1,passed
51288308,18,0,0,0,0,2,3,15,3,passed
51302187,85,0,0,1,0,5,1,66,1,passed
51302418,45,0,0,0,0,1,1,9,1,passed
51302487,16,0,0,0,0,2,1,18,1,passed
51302516,85,0,0,1,0,5,1,69,1,passed
51304136,202,0,18,0,0,22,2,87,2,passed
51311840,19,0,0,0,0,3,2,95,2,passed
51315808,31,0,0,0,0,3,1,31,1,passed
51315854,31,0,0,0,0,3,1,32,1,failed
51316323,0,0,2,0,0,1,1,9,1,passed
51316993,4,0,0,1,0,4,1,97,1,passed
51440069,14,0,0,0,0,1,1,32,1,passed
51440334,45,0,0,2,0,6,1,53,1,passed
51452972,73,0,0,2,0,4,1,53,1,passed
51462917,53,0,0,0,0,1,1,1,1,passed
51469361,4,0,0,0,0,1,1,67,1,passed
51476172,4,0,0,0,0,1,1,68,1,passed
51476185,171,0,0,4,0,8,1,57,1,passed
51476608,4,0,0,1,0,4,1,100,1,passed
51487430,0,0,0,0,0,2,1,3,1,passed
51586986,312,0,0,2,0,5,2,60,2,passed
51587841,14,0,0,0,0,2,1,39,1,passed
51587897,0,0,0,0,0,2,1,4,1,passed
51588066,2,0,0,0,0,1,1,5,1,passed
51588497,2,0,0,0,0,5,1,26,1,passed
51588866,10,0,0,0,0,1,1,20,1,passed
51605806,109,0,0,1,0,2,2,102,2,passed
51606437,8,0,0,1,0,5,2,137,2,passed
51616341,2,0,0,0,0,1,1,72,1,passed
51693580,2,0,0,0,0,1,1,73,1,passed
51772532,125,0,0,0,0,7,1,83,1,passed
51783801,2,0,0,0,0,1,1,5,1,passed
51784391,2,0,0,0,0,1,1,6,1,passed
51891791,2,0,0,0,0,1,1,7,1,passed
51906274,416,0,0,3,1,2,1,55,1,passed
51921455,250,0,0,2,0,4,1,19,1,passed
51927229,13,0,0,0,0,2,1,1,1,passed
51928755,4,0,0,1,0,4,1,107,1,passed
51934240,2,0,0,0,0,1,1,75,1,passed
51934304,0,0,0,0,0,1,1,47,1,passed
51971601,2,0,0,0,0,1,1,5,1,passed
52012888,2,0,0,0,0,1,1,6,1,passed
52020204,18,0,23,0,0,5,1,9,1,passed
52058659,0,0,0,2,0,0,1,0,1,passed
52058749,0,0,0,0,0,1,1,4,1,passed
52061860,0,0,0,0,0,2,1,1,1,passed
52061911,15,0,0,0,0,3,1,35,1,passed
52062509,0,0,0,0,0,1,1,11,1,passed
52063903,0,0,0,0,0,1,1,2,1,passed
52065992,0,0,0,0,0,1,1,14,1,passed
52065998,6,0,0,0,0,1,1,39,1,passed
52072542,6,0,0,1,0,5,2,113,2,passed
52085946,2,0,0,0,0,1,1,1,1,passed
52085985,2,0,0,0,0,1,1,2,1,passed
52086991,1,0,0,0,0,1,1,17,1,passed
52089483,6,0,0,0,0,2,1,21,1,passed
52092844,21,0,0,0,0,2,1,10,1,passed
52103951,16,0,0,0,0,1,1,8,1,passed
52167583,16,0,0,0,0,1,1,9,1,passed
52167781,6,0,0,0,0,1,1,10,1,passed
52190620,0,0,0,2,0,0,1,0,1,passed
52199118,0,0,0,0,0,1,1,1,1,passed
52201868,18,0,0,0,0,2,1,7,1,passed
52204656,16,0,0,0,0,3,2,14,2,passed
52204967,0,0,0,0,0,1,1,2,1,passed
52205424,0,0,0,0,0,1,1,3,1,passed
52208746,6,0,0,1,0,5,1,115,1,passed
52210292,0,0,0,0,0,1,1,4,1,passed
52212572,0,0,0,0,0,2,1,5,1,passed
52286403,2,0,0,0,0,1,1,2,1,passed
52301828,2,0,0,0,0,1,1,3,1,passed
52328648,4,0,0,0,0,1,1,8,1,passed
52353297,16,0,0,0,0,3,2,13,2,passed
52353661,2,0,0,0,0,3,1,12,1,passed
52356485,22,0,0,0,0,1,1,4,1,passed
52358499,6,0,0,1,0,5,1,116,1,passed
52361231,0,0,0,0,0,1,1,6,1,passed
52362060,0,0,0,0,0,1,1,7,1,passed
52362147,0,0,0,0,0,1,1,8,1,passed
52367881,14,0,49,0,0,2,1,8,1,failed
52415507,2,0,0,0,0,1,1,40,1,passed
52463282,2,0,0,0,0,1,1,41,1,passed
52464375,0,0,0,0,0,1,1,52,1,passed
52485040,14,0,79,0,0,2,1,10,1,passed
52554041,3,0,22,0,0,2,1,10,1,passed
52597280,3,0,22,0,0,2,1,11,1,passed
52804934,0,0,0,0,0,1,1,4,1,passed
52825859,127,0,0,0,0,7,1,89,1,passed
52825915,251,0,0,2,0,4,1,21,1,passed
52825956,52,0,0,2,0,2,1,11,1,passed
52826178,21,0,0,0,0,2,1,22,1,passed
52827224,4,0,0,0,0,2,1,10,1,passed
52830770,0,0,0,0,0,1,1,6,1,passed
52847944,17,0,0,0,0,7,4,36,4,passed
52849669,6,0,0,1,0,5,1,119,1,passed
52849823,0,0,0,0,0,1,1,1,1,passed
52850081,0,0,0,0,0,1,1,2,1,passed
52855577,4,0,0,0,0,1,1,2,1,passed
52867471,4,0,0,0,0,1,1,47,1,passed
52951400,4,0,0,0,0,1,1,48,1,passed
52988354,1681,0,0,7,1,4,1,61,1,passed
53147575,127,0,0,0,0,7,4,71,4,passed
53147656,50,0,0,1,0,4,1,33,1,passed
53147747,29,0,0,0,0,2,1,53,1,passed
53154967,13,0,0,0,0,1,1,8,1,passed
53156217,8,0,0,1,0,5,2,120,2,passed
53158096,2,0,0,0,0,1,1,9,1,passed
53253776,6,0,0,0,0,1,1,10,1,passed
53299319,19,0,0,0,0,1,1,6,1,passed
53411278,10,0,0,0,0,2,1,86,1,passed
53411602,6,0,0,0,0,1,1,83,1,passed
53419813,6,0,0,0,0,1,1,13,1,passed
53438469,5,0,0,0,0,1,1,10,1,failed
53438531,2,0,0,0,0,1,1,50,1,passed
53438781,1,0,0,0,0,1,1,21,1,failed
53439011,6,0,4,0,0,2,1,23,1,passed
53439318,15,0,0,0,0,1,1,19,1,passed
53753251,6,0,0,0,0,1,1,8,1,passed
53761356,9,0,0,0,0,1,1,9,1,passed
53765862,13,0,0,0,0,1,1,10,1,passed
53892310,7,0,0,0,0,1,1,16,1,passed
53906313,105,0,4,0,0,5,1,51,1,passed
53907002,3,0,0,0,0,1,1,2,1,passed
53907781,6,0,0,1,0,5,1,124,1,passed
54012354,0,0,0,0,0,1,1,56,1,passed
54035356,8,0,0,0,0,1,2,51,2,passed
54038893,8,0,0,0,0,1,1,53,1,passed
54043801,0,0,0,0,0,1,1,57,1,passed
54053247,1,0,0,0,0,1,1,14,1,passed
54332165,1,0,0,0,0,1,1,15,1,passed
54332361,2,0,0,0,0,1,1,4,1,passed
54336210,68,0,0,1,0,10,1,157,1,passed
54389804,11,0,0,0,0,1,1,5,1,passed
54421455,11,0,0,0,0,1,1,6,1,passed
54662931,30,0,0,1,0,6,3,140,3,passed
54829986,907,0,105,12,0,53,4,367,4,passed
54834472,905,0,105,12,0,52,2,367,2,passed
54902114,4,0,0,0,0,1,1,6,1,passed
54903161,4,0,0,0,0,1,1,8,1,passed
54951290,646,0,4,3,0,22,2,258,2,passed
55008297,7,0,0,0,0,1,1,3,1,failed
55086486,7,0,0,0,0,1,1,4,1,failed
55094690,1,0,0,0,0,1,1,5,1,passed
55096104,18,0,0,0,0,3,1,18,1,passed
55337974,22,0,4,0,0,2,1,27,1,passed
55546884,18,0,0,0,0,2,1,2,1,passed
55548092,22,0,4,0,0,2,1,30,1,passed
55583142,36,0,24,1,0,1,1,10,1,passed
55584285,0,0,0,0,0,1,1,1,1,passed
55706670,0,0,0,0,0,2,1,17,1,passed
55707441,0,0,0,0,0,1,1,10,1,passed
55722200,0,0,0,1,0,0,1,0,1,passed
55729829,0,0,0,1,0,2,1,23,1,passed
55730640,0,0,0,0,0,1,1,10,1,passed
55730792,0,0,0,0,0,1,1,1,1,passed
55731317,0,0,0,1,0,1,1,12,1,passed
56144486,46,0,0,0,0,1,1,30,1,passed
56147131,10,0,0,0,0,2,1,27,1,failed
56147804,1,0,0,0,0,1,1,15,1,passed
57217647,2,0,0,0,0,1,1,13,1,passed
57416769,95,0,0,0,0,2,1,6,1,passed
57445507,0,0,0,0,0,1,1,18,1,passed
57446092,6,0,0,1,0,5,1,133,1,passed
57596966,2020,0,24,10,1,13,1,111,1,passed
57597992,6,0,0,1,0,5,1,137,1,passed
57598342,4,0,0,0,0,1,1,4,1,passed
57688552,29,0,0,0,0,1,1,93,1,passed
57756019,2,0,0,0,0,1,1,16,1,passed
57756406,6,0,0,1,0,5,1,139,1,passed
57836930,2,0,0,0,0,1,1,33,1,passed
57843443,41,0,0,0,0,3,1,48,1,passed
58009714,79,0,0,0,0,1,1,8,1,passed
58337006,6,0,0,0,0,1,1,15,1,passed
58353789,4,0,0,0,0,2,1,100,1,passed
58354098,0,0,0,0,0,1,1,68,1,passed
58384282,19,0,0,1,0,4,2,76,2,passed
58833622,26,0,0,0,0,4,1,4,1,passed
58833852,140,0,79,2,0,0,1,0,1,passed
58845389,7,0,0,0,0,4,1,97,1,passed
58846465,0,0,0,0,0,4,2,85,2,passed
58846654,0,0,0,0,0,1,1,14,1,passed
59150840,32,0,0,0,2,3,4,51,4,passed
59350002,37,0,0,0,0,3,2,66,2,passed
59444024,0,0,0,1,0,1,1,15,1,passed
59474047,140,0,79,2,0,0,1,1,1,passed
59474058,57,0,0,0,0,8,1,117,1,passed
59474099,37,0,0,0,0,3,1,70,1,passed
59474106,0,0,0,1,0,1,1,16,1,passed
59475494,8,0,0,0,0,1,1,2,1,passed
59481163,2,0,0,1,0,3,1,76,1,passed
59485441,41,0,0,0,0,1,2,17,2,passed
59485761,2,0,0,1,0,3,1,77,1,passed
59497564,6,0,0,0,0,2,2,32,2,passed
59498466,2,0,0,0,0,1,1,21,1,passed
59499728,2,0,0,1,0,3,1,78,1,passed
60169861,2,0,0,0,0,4,2,104,2,passed
60309568,4,0,0,0,0,1,1,9,1,passed
60310824,12,0,0,0,0,2,1,42,1,passed
60336180,2,0,0,0,0,4,1,106,1,passed
60605765,2,0,0,0,0,4,1,107,1,passed
61194816,0,0,0,0,0,1,1,8,1,passed
61211994,8,0,0,0,0,2,1,8,1,passed
61212500,4,0,0,0,0,1,1,10,1,passed
61213325,2,0,0,1,0,3,1,79,1,passed
61554617,10,0,0,0,0,2,2,135,2,passed
61554940,1,0,0,0,0,1,1,63,1,passed
61563408,96,0,0,1,0,1,1,65,1,passed
61563781,2,0,0,1,0,3,1,81,1,passed
61658329,258,0,0,2,0,0,1,0,1,passed
62034883,0,0,0,0,0,1,1,11,1,passed
62270462,17,0,0,0,0,1,1,9,1,passed
62318900,10,0,0,0,0,2,1,5,1,passed
62325698,28,0,0,0,0,1,1,22,1,passed
62327392,258,0,0,2,0,0,1,1,1,passed
62341690,41,0,0,0,0,3,1,60,1,passed
62342440,2,0,0,1,0,3,1,82,1,passed
62517682,147,0,276,1,0,2,1,21,1,passed
62626149,147,0,276,1,0,2,1,22,1,passed
62626310,7,0,4,0,0,3,1,22,1,passed
62629015,3,0,0,0,0,1,1,8,1,passed
62629370,2,0,0,0,0,1,1,13,1,passed
62658333,7,0,4,0,0,3,1,24,1,passed
62658339,3,0,0,0,0,1,1,9,1,passed
62658367,33,0,61,0,0,3,1,26,1,passed
62658381,2,0,0,0,0,1,1,14,1,passed
62659289,2,0,0,1,0,4,2,96,2,passed
63565532,22,0,0,0,0,1,1,12,1,passed
63596689,23,0,0,0,0,1,1,66,1,passed
63597232,5,0,0,0,0,1,1,65,1,passed
63598462,93,0,0,0,0,1,1,4,1,passed
63602944,22,0,0,0,0,1,1,13,1,passed
63602985,23,0,0,0,0,1,1,67,1,passed
63603288,93,0,0,0,0,1,1,5,1,passed
63603656,2,0,0,1,0,3,1,84,1,passed
64182849,14,0,0,0,0,1,1,9,1,passed
64183248,7,0,0,0,0,1,1,2,1,passed
64304828,20,0,0,0,0,1,1,21,1,passed
64316667,38,0,0,0,0,2,2,37,2,passed
