tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
10727989,1808,0,190,11,1,55,53,828,53,failed
10728360,2,0,0,0,0,1,1,6,1,failed
10734887,57,0,0,0,0,3,2,98,2,failed
10772823,86,0,0,0,0,1,1,7,1,failed
10776154,6,0,0,7,0,6,1,100,1,failed
10861178,12,0,0,0,0,3,2,294,2,passed
10871164,10985,0,6,13,20,4,3,95,3,passed
10871908,0,0,0,0,0,2,1,81,1,passed
10872281,0,0,0,0,0,1,1,1,1,passed
10872443,0,0,0,0,0,1,1,68,1,passed
10873079,0,0,17,0,0,1,1,3,1,passed
10874126,17,0,0,0,0,4,1,82,1,failed
10884011,0,0,0,0,0,1,1,71,1,passed
10884679,5,0,0,0,0,2,1,83,1,passed
10886220,14,0,4,0,0,5,4,111,4,passed
10887167,0,0,0,0,0,2,1,76,1,passed
10889312,0,0,4,0,0,1,1,4,1,passed
10908756,3,0,0,0,0,1,1,24,1,passed
10951810,1128,0,0,13,0,4,2,58,2,passed
10990021,712,0,0,3,0,15,3,286,3,passed
11005162,2450,0,0,3,1,15,3,456,3,passed
11006693,240,0,0,1,0,9,2,269,2,passed
11020618,316,0,0,0,0,14,3,353,3,passed
11058535,138,0,0,0,0,10,10,509,10,passed
11077490,139,0,0,1,0,4,5,130,5,passed
11077578,2,0,0,0,0,1,1,11,1,passed
11116290,227,0,0,0,0,9,5,344,5,passed
11117348,29,0,0,0,0,1,1,50,1,passed
11140374,184,0,0,0,0,14,11,472,11,passed
11152020,511,0,0,2,0,7,6,170,6,passed
11153847,3,0,0,0,0,1,1,34,1,passed
11202270,589,0,0,0,0,22,18,630,18,passed
11218824,405,0,0,0,0,7,8,283,8,failed
11255949,3635,0,0,11,0,38,13,559,13,passed
11283091,17,0,0,0,0,2,1,156,1,passed
11300300,190,0,0,0,0,2,2,21,2,passed
11324766,289,0,0,0,0,8,4,234,4,passed
11326857,8,0,0,0,0,5,3,287,3,passed
11329783,3,0,0,0,0,1,1,2,1,passed
11377947,111,0,0,0,0,4,4,121,4,passed
11422120,343,0,0,2,0,11,8,99,8,passed
11425005,128,0,0,1,0,5,2,119,2,passed
11426350,26,0,0,1,0,2,2,5,2,passed
11440625,140,0,0,1,0,1,1,7,1,passed
11500554,91,0,0,0,0,1,2,66,2,passed
11690820,30,0,0,0,0,1,1,33,1,passed
11795508,6,0,0,0,0,2,1,137,1,passed
11969707,222,0,0,0,0,9,3,204,3,failed
12189619,62,0,0,0,0,10,11,473,11,passed
12249188,161,0,0,0,1,9,4,404,4,passed
12287955,89,0,0,0,0,3,2,30,2,passed
12371637,17,0,0,0,0,2,2,9,2,passed
12392062,6,0,0,0,0,1,1,46,1,passed
12393235,22,0,0,0,0,1,1,47,1,passed
12420693,136,0,0,0,0,8,7,352,7,passed
12477239,6,0,0,0,0,1,1,5,1,passed
12479600,27,0,0,0,0,2,1,12,1,passed
12479747,18,0,0,0,0,1,1,6,1,passed
12480049,19,0,0,0,0,1,1,7,1,passed
12480499,24,0,0,0,0,1,1,8,1,passed
12991096,157,0,0,0,0,7,1,242,1,passed
13694078,58,0,0,0,0,19,1,439,1,failed
13773931,0,0,0,0,0,1,1,46,1,passed
14677132,277,0,0,0,0,6,6,357,6,passed
14695695,2,0,0,0,0,1,1,24,1,passed
14698110,0,0,0,1,1,0,1,24,1,passed
14807098,0,0,2,0,0,1,1,5,1,passed
14862154,11,0,0,0,0,2,2,227,2,passed
17132684,30,0,0,0,0,3,4,67,4,passed
17274140,267,0,0,1,0,3,3,219,3,passed
17276548,66,0,0,0,0,2,1,187,1,passed
17278980,1609,0,0,1,0,9,2,371,2,passed
17279423,78,1,0,0,0,3,1,270,1,passed
17715500,112,0,0,0,0,3,3,46,3,passed
17715945,2,0,0,0,0,1,1,38,1,passed
17730965,73,0,0,0,0,3,4,172,4,passed
17752682,3,0,0,0,0,1,1,115,1,passed
17757540,157,0,0,0,0,1,2,116,2,passed
17758343,570,0,0,0,0,1,3,118,3,passed
17762495,54,0,0,1,0,0,1,0,1,passed
17763979,92,0,0,0,0,1,1,1,1,passed
17770212,22,0,0,0,0,1,1,56,1,passed
17770819,46,0,0,0,0,1,1,57,1,passed
17831747,57,0,0,0,0,4,2,139,2,passed
17832578,29,0,0,0,0,4,1,375,1,passed
17833273,3,0,0,0,0,1,1,34,1,passed
17837908,417,0,0,0,0,2,2,151,2,passed
17915134,42,0,0,1,0,0,1,0,1,passed
18190982,33,0,0,0,0,2,2,70,2,passed
18203527,35,0,0,0,0,3,3,155,3,passed
18203714,14,0,0,0,0,1,1,10,1,passed
18204228,52,0,0,1,0,0,1,0,1,passed
18258794,20,0,0,0,0,4,4,77,4,passed
18268075,175,0,0,2,0,1,1,4,1,passed
18270746,102,0,0,1,0,1,1,1,1,passed
18273501,53,0,0,0,0,2,1,2,1,passed
18361171,6,0,0,0,0,1,2,49,2,passed
22430334,33,0,0,0,0,1,1,174,1,passed
126104412,19,0,0,0,0,1,1,2,1,failed
126113528,0,0,0,0,0,1,1,4,1,failed
126115280,4,0,0,0,0,1,1,70,1,failed
126115885,0,0,0,0,0,1,1,85,1,passed
126424710,510,0,0,1,0,7,1,309,1,passed
126502398,162,0,0,0,0,3,2,198,2,passed
