tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
47570757,2,0,22,0,0,2,1,13,1,failed
47572412,4,0,0,0,0,1,1,17,1,failed
47573841,7,0,12,0,0,3,1,22,1,failed
47574740,16,0,2,0,0,2,1,21,1,failed
47575960,4,0,0,0,0,1,1,10,1,passed
47635441,1,0,0,0,0,1,1,79,1,passed
47714381,6,0,0,0,0,1,1,13,1,passed
47935748,16,0,12,0,0,3,3,82,3,passed
48170966,8,0,0,0,0,1,1,11,1,passed
48238674,24,0,0,0,0,3,3,89,3,passed
48271754,16,0,12,0,0,3,1,85,1,passed
48271796,8,0,0,0,0,1,1,12,1,passed
48272034,24,0,0,0,0,3,1,95,1,passed
48272064,5,0,0,0,0,1,1,84,1,passed
48272124,4,0,0,0,0,1,1,8,1,passed
48614554,53,0,12,0,0,6,1,112,1,passed
48615879,27,0,0,1,0,0,1,0,1,passed
48615925,0,0,0,0,0,1,1,2,1,passed
48824588,80,0,90,2,0,2,1,100,1,passed
48831206,80,0,90,2,0,2,1,101,1,passed
48875989,80,0,90,2,0,2,1,102,1,passed
48876493,2,0,0,0,0,1,1,3,1,passed
48877754,9,0,0,0,0,2,1,91,1,failed
48877954,7,0,8,0,0,3,1,21,1,passed
48880352,14,0,8,0,0,2,1,8,1,passed
48901930,14,0,8,0,0,2,1,9,1,passed
48911177,2,0,0,0,0,1,1,91,1,passed
48941488,4,0,0,0,0,1,1,92,1,passed
48941940,73,0,26,2,0,5,1,124,1,passed
48942009,6,0,0,0,0,2,1,23,1,passed
49022876,13,0,0,0,0,4,2,48,2,passed
49023056,7,0,0,0,0,1,1,95,1,passed
49093371,31,0,0,1,0,1,1,24,1,passed
49118785,53,0,0,1,0,3,1,115,1,passed
49123828,15,0,0,0,0,3,1,36,1,passed
49182587,33,0,0,0,0,1,1,14,1,passed
49184949,7,0,0,0,0,1,1,15,1,passed
49513758,49,0,0,0,0,4,1,127,1,passed
49516084,25,0,0,0,0,4,2,124,2,passed
49520593,65,0,0,0,0,3,1,118,1,passed
49623852,65,0,0,0,0,3,1,119,1,passed
49958184,127,0,116,2,0,2,1,34,1,passed
