tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
2144837,0,0,0,1,0,0,1,1,1,failed
2144841,0,0,0,0,0,1,1,2,1,failed
2144858,10,0,0,0,0,2,1,25,1,failed
2144916,2,0,0,0,0,1,1,80,1,failed
2144956,2,0,0,0,0,1,1,8,1,failed
2144995,0,0,0,0,0,1,1,3,1,failed
2145369,4,0,2,0,0,3,1,79,1,failed
2145392,2,0,0,0,0,1,1,5,1,failed
2145871,0,0,0,0,0,1,1,5,1,failed
2146017,0,0,18,0,0,2,2,33,2,failed
2146653,58,0,0,0,0,3,1,21,1,failed
2146754,4,0,10,0,0,2,1,26,1,failed
2146838,0,0,0,0,0,1,1,7,1,failed
2152789,2,0,0,0,0,1,1,82,1,failed
2153004,2,0,0,0,0,1,1,14,1,failed
2153497,21,0,0,0,0,1,1,25,1,failed
2156864,1,0,0,0,0,1,1,40,1,failed
2157476,13,0,10,0,0,2,1,26,1,failed
2179000,22,0,0,0,0,1,1,14,1,failed
2180676,6,0,0,0,0,1,1,22,1,failed
2192659,2,0,0,0,0,1,1,10,1,failed
2192773,2,0,0,0,0,1,1,11,1,failed
2210213,47,0,8,0,0,2,1,42,1,failed
2214820,47,0,8,0,0,2,1,43,1,failed
2214944,10,0,0,0,0,1,1,4,1,failed
2214963,0,0,0,0,0,1,1,8,1,passed
2218037,9,0,0,0,0,1,1,26,1,passed
2218411,9,0,0,0,0,1,1,27,1,passed
2222532,17,0,3,0,0,5,1,19,1,passed
2256009,17,0,3,0,0,5,1,20,1,passed
2257207,2,0,0,0,0,1,1,6,1,passed
2262943,2,0,0,0,0,1,1,7,1,passed
2276607,87,0,11,0,0,12,1,104,1,passed
2285099,11,0,1,0,0,5,1,76,1,failed
2289379,3,0,0,0,0,1,1,28,1,passed
2289852,3,0,0,0,0,1,1,29,1,passed
2295944,119,0,0,2,0,5,1,9,1,passed
2310711,13,0,2,0,0,5,5,31,5,passed
2323181,13,0,2,0,0,5,1,36,1,failed
2323190,0,1,0,0,0,1,1,11,1,failed
2332770,1245,0,221,33,0,4,1,210,1,passed
2332989,2,0,5,0,0,2,1,11,1,passed
2333128,2,0,0,0,0,1,1,4,1,passed
2335133,2,0,0,0,0,1,1,55,1,passed
2335672,2,0,0,0,0,1,1,17,1,passed
2335959,12,0,5,0,0,5,2,19,2,passed
2336054,574,3,161,26,0,3,1,191,1,failed
2336394,0,0,2,0,0,1,1,11,1,failed
2336471,0,0,2,0,0,1,1,11,1,passed
2341077,0,0,15,0,0,2,1,26,1,passed
2343961,2,0,0,0,0,1,1,42,1,passed
2347578,2,0,0,0,0,1,1,43,1,passed
2366212,9,0,3,0,0,6,1,24,1,passed
2369546,9,0,3,0,0,6,1,25,1,passed
2372600,28,0,37,0,0,4,2,6,2,passed
2383291,615,0,45,14,0,5,1,178,1,passed
2385872,2,0,0,0,0,1,1,10,1,passed
2397147,4,0,0,0,0,1,1,10,1,passed
2397709,10,0,2,0,0,3,1,198,1,passed
2397776,4,0,0,0,0,2,1,70,1,passed
2401560,103,0,29,8,0,3,3,101,3,passed
2408975,16,0,0,0,0,1,1,39,1,passed
2415125,10,0,0,0,0,4,3,92,3,passed
2422957,10,0,0,0,0,4,1,95,1,passed
2436073,10,0,0,0,0,1,1,29,1,passed
2451311,650,0,347,32,0,9,11,91,11,passed
2451371,642,0,339,32,0,4,1,102,1,passed
2462214,6,0,3,0,0,3,2,30,2,passed
2462259,6,0,0,0,0,1,1,138,1,passed
2463456,6,0,0,0,0,3,1,494,1,passed
2505995,2,0,0,0,0,1,1,17,1,passed
2508315,2,0,0,0,0,1,1,18,1,passed
2518204,65,0,166,3,0,1,1,37,1,passed
2530399,262,0,49,5,0,6,1,49,1,passed
2530684,96,0,4,0,0,5,2,16,2,passed
2531753,128,0,36,0,0,11,4,45,4,passed
2531948,26,0,0,0,0,4,3,59,3,passed
2539028,292,0,201,3,0,23,5,71,5,passed
2540023,251,0,66,5,0,3,1,55,1,passed
2540792,6,0,0,0,0,1,1,20,1,passed
2547165,2,0,0,0,0,1,1,44,1,passed
2548063,507,0,0,0,9,1,1,37,1,passed
2559570,99,0,113,8,0,2,1,35,1,failed
2559580,2,0,0,0,0,1,1,35,1,failed
2573546,3,0,10,0,0,3,2,115,2,failed
2574016,2,0,0,0,0,1,1,5,1,failed
2574103,472,0,260,14,0,4,1,46,1,failed
2584277,8,0,0,0,0,3,2,13,2,failed
2586457,8,0,0,0,0,3,1,15,1,failed
2597628,2,0,24,0,0,2,2,23,2,failed
2598128,491,0,49,0,0,22,1,47,1,failed
2622133,8,0,0,0,0,2,1,53,1,failed
2625461,8,0,0,0,0,2,1,54,1,failed
2633040,917,0,247,1,0,43,17,139,17,failed
2638777,681,0,167,1,0,43,1,156,1,failed
2639164,11,0,7,0,0,2,2,3,2,passed
2641474,1201,0,247,1,0,74,1,258,1,passed
2641566,2,0,0,0,0,1,1,7,1,passed
2643231,33,0,16,1,0,5,3,65,3,passed
2652994,137,0,16,4,0,3,1,67,1,passed
2663674,2,0,0,0,0,1,1,115,1,passed
2667107,4,0,0,0,0,2,1,6,1,passed
2668602,4,0,0,0,0,2,1,8,1,passed
2669112,31,0,19,0,0,2,1,26,1,passed
2700817,1136,0,356,34,0,4,2,315,2,passed
2702412,2,0,16,1,0,1,1,13,1,passed
2707552,1137,0,340,33,0,4,3,315,3,passed
2712307,1,0,0,0,0,1,1,15,1,passed
2717847,0,0,2,0,0,1,1,50,1,passed
2722696,12,0,0,0,0,2,2,7,2,passed
2749388,8,0,0,0,0,2,1,9,1,passed
2802617,2,0,0,0,0,1,1,16,1,passed
2803308,4,0,0,0,0,2,1,7,1,passed
2804325,2,0,0,0,0,1,1,47,1,passed
2804393,2,0,0,0,0,1,1,48,1,passed
2805805,12,0,0,0,0,1,2,21,2,passed
2812799,8,0,0,0,0,1,1,23,1,passed
2813510,16,0,0,0,0,1,1,56,1,passed
2814806,16,0,0,0,0,1,1,57,1,passed
2830242,2,0,0,0,0,1,1,8,1,passed
2831182,2,0,0,0,0,1,1,9,1,passed
2835855,2,0,0,0,0,1,1,61,1,passed
2840943,2,0,0,0,0,1,1,62,1,passed
2850694,6,0,0,0,0,2,1,87,1,passed
2855280,2,0,5,0,0,3,1,254,1,passed
2893938,15,0,0,0,0,1,1,7,1,passed
2894274,17,0,0,0,0,1,1,39,1,passed
2904183,6,0,4,0,0,3,1,60,1,passed
2907944,104,0,0,0,0,1,8,2,8,passed
2915401,30,0,0,0,0,1,1,10,1,passed
2915540,23,0,0,0,0,1,1,42,1,passed
2929547,139,0,10,0,0,22,2,530,2,passed
2929973,301,0,68,8,0,3,1,86,1,passed
