tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
52499196,2,0,0,1,0,2,2,63,2,failed
52499732,2,0,0,0,0,1,1,4,1,failed
52500395,0,0,0,0,0,1,1,5,1,failed
52500492,0,0,0,0,0,1,1,6,1,passed
52554619,0,0,0,0,0,1,1,7,1,passed
52557003,2,0,0,0,0,1,1,63,1,passed
52557173,4,0,0,0,0,1,1,64,1,passed
52971316,6,0,0,0,0,1,1,34,1,passed
53447044,0,3,0,0,7,1,1,51,1,passed
53448124,0,0,0,0,0,1,1,26,1,passed
54091019,3,2,0,0,0,1,1,65,1,passed
54114929,2,0,0,0,0,1,1,66,1,passed
54117214,51,6,0,0,0,1,1,1,1,passed
54275419,8,0,0,0,0,1,1,2,1,passed
54276586,0,0,0,7,0,1,1,53,1,passed
54959165,2,0,0,0,0,1,1,67,1,failed
57834276,7303,0,0,19,2,74,1,1073,1,failed
57837211,0,0,0,0,0,1,1,19,1,passed
57853153,54,0,0,0,0,2,1,4,1,passed
58025272,12,0,0,0,0,1,1,19,1,failed
58086980,15,0,0,0,0,2,1,97,1,passed
58193479,793,0,0,0,0,41,2,762,2,passed
58324463,337,0,0,0,0,30,2,691,2,passed
58345420,1064,0,0,0,0,45,1,795,1,failed
58419776,6,0,0,0,0,1,1,37,1,passed
58488010,165,0,0,0,0,7,2,276,2,passed
58649674,2,0,0,0,0,1,1,16,1,passed
58650052,0,1,0,1,0,1,1,34,1,passed
58652646,3,0,0,0,0,1,1,69,1,passed
58808243,3,0,0,0,0,1,1,70,1,passed
58931635,22,0,0,0,0,1,1,24,1,passed
59295300,10,0,0,0,0,1,1,26,1,passed
59454379,123,0,0,0,0,12,3,149,3,passed
59791538,199,0,0,0,0,4,2,47,2,passed
60283155,182,0,0,0,0,9,3,318,3,passed
60448066,109,0,0,0,0,4,2,130,2,passed
60580108,124,0,0,0,0,3,2,118,2,passed
60839185,239,0,0,0,0,16,4,585,4,passed
60840735,117,0,0,0,0,28,2,7,2,passed
60934681,427,0,0,2,0,2,3,176,3,passed
60958764,44,0,0,1,0,1,1,177,1,passed
61053392,3,0,0,0,0,1,1,71,1,passed
61516615,22,0,0,0,0,1,1,11,1,passed
61623738,3,0,0,0,0,1,1,72,1,passed
63292062,2,0,0,0,0,1,1,73,1,passed
63521493,2,0,0,0,0,1,1,74,1,passed
65799698,4,0,0,0,0,1,1,27,1,passed
67096231,21,0,0,0,0,3,1,52,1,passed
68037320,6,0,0,0,0,1,1,40,1,passed
68065013,6,0,0,0,0,1,1,41,1,passed
68200440,51,0,0,0,0,2,1,44,1,passed
68600559,306,0,0,1,0,7,1,118,1,passed
68613906,2,0,0,0,0,1,1,44,1,passed
69056071,12,0,0,0,0,1,1,75,1,passed
69271818,16,0,0,0,0,2,1,110,1,passed
69611577,36,0,0,0,0,2,1,107,1,passed
69619133,38,0,0,0,0,2,2,108,2,passed
70099664,10,0,0,0,0,1,1,6,1,passed
71593279,6,0,0,0,0,1,1,76,1,passed
71593383,3,0,0,0,0,1,1,77,1,passed
71593956,6,0,0,0,0,1,1,78,1,passed
72531287,50,0,0,1,0,2,1,39,1,passed
73365669,1,0,0,0,0,1,1,79,1,passed
73478609,2,0,0,0,0,1,1,88,1,passed
73548391,531,0,0,0,0,1,1,80,1,passed
73555623,3,0,0,0,0,1,1,81,1,passed
74287826,2,0,0,0,0,1,1,179,1,passed
74513211,2,0,0,0,0,1,1,82,1,passed
74722167,2,0,0,0,0,1,1,83,1,passed
74785371,2,0,0,0,0,1,1,84,1,passed
75152495,26,0,0,1,0,3,1,350,1,passed
75321901,4,0,0,0,0,3,1,176,1,passed
75737400,221,0,0,1,1,6,1,406,1,passed
75852472,8,0,0,0,0,1,1,23,1,passed
76366609,989,0,0,2,1,24,5,649,5,failed
76370170,7,0,0,0,0,2,1,12,1,failed
76371043,2,0,0,0,0,1,1,9,1,failed
76371786,2,0,0,0,0,1,1,32,1,failed
76373310,11,0,0,0,0,3,3,41,3,failed
76374548,0,0,0,0,0,1,1,20,1,passed
76530540,1,0,0,0,0,1,1,87,1,passed
76652745,245,0,0,0,0,6,2,390,2,passed
76863407,141,0,0,0,0,1,1,32,1,passed
77408597,236,0,0,1,0,4,4,322,4,passed
77606179,1,0,0,0,0,1,1,88,1,passed
77716031,1,0,0,0,0,1,1,89,1,passed
77727577,30,0,0,0,0,4,1,92,1,passed
78320609,2,0,0,0,0,1,1,90,1,passed
78473635,3,0,0,0,0,1,1,91,1,passed
78474040,2,0,0,0,0,1,1,92,1,passed
78474480,4,0,0,0,0,1,1,93,1,passed
78570875,2,0,0,0,0,1,1,94,1,passed
78571343,4,0,0,0,0,1,1,95,1,passed
78879456,10,0,0,0,0,2,2,39,2,passed
78884025,6,0,0,0,0,1,1,19,1,passed
79359549,36,0,0,2,0,1,2,42,2,passed
79981185,14,0,0,0,0,1,1,96,1,passed
80021156,11,0,0,0,0,1,1,97,1,passed
80021381,9,0,0,0,0,1,1,98,1,passed
80204850,6,0,0,0,0,1,1,99,1,passed
80269585,120,4,0,0,0,1,1,24,1,passed
80516262,2,0,0,0,0,1,1,15,1,passed
81895939,0,0,0,0,0,1,1,21,1,passed
82403080,0,0,0,0,0,1,1,36,1,passed
82418388,0,0,0,0,0,1,1,22,1,passed
83011418,26,0,0,1,0,2,1,42,1,passed
83181590,315,0,0,2,0,1,1,30,1,passed
83288770,341,0,0,3,0,5,1,122,1,passed
83325811,2,0,0,0,0,1,1,36,1,failed
83335694,13,0,0,1,0,2,1,3,1,passed
84544843,0,0,0,0,0,1,1,31,1,passed
84568491,58,0,0,1,0,7,1,152,1,passed
84676541,159,0,0,1,0,7,1,182,1,passed
84768331,0,0,0,0,0,3,1,88,1,failed
85962753,1002,0,0,1,0,64,1,605,1,failed
85963490,2,0,0,0,0,2,1,228,1,failed
85967541,23,0,0,0,1,0,1,2,1,passed
86019470,36,0,0,0,0,8,2,127,2,passed
87061315,163,0,0,0,0,18,1,558,1,failed
87138099,2,0,0,0,0,1,1,100,1,passed
88006765,106,0,0,0,0,3,2,57,2,passed
88008871,0,0,0,0,0,1,1,40,1,passed
88163179,217,0,0,1,0,1,1,38,1,passed
90306395,14,0,0,0,0,1,1,104,1,passed
90407462,55,0,0,1,0,1,1,40,1,failed
91029734,0,1,0,0,0,1,1,8,1,passed
91260401,1,0,0,0,0,1,1,105,1,passed
91423774,4,0,0,0,0,1,1,107,1,passed
91878657,0,0,0,0,0,1,1,10,1,passed
92231084,103,0,0,2,0,7,1,326,1,passed
92241518,122,0,0,2,0,7,1,328,1,passed
92265720,10,0,0,0,1,0,1,3,1,passed
92301338,20,0,0,0,0,2,1,22,1,passed
92357389,421,0,0,1,0,2,1,37,1,passed
92494424,89,1,0,1,0,0,1,0,1,passed
92565339,399,0,0,0,0,1,7,207,7,passed
92572688,9,0,0,0,0,2,2,241,2,passed
92605656,17,0,0,0,0,1,1,32,1,passed
92611304,97,0,0,0,0,1,1,1,1,passed
92620116,38,0,0,0,0,2,1,239,1,passed
92746420,2,0,0,0,0,1,1,108,1,passed
92986120,328,0,0,0,0,3,1,267,1,passed
92988248,10,0,0,0,0,2,1,241,1,passed
93250864,37,0,0,1,0,1,1,241,1,passed
93253970,0,0,0,0,0,1,1,32,1,failed
93262734,1,0,0,0,0,1,1,218,1,passed
93486421,581,0,0,2,0,2,1,41,1,passed
93853650,2,0,0,0,0,1,1,219,1,passed
94211712,77,0,0,2,0,3,1,85,1,passed
94226190,56,0,0,1,0,1,2,149,2,passed
94300148,57,0,0,2,0,2,2,39,2,passed
94301706,10,0,0,0,0,3,1,55,1,passed
94488175,16,0,0,0,0,2,1,56,1,passed
94501455,2,0,0,0,0,1,1,34,1,passed
94501884,2,0,0,0,0,1,1,35,1,passed
94579131,23,0,0,0,0,1,1,1,1,passed
94729471,25,0,0,0,0,1,2,44,2,passed
95081193,25,0,0,0,0,1,1,46,1,passed
96032279,762,0,0,7,0,8,2,523,2,passed
96105497,5,0,0,0,0,1,1,110,1,passed
97430491,3,0,0,0,0,1,1,106,1,passed
98100270,72,0,0,1,0,2,1,109,1,passed
104414280,2,0,0,0,0,1,1,111,1,failed
114045989,2,2,0,0,0,1,1,112,1,passed
114067158,29,0,0,0,0,1,1,115,1,passed
115518124,5760,0,0,50,68,41,1,1884,1,passed
115543044,996,0,0,0,9,5,3,375,3,passed
115660159,27,0,0,0,0,4,2,38,2,passed
115661341,5,0,0,0,0,1,1,235,1,passed
115741493,0,0,0,0,0,1,1,41,1,passed
115748967,14,0,0,0,0,1,1,26,1,passed
115917669,6006,0,0,0,20,0,1,56,1,passed
116510360,19,0,0,1,0,0,1,0,1,passed
116795760,33,0,0,0,0,2,2,343,2,passed
