tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
9726177,0,0,0,0,0,1,1,4,1,passed
9944203,2,0,0,0,0,1,1,9,1,passed
9944719,0,0,0,0,0,1,1,22,1,passed
10228475,2,0,0,0,0,1,1,30,1,passed
10559621,1,0,0,0,0,1,1,82,1,passed
11031423,1,0,0,0,0,1,1,82,1,passed
11959436,239,0,73,4,0,3,1,116,1,passed
11997716,21,0,0,0,0,1,1,83,1,passed
12273155,1,0,0,0,0,1,1,83,1,passed
12274013,2,0,0,0,0,1,1,31,1,passed
12274553,3,0,0,0,0,3,1,57,1,passed
12274826,224,0,73,4,0,3,1,123,1,passed
12308901,2,0,0,0,0,2,1,22,1,passed
13641085,1722,0,936,15,8,25,16,174,16,passed
14259598,778,0,595,10,2,9,8,107,8,passed
14306638,2,0,0,0,0,1,1,25,1,failed
14310867,0,0,2,0,0,1,1,9,1,passed
14326542,1582,0,933,21,6,19,1,199,1,passed
14330429,3,0,0,0,0,1,1,3,1,passed
14358255,3,0,0,0,0,1,1,3,1,passed
14369443,12,0,103,1,4,5,2,54,2,passed
14399675,0,0,0,0,0,1,1,15,1,passed
14409241,0,0,0,0,0,1,1,16,1,passed
14478998,0,0,0,0,0,1,1,17,1,passed
14479001,0,0,0,0,0,1,1,17,1,passed
14479698,2,0,0,0,0,1,1,14,1,passed
15471454,4,0,4,0,0,2,1,16,1,passed
16097558,1,0,0,0,0,1,1,100,1,passed
16098007,4,0,0,0,0,1,1,101,1,passed
16098268,2,0,0,0,0,1,1,15,1,passed
16594034,8,2,0,0,0,1,1,4,1,passed
16640302,8,0,0,0,0,1,1,5,1,passed
16718137,2,0,0,0,0,1,1,11,1,passed
16914313,2,0,39,1,0,2,3,12,3,passed
20224410,6,0,14,0,0,4,3,21,3,passed
20590875,127,0,132,6,0,9,1,146,1,passed
20669240,2,0,0,0,0,1,1,12,1,passed
20682889,2,0,0,0,0,1,1,13,1,passed
20688110,127,0,132,6,0,9,1,147,1,failed
20693060,29,0,87,1,0,5,1,111,1,passed
20714215,4,0,0,0,0,1,1,26,1,passed
20771755,4,0,0,0,0,1,1,27,1,passed
21088094,13,0,0,0,0,4,3,65,3,passed
21088104,13,0,0,0,0,4,3,65,3,passed
21747917,0,0,0,0,0,1,1,32,1,passed
23913174,2,0,39,1,0,1,1,16,1,passed
30015555,54,0,136,1,0,3,2,116,2,failed
30016276,0,0,1,0,0,1,1,2,1,failed
38237133,2,0,0,0,0,1,1,16,1,passed
54092864,0,0,0,0,0,1,1,33,1,failed
54093361,0,0,0,0,0,1,1,33,1,failed
55522038,0,0,0,0,0,1,1,34,1,failed
64988072,7,0,0,0,0,1,1,2,1,failed
64999959,0,0,2,0,0,1,1,4,1,failed
65000256,0,0,0,0,0,1,1,36,1,failed
65000534,54,0,115,1,0,2,1,119,1,failed
65337294,0,0,12,0,0,1,1,2,1,failed
109397649,21,0,10,0,0,9,11,163,11,passed
109413142,2,0,0,0,0,1,1,18,1,passed
109413253,2,0,8,0,0,3,1,5,1,passed
109490890,0,0,0,1,0,1,1,38,1,passed
125076023,49,0,33,0,0,5,1,14,1,passed
125076593,35,0,0,0,0,2,1,113,1,passed
125076656,20,0,14,0,0,9,1,80,1,passed
125077713,7,0,12,0,0,2,1,4,1,passed
125081158,0,0,0,0,0,1,1,8,1,passed
127551948,2,0,0,0,0,1,1,19,1,failed
127552437,1,0,0,0,0,1,1,17,1,failed
127556286,4,0,0,0,0,1,1,18,1,failed
146093367,2,0,0,0,0,1,1,8,1,failed
