tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
6088313,44,0,0,0,0,5,3,98,3,passed
6088635,0,0,0,0,0,1,1,13,1,passed
7243494,6,0,0,0,0,1,1,57,1,passed
7272508,6,0,0,0,0,1,1,58,1,passed
7298751,60,0,0,0,0,5,3,52,3,passed
7839429,5,0,11,0,0,3,1,82,1,passed
7839579,144,0,123,0,0,7,1,107,1,passed
7839881,6,0,0,0,0,3,2,42,2,passed
7935872,1,0,11,0,0,2,1,57,1,passed
8137044,5,0,8,0,0,2,1,58,1,passed
8157406,5,0,8,0,0,2,1,59,1,passed
8158718,31,0,0,0,0,3,2,44,2,passed
8247141,111,0,239,0,0,8,8,127,8,passed
8294959,101,0,195,0,0,8,1,135,1,passed
8362018,22,0,26,0,0,2,2,90,2,passed
8363564,12,0,26,0,0,2,1,92,1,passed
8475517,42,0,22,0,0,3,3,101,3,passed
8511755,32,0,22,0,0,3,1,104,1,passed
8511775,0,0,0,0,0,1,1,20,1,passed
8512710,59,0,0,0,1,4,3,60,3,passed
8627012,2,0,0,0,0,1,1,34,1,passed
8801515,2,0,0,0,0,2,1,32,1,passed
8801738,34,0,0,0,0,1,1,25,1,passed
9165413,44,0,88,0,0,4,2,108,2,passed
9326907,44,0,88,0,0,4,1,110,1,passed
9327062,2,0,2,0,0,2,1,101,1,passed
9656927,12,0,54,0,0,2,1,105,1,passed
9694792,0,0,19,0,0,1,2,56,2,passed
9695472,2,0,0,0,0,3,1,57,1,passed
9695537,4,0,0,0,0,1,1,27,1,passed
9695587,2,0,0,0,0,1,1,30,1,passed
9695613,2,0,0,0,0,1,1,28,1,passed
11516321,14,0,13,0,0,2,1,79,1,passed
11517161,14,0,13,0,0,2,1,80,1,passed
11517194,2,0,0,0,0,1,1,29,1,passed
11517202,8,0,0,0,0,1,1,30,1,passed
11517212,2,0,0,0,0,1,1,31,1,passed
11517216,2,0,0,0,0,1,1,31,1,passed
11720590,4,0,2,0,0,2,3,110,3,passed
12238495,2,0,2,0,0,2,1,113,1,passed
12719514,2,0,0,0,0,1,1,91,1,passed
12719613,2,0,0,0,0,1,1,32,1,passed
12719642,2,0,0,0,0,1,1,32,1,passed
12719649,2,0,0,0,0,1,1,33,1,passed
13288184,0,0,0,0,0,1,1,23,1,passed
13418417,2,0,0,0,0,1,1,40,1,passed
13418439,2,0,0,0,0,1,1,33,1,passed
13418443,4,0,0,0,0,1,1,34,1,passed
14507998,43,0,23,0,0,3,1,184,1,passed
14784665,0,0,0,0,0,1,1,37,1,passed
16638416,2,0,4,0,0,3,2,48,2,passed
17033433,2,0,4,0,0,3,1,52,1,passed
17033823,2,0,4,0,0,3,1,54,1,passed
17033850,4,0,64,0,0,2,1,130,1,passed
17035299,6,0,0,0,0,3,1,74,1,passed
17035351,36,0,0,0,0,1,1,52,1,passed
17038235,0,0,0,0,0,2,1,62,1,passed
17043659,313,0,241,2,1,8,15,201,15,passed
17047029,18,0,0,0,0,1,1,63,1,passed
17299903,0,0,0,0,0,2,1,63,1,passed
17319132,88,0,75,0,0,5,3,215,3,passed
17378031,6,0,30,0,0,2,1,179,1,passed
17385349,6,0,30,0,0,4,1,245,1,passed
17405400,18,0,0,0,0,1,1,64,1,passed
17503044,191,0,178,1,0,5,1,218,1,passed
17630515,2,0,0,0,0,1,1,151,1,passed
20369379,0,0,8,0,0,1,1,113,1,passed
20880286,0,0,8,0,0,1,1,114,1,passed
22335971,19,0,42,0,0,2,1,201,1,passed
22335983,0,1,9,0,0,1,1,118,1,passed
22367508,3,0,4,0,0,3,2,112,2,passed
22368591,19,0,42,0,0,2,1,202,1,passed
22370195,19,0,2,0,0,2,2,102,2,passed
22888623,46,0,100,0,0,2,1,203,1,passed
22897512,46,0,100,0,0,2,1,204,1,passed
22898993,0,0,0,0,0,1,1,56,1,passed
22906325,19,0,2,0,0,2,1,104,1,passed
22906451,0,0,0,0,0,1,1,57,1,passed
23086515,3,0,4,0,0,3,1,118,1,passed
23088947,396,0,0,1,0,1,1,156,1,passed
23140626,396,0,0,1,0,1,1,157,1,passed
23161862,875,0,6,2,0,7,5,191,5,passed
23169962,374,0,0,2,2,2,1,161,1,passed
23525404,1051,0,6,3,1,5,1,196,1,passed
23554014,112,0,6,0,0,5,1,6,1,passed
23566553,5,0,0,0,0,2,1,6,1,passed
23840061,112,0,6,0,0,5,1,9,1,passed
23840770,20,0,0,0,0,1,1,6,1,passed
23980489,0,0,0,0,0,1,1,25,1,passed
24762457,3,0,0,0,0,1,2,55,2,passed
25747548,3,0,0,0,0,1,1,57,1,passed
25748785,9,0,0,0,0,2,3,67,3,passed
27581442,32,0,0,0,1,2,1,167,1,passed
34683861,0,0,0,0,0,1,1,60,1,passed
35745177,32,0,0,0,1,2,1,168,1,passed
35745265,0,0,0,0,0,1,1,61,1,passed
35758134,0,0,13,0,0,1,1,4,1,passed
35759469,2,0,0,0,0,1,1,8,1,passed
35759529,0,0,13,0,0,1,1,5,1,passed
