tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
4116147,5897,0,4879,23,1,13,316,1,316,passed
4116186,2,0,0,0,0,1,1,50,1,passed
4130013,33,0,0,0,0,1,2,176,2,passed
4192010,12,0,4,0,0,2,1,211,1,passed
4289771,0,0,0,0,0,1,1,50,1,passed
4289773,0,0,0,0,0,1,1,51,1,passed
4289835,4,0,0,0,0,2,1,52,1,passed
4620501,20,0,3,0,0,2,3,212,3,passed
5009214,0,0,0,0,0,1,1,52,1,passed
5009231,0,0,0,0,0,1,1,53,1,passed
5056197,2,0,0,0,0,1,1,52,1,passed
6581933,0,0,0,0,0,1,1,5,1,passed
6820553,0,0,0,0,0,1,1,54,1,passed
6822975,1,0,0,0,0,1,1,53,1,passed
6823019,0,0,0,0,0,1,1,55,1,passed
6823021,0,0,0,0,0,1,1,56,1,passed
6823125,2,0,0,0,0,1,1,54,1,passed
7315248,154,0,88,0,0,5,1,319,1,passed
7567123,38,0,2,0,0,2,6,184,6,passed
7567199,0,0,0,0,0,1,1,58,1,passed
7567218,0,0,0,0,0,1,1,59,1,passed
7567361,10,0,0,0,0,2,2,238,2,passed
7567596,0,0,0,0,0,1,1,60,1,passed
7602914,47,0,49,0,0,5,7,275,7,passed
7621554,0,0,0,0,0,1,1,61,1,passed
7621562,0,0,0,0,0,1,1,62,1,passed
7621591,2,0,0,0,0,1,1,58,1,passed
7846816,7,0,9,0,0,2,1,193,1,passed
7846846,0,0,0,0,0,1,1,63,1,passed
7846850,0,0,0,0,0,1,1,64,1,passed
7846889,2,0,0,0,0,1,1,59,1,passed
8084229,15,0,0,0,0,1,1,194,1,passed
8091121,101,0,20,0,0,3,4,282,4,passed
8126529,0,0,0,0,0,1,1,65,1,passed
8126531,0,0,0,0,0,1,1,66,1,passed
8126553,2,0,0,0,0,1,1,61,1,passed
8149194,0,0,4,0,0,1,2,6,2,passed
8149409,3,0,2,0,0,2,2,201,2,passed
8149785,81,0,51,0,0,4,3,290,3,passed
8149842,0,0,1,0,0,1,1,67,1,passed
8262009,21,0,0,0,0,1,1,63,1,passed
8262487,0,0,0,0,0,1,1,67,1,passed
8262489,0,0,0,0,0,1,1,68,1,passed
8262520,2,0,0,0,0,1,1,64,1,passed
8279525,0,0,0,0,0,1,1,6,1,passed
8299796,5,0,0,0,0,1,2,65,2,passed
8341392,6,0,0,0,0,1,1,67,1,passed
9595620,2,0,0,0,0,1,1,200,1,passed
9607915,1,0,0,0,0,1,1,68,1,passed
9780171,5,0,56,0,0,2,1,236,1,passed
9819323,0,0,0,0,0,1,1,69,1,passed
9819329,0,0,0,0,0,1,1,70,1,passed
9845945,2,0,0,0,0,1,1,69,1,passed
10523367,4,0,0,0,0,1,1,202,1,passed
11848258,12,0,0,0,0,1,1,203,1,passed
11948680,8,0,0,0,0,2,3,268,3,passed
13698109,0,0,0,0,0,1,1,71,1,passed
13698113,0,0,0,0,0,1,1,72,1,passed
13698247,2,0,0,0,0,1,1,71,1,passed
13978650,2,0,0,0,0,1,1,72,1,passed
13979421,4,0,0,0,0,1,1,73,1,passed
13980709,46,0,0,0,0,1,1,74,1,passed
13981966,2,0,0,0,0,1,1,75,1,passed
15774966,2,0,0,0,0,1,1,76,1,passed
15934649,2,0,0,0,0,1,1,77,1,passed
15934872,2,0,0,0,0,1,1,77,1,passed
16394370,120,0,251,0,0,2,11,241,11,passed
16394447,1,0,0,0,0,1,1,78,1,passed
16394472,3,0,0,0,0,1,1,214,1,passed
16395245,26,0,47,0,0,2,3,253,3,passed
16846329,3,0,0,0,0,1,1,79,1,passed
17728381,21,0,2,1,0,2,2,256,2,passed
17979563,11,0,33,0,0,2,1,257,1,passed
18545630,3,0,0,0,0,2,2,294,2,passed
18545739,0,0,0,0,0,1,1,73,1,passed
18545745,0,0,0,0,0,1,1,74,1,passed
18740604,2,0,0,0,0,1,1,81,1,passed
22115557,2,0,0,0,0,1,1,82,1,passed
33085610,0,0,0,0,0,1,1,1,1,passed
41426245,0,0,0,0,0,1,1,2,1,passed
42062380,95,0,44,0,0,3,2,336,2,passed
47826374,95,0,44,0,0,3,1,338,1,passed
47827188,60,0,0,0,0,1,1,223,1,passed
47828753,10,0,16,0,0,3,2,340,2,passed
47830059,12,0,0,0,0,1,1,225,1,passed
47830383,2,0,0,0,0,1,1,226,1,passed
47831264,0,0,0,0,0,1,1,75,1,passed
47831271,0,0,0,0,0,1,1,76,1,passed
47833095,2,0,0,0,0,1,1,86,1,passed
58299668,2,0,0,0,0,1,1,87,1,passed
58304693,2,0,0,0,0,1,1,88,1,passed
