tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
964523,437,0,120,9,3,18,16,22,16,failed
964532,0,0,0,0,0,1,1,1,1,failed
964631,2,0,0,0,0,1,1,10,1,failed
964668,38,0,0,0,0,1,1,11,1,failed
1072877,0,0,0,0,0,1,1,1,1,failed
1072886,0,0,0,0,0,1,1,2,1,failed
1140388,13,0,10,0,0,4,1,17,1,passed
1716151,154,0,32,1,0,9,1,35,1,passed
3182606,24,0,8,0,0,6,1,36,1,passed
4017730,21,0,2,0,0,2,1,17,1,passed
4020598,2,0,0,0,0,2,1,13,1,passed
4187336,13,0,4,0,0,4,1,20,1,passed
4222217,4,0,8,0,0,2,1,12,1,passed
4222227,2,0,0,0,0,1,1,15,1,passed
4474465,46,0,24,2,0,4,1,38,1,passed
4474531,2,0,0,0,0,2,1,20,1,passed
4477511,0,0,0,0,0,1,1,8,1,passed
4654788,154,0,93,0,0,17,1,67,1,passed
4654808,0,0,0,0,0,1,1,12,1,passed
4992110,41,0,28,0,0,4,1,29,1,passed
4992118,2,0,0,0,0,1,1,21,1,passed
4992547,239,0,143,2,0,17,1,79,1,passed
4992563,2,0,0,0,0,1,1,23,1,passed
5119946,64,0,22,0,0,2,1,37,1,passed
5119971,64,0,22,0,0,2,1,38,1,passed
5227132,0,0,1,0,0,1,1,22,1,passed
5229731,49,0,15,0,0,4,1,38,1,passed
5229978,2,0,0,0,0,2,1,28,1,passed
5531505,3,0,20,0,0,2,1,29,1,passed
5533007,2,0,0,0,0,2,1,29,1,passed
5843992,14,0,4,0,0,3,1,45,1,passed
5844082,2,0,0,0,0,2,1,31,1,passed
5852388,1,0,0,0,0,1,1,13,1,passed
6016829,111,0,45,2,0,4,1,70,1,failed
6157182,131,0,24,2,0,7,1,57,1,failed
6180881,2,0,0,0,0,2,1,35,1,failed
6243763,23,0,2,0,0,5,1,54,1,failed
6245784,18,0,19,0,0,6,1,59,1,failed
7967419,4,0,0,0,0,1,1,9,1,passed
8020551,9,0,5,0,0,2,1,43,1,passed
8020640,2,0,0,0,0,1,1,37,1,passed
10709458,29,0,53,0,0,5,1,67,1,passed
10709495,2,0,0,0,0,2,1,42,1,passed
10744807,4,0,0,0,0,3,1,57,1,passed
10750454,12,0,34,0,0,5,1,67,1,passed
11185131,6,0,1,0,0,3,1,52,1,passed
11186576,4,0,6,0,0,6,1,76,1,passed
12320112,10,0,0,0,0,1,1,18,1,passed
12563568,12,0,9,0,0,5,1,87,1,passed
12741311,7,0,2,0,0,3,1,69,1,passed
12741356,2,0,0,0,0,1,1,48,1,passed
13531601,2,0,0,0,0,1,1,24,1,passed
27768657,2615,0,852,34,21,17,1,197,1,passed
27777400,4,0,0,0,0,3,1,82,1,passed
27861014,8,0,0,0,0,4,1,91,1,failed
27933990,8,0,0,0,0,4,1,79,1,passed
28450625,2,0,0,0,0,1,1,29,1,passed
28515043,4,0,0,0,0,1,1,3,1,failed
28515049,17,0,9,2,0,2,1,74,1,failed
28516014,2,0,0,0,0,2,1,75,1,passed
28580545,6,0,0,0,0,4,1,110,1,passed
28885411,24,0,25,0,0,10,1,139,1,passed
30892859,2,0,0,0,0,2,1,81,1,failed
31076208,12,0,0,0,0,1,1,23,1,passed
31076380,4,0,0,0,0,2,1,100,1,passed
31940181,36,0,7,1,1,5,1,84,1,passed
32621845,4,0,0,0,0,1,1,25,1,failed
32625622,3,0,4,0,0,2,1,14,1,passed
32625832,4,0,0,0,0,2,1,3,1,passed
32629030,2,0,0,0,0,2,1,84,1,passed
34312428,2,0,0,0,0,1,1,26,1,passed
34313879,2,0,0,0,0,1,1,27,1,passed
34314530,4,0,0,0,0,3,1,108,1,passed
34428048,6,0,6,0,0,2,1,51,1,passed
34428850,6,0,6,0,0,2,1,52,1,passed
34429084,4,0,0,0,0,3,1,109,1,passed
34891916,23,0,175,2,0,2,1,73,1,passed
35001972,21,0,175,2,0,2,1,75,1,passed
35002461,66,0,139,4,2,3,2,76,2,passed
35003070,22,0,45,2,0,3,1,79,1,passed
35007096,40,0,0,0,0,3,1,110,1,passed
35414782,0,0,6,0,0,1,1,3,1,passed
35584038,12,0,0,0,0,1,1,39,1,passed
35711518,12,0,0,0,0,1,1,40,1,passed
36319721,28,1,0,0,0,2,1,28,1,passed
36321343,5,0,0,0,0,1,1,4,1,passed
36462690,5,0,0,0,0,1,2,41,2,passed
36489029,5,0,0,0,0,1,1,43,1,passed
36913751,10,0,21,1,0,1,1,7,1,passed
36944757,4,0,0,0,0,2,1,42,1,passed
36944799,4,0,0,0,0,1,1,29,1,passed
36946915,10,0,21,1,0,1,1,8,1,passed
36947004,32,0,0,0,0,3,1,72,1,passed
36947251,4,0,0,0,0,3,1,118,1,passed
37296636,19,0,0,0,0,2,1,74,1,passed
37301707,19,0,0,0,0,2,1,75,1,passed
37302490,14,0,0,0,0,3,1,119,1,passed
37588340,5,0,5,0,0,3,1,48,1,passed
37588484,5,0,5,0,0,3,1,49,1,passed
37588744,5,0,0,0,0,3,1,120,1,passed
37686823,2,0,0,0,0,1,1,49,1,passed
38601411,7,0,23,1,0,5,1,58,1,passed
38604447,6,0,0,0,0,3,1,9,1,passed
38605387,24,0,39,1,0,2,1,77,1,passed
38605439,2,0,0,0,0,1,1,50,1,passed
38605448,7,0,23,1,0,5,1,62,1,passed
38605599,24,0,39,1,0,2,1,78,1,passed
38606033,4,0,0,0,0,3,1,125,1,passed
39254948,22,0,30,0,0,9,1,152,1,passed
39255552,22,0,30,0,0,9,1,153,1,passed
39256066,4,0,0,0,0,3,1,128,1,passed
39277392,2,0,5,0,0,2,1,56,1,passed
39277873,4,0,0,0,0,3,1,129,1,passed
40798967,13,0,8,0,0,2,1,38,1,passed
40799382,4,0,0,0,0,3,1,130,1,passed
40809376,2,0,0,0,0,1,1,59,1,passed
40893765,2,0,0,0,0,1,1,60,1,passed
44110621,2,0,0,0,0,1,1,61,1,passed
45265268,4,0,0,0,0,1,1,11,1,passed
45348993,4,0,0,0,0,1,1,12,1,passed
45349238,2,0,3,0,0,4,1,88,1,passed
45349474,2,0,3,0,0,4,1,89,1,passed
45350149,12,0,0,0,0,4,1,149,1,passed
46969984,3,0,0,0,0,1,1,63,1,passed
47502804,1,0,25,0,0,2,1,6,1,passed
47503613,1,0,25,0,0,2,1,7,1,passed
47504064,4,0,0,0,0,3,1,136,1,passed
57774648,2,0,0,0,0,1,1,66,1,passed
57782324,3,0,0,0,0,1,1,67,1,passed
60692489,2,0,0,0,0,1,1,68,1,passed
60802969,28,0,0,0,0,2,2,48,2,passed
61612281,75,0,25,3,0,3,1,120,1,passed
61733054,75,0,25,3,0,3,1,121,1,passed
61735132,4,0,0,0,0,3,1,143,1,passed
61737464,4,0,0,0,0,3,1,144,1,passed
62108514,26,0,0,0,0,1,1,74,1,passed
65375014,1350,0,605,19,11,39,1,288,1,passed
65538120,2,0,0,0,0,1,1,77,1,passed
65545515,48,0,60,3,0,4,1,149,1,passed
65545626,4,0,0,0,0,2,1,148,1,passed
65903881,2,0,0,0,0,1,1,3,1,passed
65904309,4,0,0,0,0,3,1,153,1,passed
65954382,4,0,0,0,0,3,1,154,1,passed
66264238,3,0,0,0,0,1,1,83,1,passed
70135969,9,0,2,0,0,2,1,13,1,failed
70141888,9,0,2,0,0,2,1,14,1,failed
70142062,4,0,0,0,0,3,1,156,1,failed
70732428,10,0,7,0,0,5,1,42,1,passed
70732938,10,0,7,0,0,5,1,43,1,passed
