tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
1443048,318,0,103,21,1,8,5,0,5,passed
1443054,0,0,0,1,0,0,1,0,1,passed
1462238,78,0,27,3,0,3,1,3,1,failed
1462330,34,0,0,0,0,3,4,3,4,failed
1462412,66,0,0,0,0,2,2,4,2,passed
1462417,2,0,0,0,1,1,2,4,2,passed
1462528,33,0,0,1,0,2,1,6,1,passed
1502400,32,0,0,2,0,1,3,0,3,passed
1516839,229,0,27,7,1,4,1,17,1,passed
1516861,1,0,0,0,0,1,1,1,1,passed
1516877,0,0,0,0,0,1,1,2,1,passed
1528458,51,0,0,0,1,1,2,5,2,passed
1528493,2,0,0,0,0,1,1,3,1,passed
1568616,82,0,54,1,1,6,2,15,2,passed
1569359,1,0,83,1,0,5,2,5,2,failed
1569672,38,0,60,0,0,6,2,11,2,failed
1569802,20,4,4,0,0,4,3,11,3,failed
1569911,0,0,0,0,0,1,1,4,1,failed
1570081,53,0,0,0,0,2,2,11,2,failed
1570105,1,0,0,0,0,1,1,3,1,failed
1572468,0,0,3,0,0,1,1,4,1,failed
1572517,0,0,5,0,0,1,1,5,1,passed
1584258,9,0,17,1,0,3,1,8,1,passed
1594234,4,0,8,0,0,2,1,9,1,passed
1594391,30,0,13,0,0,3,1,10,1,passed
1594477,0,0,16,0,0,1,1,6,1,passed
1616400,31,0,0,0,0,2,2,16,2,passed
1616478,0,0,0,0,0,1,2,5,2,passed
1616534,44,0,13,0,0,3,1,21,1,passed
1910015,15,0,38,0,0,2,2,8,2,passed
1910033,21,0,0,0,0,1,1,9,1,passed
1954593,2,0,0,0,0,1,1,12,1,passed
1954894,36,0,0,0,0,2,3,16,3,passed
1955472,22,0,0,0,0,1,1,17,1,passed
1955571,15,0,6,0,1,3,2,27,2,passed
1962348,9,0,0,0,0,2,1,28,1,passed
1963025,2,0,0,0,0,1,1,22,1,passed
1964400,43,0,0,0,0,1,1,26,1,passed
1964598,28,0,9,0,0,3,2,32,2,passed
1964645,20,0,0,0,0,2,1,35,1,passed
1964683,0,0,16,0,0,1,1,8,1,passed
2351473,33,0,0,0,0,3,3,29,3,passed
2351613,2,0,12,0,0,2,1,17,1,passed
2351722,19,0,0,0,0,1,2,12,2,passed
3231652,2,0,0,0,0,2,2,8,2,failed
3231745,0,0,0,0,0,1,1,5,1,passed
3392668,164,0,124,0,3,4,3,41,3,passed
3863987,4,0,0,0,0,1,1,29,1,passed
3866743,4,0,0,0,0,1,1,30,1,passed
4259511,34,0,0,0,0,5,6,38,6,passed
4423587,34,0,0,0,0,5,6,38,6,passed
4940976,7,0,65,0,0,3,6,52,6,passed
4941041,2,0,0,0,0,1,1,3,1,passed
4995198,9,0,22,0,0,2,2,40,2,passed
4995309,9,0,22,0,0,2,1,42,1,failed
4995395,6,0,0,0,0,2,2,53,2,passed
4995615,33,0,17,0,0,2,1,44,1,passed
4995681,12,0,0,0,0,2,2,23,2,passed
5003757,10,0,22,0,0,2,1,45,1,passed
5006982,10,0,0,0,0,1,1,38,1,passed
5007703,4,0,22,0,0,2,1,47,1,passed
5062534,8,0,0,0,0,1,1,40,1,failed
5076092,2,0,0,0,0,1,1,41,1,passed
5274740,20,0,101,0,0,4,4,31,4,passed
5275269,9,0,22,0,0,4,2,31,2,passed
5275418,105,0,0,0,0,1,4,15,4,passed
5275600,48,0,13,1,0,3,1,63,1,passed
5275846,22,0,27,1,0,3,3,51,3,passed
5276146,0,0,0,0,0,1,1,6,1,passed
5303051,19,0,0,0,0,1,2,22,2,passed
5303137,6,0,0,0,0,1,1,45,1,passed
5303632,14,0,0,0,0,2,2,54,2,passed
5333053,34,0,0,0,1,2,3,22,3,passed
5333676,40,0,8,0,0,3,3,48,3,failed
5645087,14,0,43,0,0,3,2,62,2,failed
5645144,0,0,5,0,0,1,1,23,1,failed
5645288,0,0,8,0,0,1,1,9,1,passed
5645380,2,0,0,0,0,1,1,5,1,passed
6545778,0,0,2,0,0,1,1,10,1,passed
11006318,5,0,0,0,0,1,1,22,1,passed
11015934,5,0,0,0,0,1,1,23,1,passed
11024843,0,0,158,0,0,4,1,34,1,passed
11025368,0,0,158,0,0,4,1,35,1,passed
11397152,3,0,0,0,0,1,1,50,1,passed
11644357,3,0,0,0,0,1,1,51,1,passed
11644670,8,0,158,0,0,6,1,86,1,passed
11644695,0,0,5,0,0,1,1,12,1,passed
11644713,2,0,0,0,0,1,1,6,1,passed
12158221,50,0,25,0,0,4,3,57,3,failed
12158290,2,0,0,0,0,1,1,26,1,passed
12183036,5,0,0,0,0,1,1,14,1,passed
12203129,7,0,28,0,0,2,1,65,1,passed
12236989,2,0,0,0,0,1,1,7,1,passed
12349931,207,0,0,1,0,6,7,86,7,passed
17196885,0,0,0,0,0,1,1,8,1,passed
17196944,21,0,0,1,0,1,1,24,1,passed
