tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
8483676,211,0,354,1,1,12,15,116,15,passed
8483804,0,0,0,0,1,0,1,1,1,passed
8483881,3,0,0,0,0,1,1,27,1,passed
8484077,2,0,0,1,0,1,1,28,1,passed
8485903,3,0,0,0,0,1,1,29,1,passed
9831132,11,0,0,0,0,1,2,30,2,passed
10026034,2,0,0,0,0,1,1,30,1,passed
10182494,2,0,0,0,0,1,1,30,1,passed
10266953,5,0,12,1,0,3,1,87,1,passed
10269450,11,0,0,0,0,1,1,33,1,passed
10269464,2,0,0,0,0,1,1,35,1,passed
10540801,7,0,19,0,0,2,1,66,1,passed
10646101,7,0,19,0,0,2,1,67,1,passed
13815999,2,0,0,0,0,1,1,37,1,passed
15969073,0,0,0,0,0,1,1,3,1,passed
15969295,0,0,0,1,0,0,1,0,1,passed
15970880,0,0,0,1,0,0,1,1,1,passed
16124381,1,0,90,0,0,3,1,72,1,passed
16195362,4,0,11,0,0,2,1,71,1,passed
16195383,2,0,0,0,0,1,1,27,1,passed
16402359,0,0,0,0,0,1,1,3,1,passed
17620146,0,0,0,0,3,1,2,13,2,passed
17623214,0,0,0,0,3,1,1,15,1,passed
17775073,2,0,0,0,0,1,1,38,1,passed
18491285,6,0,0,0,0,1,1,39,1,passed
18717860,0,0,0,0,0,1,1,4,1,passed
18783795,0,0,0,0,0,1,1,5,1,passed
18783837,6,0,0,0,0,1,1,40,1,passed
19096750,4,0,11,0,0,3,1,104,1,passed
19125053,4,0,11,0,0,3,1,107,1,passed
20272578,7,0,35,0,0,2,1,74,1,passed
20300880,7,0,35,0,0,2,1,75,1,passed
20302598,7,0,35,0,0,2,1,76,1,passed
20475622,6,0,21,0,0,2,1,77,1,passed
20642838,6,0,21,0,0,2,1,79,1,passed
20646542,2,0,188,0,0,2,1,61,1,passed
20647812,47,0,0,0,0,1,1,44,1,passed
20648587,2,0,0,0,0,1,1,45,1,passed
20798609,2,0,0,0,0,1,1,46,1,passed
21013302,23,0,6,0,0,3,2,90,2,passed
21031008,23,0,6,0,0,3,1,92,1,passed
21724574,7,0,32,0,0,3,1,122,1,passed
21806669,7,0,32,0,0,3,1,123,1,passed
23224720,2,0,0,0,0,1,1,28,1,passed
23224833,0,0,4,0,0,1,1,58,1,passed
23224919,4,0,0,0,0,1,1,49,1,passed
23225568,6,0,0,0,0,1,1,50,1,passed
23257127,4,0,0,1,0,0,1,0,1,passed
23698270,2,1,0,0,0,1,1,78,1,failed
23717651,1,0,5,0,0,2,1,93,1,passed
23777457,2,0,0,0,0,1,1,29,1,passed
24021765,13,0,0,0,0,1,1,51,1,passed
24037996,13,0,0,0,0,1,1,52,1,passed
24575411,12,0,0,0,0,1,1,53,1,passed
25417346,2,0,0,0,0,1,1,54,1,passed
25421065,2,0,0,0,0,1,1,55,1,passed
26696915,0,0,2,0,0,1,1,62,1,passed
26711734,0,0,2,0,0,1,1,63,1,passed
27714487,2,0,0,0,0,1,1,56,1,passed
27715911,2,0,0,0,0,1,1,57,1,passed
27931829,1,0,0,0,0,1,1,58,1,passed
27931895,1,0,0,0,0,1,1,59,1,passed
28045151,1,0,0,0,0,1,1,60,1,passed
28187087,20,0,0,1,0,1,2,0,2,passed
28252418,1,0,0,0,0,1,1,61,1,passed
28359133,16,0,0,1,0,0,1,2,1,passed
29554182,2,0,0,0,0,1,1,16,1,passed
