tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
9130155,63560,0,9944,44,94,417,127,156,127,passed
9202850,0,0,0,0,0,1,1,1,1,passed
9206229,58,0,52,0,0,6,1,142,1,passed
9206523,0,0,0,0,0,1,1,58,1,passed
9215407,0,0,133,0,0,3,1,90,1,passed
9359268,6207,0,1136,6,1,51,14,225,14,passed
9363611,38,0,9,0,0,4,1,178,1,passed
9370187,0,0,0,0,0,1,2,62,2,passed
9370197,0,0,0,0,0,1,1,64,1,passed
9414382,1441,0,504,9,0,45,1,175,1,passed
9441633,99,0,0,0,0,1,1,16,1,passed
9452380,63,0,0,0,0,8,1,109,1,passed
9704761,5,0,0,0,0,2,2,67,2,passed
9704764,0,0,0,0,0,1,1,66,1,passed
9709763,7,0,0,0,0,2,2,87,2,passed
9709770,0,0,0,0,0,1,1,68,1,passed
9882626,0,0,49,0,0,2,1,109,1,passed
10179722,0,0,0,0,0,1,1,69,1,passed
10179725,0,0,0,0,0,1,1,70,1,passed
10229304,949,0,157,1,0,15,2,82,2,passed
10256584,511,0,276,0,0,3,1,36,1,passed
10472930,372,0,225,0,0,23,1,207,1,passed
10551354,58,0,0,0,0,4,2,95,2,passed
10551363,0,0,0,0,0,1,1,72,1,passed
10605467,123,0,28,0,0,4,2,141,2,passed
10723846,2,0,0,0,0,1,1,32,1,passed
10723910,2,0,0,0,0,1,1,33,1,passed
10842520,134,0,119,2,0,5,1,80,1,passed
11082386,158,0,9,0,0,10,1,36,1,passed
11182435,1118,0,192,9,1,11,2,91,2,passed
11398752,35,0,11,0,0,2,1,106,1,passed
11401491,58,0,43,0,0,5,1,20,1,passed
11424272,8,0,15,0,0,3,1,105,1,passed
11429884,6,0,31,0,0,2,1,14,1,passed
11450144,0,0,0,2,0,0,1,0,1,passed
11453164,117,0,18,0,0,5,1,1,1,passed
11454872,283,0,0,5,0,1,1,78,1,passed
11526035,0,0,0,0,0,3,2,86,2,failed
11532211,0,0,0,0,0,1,1,3,1,passed
11532945,31,0,0,0,0,1,1,18,1,passed
11534656,111,0,0,1,0,0,1,0,1,passed
11534836,32,0,0,0,0,1,1,1,1,passed
11541766,274,0,0,0,0,1,1,2,1,passed
11543528,578,0,0,0,0,1,1,3,1,passed
11543893,4,0,0,0,0,1,1,4,1,passed
11543907,6,0,0,0,0,1,1,5,1,passed
11544407,463,0,0,0,0,1,1,6,1,passed
11641157,76,0,42,0,0,8,1,3,1,passed
11651625,447,0,193,0,0,13,1,88,1,passed
11679593,114,0,15,0,0,8,1,4,1,passed
11718466,0,0,6,0,0,1,1,3,1,passed
11749363,207,0,0,1,0,6,1,6,1,passed
11758794,460,0,43,1,0,11,1,10,1,passed
11841359,375,0,23,1,0,12,1,9,1,passed
11846877,0,0,0,0,0,2,1,6,1,passed
12017557,3,0,0,0,0,1,1,1,1,passed
12305246,0,0,0,0,0,1,1,88,1,passed
12340397,0,0,0,0,0,4,1,91,1,passed
12340400,0,0,0,0,0,4,1,92,1,passed
12341308,0,0,0,0,0,1,1,4,1,passed
12343889,0,0,0,0,0,4,2,93,2,passed
12343892,0,0,0,0,0,4,1,95,1,passed
12469090,462,0,224,0,0,14,1,14,1,passed
12509484,225,0,53,0,0,20,4,18,4,passed
12510011,2,0,0,0,0,1,1,1,1,passed
12542163,0,0,0,0,0,3,1,16,1,passed
12546952,0,0,0,0,0,5,2,102,2,passed
12546957,0,0,0,0,0,4,1,98,1,passed
12548400,0,0,0,0,0,1,1,8,1,passed
12553110,14,0,5,0,0,3,1,12,1,passed
12581552,296,0,14,1,0,5,1,13,1,passed
12604347,583,0,12,0,0,18,1,8,1,passed
12644452,33,0,0,0,0,1,1,1,1,passed
12685396,80,0,10,0,0,3,1,6,1,passed
12966276,2,0,102,0,0,3,1,9,1,passed
12973380,682,0,54,0,0,10,1,16,1,passed
13174843,1748,0,515,4,0,44,1,26,1,passed
13228773,154,0,44,0,0,13,2,11,2,passed
13239057,824,0,121,3,0,9,1,17,1,passed
13240709,4,0,32,0,0,2,1,6,1,passed
13484125,54,0,0,0,0,5,3,7,3,passed
13552156,0,0,6,0,0,4,1,15,1,failed
13566313,16,0,0,0,0,3,1,1,1,failed
13598103,96,0,42,0,0,11,2,109,2,failed
13599465,0,0,9,0,0,2,1,16,1,failed
13615561,185,0,0,0,0,7,1,107,1,passed
13644482,70,0,17,0,0,8,1,112,1,passed
13660387,129,0,73,0,0,8,1,22,1,passed
13699621,179,0,17,0,0,4,1,23,1,passed
13708674,569,0,21,0,0,10,2,20,2,passed
13709363,8,0,53,0,0,3,1,1,1,passed
13747978,10,0,28,0,0,4,1,15,1,failed
13749852,49,0,14,0,0,4,1,19,1,passed
13817150,0,0,0,0,0,1,1,98,1,passed
13818649,526,0,91,2,0,31,2,28,2,passed
13903061,57,0,0,0,0,1,1,2,1,passed
13927581,57,0,0,0,0,1,1,3,1,passed
14004137,863,0,300,4,0,17,2,34,2,passed
