tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
198028,965,0,228,21,2,14,75,0,75,failed
198034,1,0,0,0,0,1,1,15,1,failed
198036,12,0,0,0,0,1,1,2,1,failed
201489,2,0,0,0,0,1,1,16,1,failed
201492,1,0,0,0,0,1,1,17,1,failed
216862,65,0,0,0,0,5,1,14,1,failed
286141,6,0,0,0,0,1,1,18,1,failed
286147,31,0,0,0,0,1,1,14,1,failed
380848,873,0,4,2,0,5,5,74,5,failed
380851,2,0,0,0,0,1,1,20,1,failed
380854,2,0,0,0,0,1,1,21,1,failed
387582,286,0,0,0,1,0,1,1,1,failed
388565,605,0,71,1,0,9,3,43,3,failed
388567,6,0,0,0,0,1,1,21,1,failed
388572,12,0,0,0,0,1,1,22,1,failed
388575,2,0,0,0,0,1,1,23,1,failed
389357,2,0,0,0,0,1,1,24,1,failed
391764,2,0,0,0,0,1,1,25,1,failed
391803,81,0,0,0,0,1,1,26,1,failed
391818,4,0,0,0,0,1,1,27,1,failed
391868,41,0,14,1,1,3,2,25,2,failed
391874,8,0,0,0,0,2,2,46,2,failed
391877,2,0,0,0,0,1,1,28,1,failed
391919,2,0,0,0,0,1,1,29,1,failed
391938,2,0,0,0,0,1,1,31,1,failed
391941,4,0,0,0,0,1,1,32,1,failed
396758,43,0,0,0,0,1,1,33,1,failed
414122,1,0,0,0,0,1,1,34,1,failed
414943,44,0,0,0,0,1,1,35,1,failed
414956,5,0,0,0,0,2,2,48,2,failed
414968,2,0,0,0,0,1,1,36,1,failed
414974,2,0,0,0,0,1,1,37,1,failed
418079,4,0,0,0,0,1,1,38,1,failed
418087,10,0,2,0,0,2,1,3,1,failed
449656,108,0,16,1,0,4,4,25,4,failed
452094,28,0,0,0,0,1,1,7,1,failed
458817,132,0,106,2,0,3,2,16,2,failed
460349,2,0,0,0,0,1,1,39,1,failed
460355,241,0,104,1,1,5,4,36,4,failed
460367,32,0,3,0,0,3,2,50,2,failed
460370,8,0,0,0,0,2,2,50,2,failed
462156,2,0,0,0,0,1,1,41,1,failed
462651,4,0,2,0,0,2,2,20,2,failed
462660,2,0,0,0,0,1,1,12,1,failed
462681,4,0,0,0,0,1,1,13,1,failed
466676,26,0,0,0,0,3,3,55,3,failed
470878,30,0,62,1,0,5,2,41,2,failed
475176,48,0,0,0,0,1,1,42,1,failed
475193,2,0,0,0,0,1,1,43,1,failed
475294,9,0,0,0,0,1,1,44,1,failed
475297,2,0,0,0,0,1,1,45,1,failed
475300,2,0,0,0,0,1,1,46,1,failed
2512092,106,0,40,1,0,7,4,96,4,failed
2512094,0,0,0,1,0,1,1,2,1,failed
2512110,0,0,105,0,1,0,1,4,1,failed
2512156,0,0,0,0,0,1,1,2,1,failed
2512193,0,0,0,0,0,1,1,3,1,failed
2512221,7,0,0,0,0,3,1,13,1,failed
2512334,0,0,29,0,0,4,1,31,1,failed
2512439,0,0,68,0,0,1,1,22,1,failed
2512487,0,0,4,0,0,1,1,2,1,failed
2512493,0,0,0,0,0,1,1,5,1,failed
2512544,8,0,2,0,0,2,2,65,2,passed
2512576,6,0,0,0,0,1,1,60,1,passed
2513333,11,0,372,24,0,6,1,41,1,passed
2513370,48,0,0,0,0,2,6,56,6,passed
2531028,244,0,4,2,0,4,4,120,4,passed
2551424,82,0,0,0,0,3,1,93,1,passed
2741048,470,0,0,0,0,3,15,71,15,passed
2747322,8,0,0,0,0,1,1,37,1,passed
2981722,36,0,108,0,0,8,5,72,5,passed
3036716,48,0,43,2,0,2,1,98,1,passed
3041262,48,0,43,2,0,2,1,99,1,passed
3076654,85,0,148,0,0,8,1,112,1,passed
4157930,15,0,38,1,0,2,1,102,1,passed
4158843,15,0,38,1,0,2,1,103,1,passed
4464585,43,0,9,0,0,4,1,56,1,passed
4464783,43,0,9,0,0,4,1,57,1,passed
4668746,39,0,0,1,0,1,1,28,1,failed
4669009,39,1,0,1,0,1,1,29,1,failed
4957091,42,0,0,0,0,2,2,74,2,passed
5575746,42,1,0,0,0,2,1,76,1,passed
6166010,43,0,0,0,0,3,1,78,1,passed
6167107,2,0,0,0,0,1,1,73,1,passed
6219611,87,0,0,0,0,3,1,103,1,failed
6236813,0,0,0,0,0,1,1,6,1,passed
6407867,113,0,496,17,0,36,1,98,1,failed
6408075,0,0,4,0,0,1,1,33,1,failed
6420845,0,0,6,0,0,3,1,11,1,failed
6421023,0,0,0,0,0,1,1,7,1,passed
6425678,451,0,502,17,0,38,1,166,1,passed
6425871,0,0,0,0,0,39,2,39,2,passed
6425873,38,1,0,0,0,1,1,28,1,passed
6428285,2,0,0,0,0,1,1,77,1,passed
6428442,2,0,0,0,0,1,1,78,1,passed
6428464,0,0,0,0,0,1,1,2,1,passed
6475305,89,0,0,0,0,1,1,52,1,passed
6476237,89,0,0,0,0,1,1,53,1,passed
7697300,14,0,0,0,0,3,1,89,1,passed
7697446,14,0,0,0,0,3,1,90,1,passed
7756691,2,0,0,0,0,1,1,81,1,passed
7757080,2,0,0,0,0,1,1,82,1,passed
