tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
39446426,7,0,0,2,0,1,1,4,1,passed
39522071,1,0,0,0,0,2,1,6,1,passed
39529930,1,0,0,0,0,2,1,7,1,passed
39533989,2,0,0,0,0,1,1,16,1,passed
39664306,179,0,0,1,0,13,5,74,5,passed
39695932,4,0,0,0,0,2,1,15,1,passed
39700050,10,0,0,0,0,2,2,26,2,passed
39729191,10,0,0,0,0,2,1,28,1,passed
39768314,153,2,0,0,0,1,3,10,3,passed
39864195,28,0,0,0,0,1,1,13,1,passed
39877139,0,0,0,0,0,2,3,42,3,passed
39946851,14,0,0,0,0,1,1,7,1,passed
40089336,0,0,0,1,1,1,2,1,2,passed
40109925,36,0,0,0,0,2,2,22,2,passed
40112392,3089,0,0,90,0,0,1,3,1,passed
40113010,34,0,0,0,0,1,1,14,1,passed
40205111,0,0,0,0,0,2,1,45,1,passed
40217456,0,0,0,0,0,1,1,12,1,passed
40254866,272,0,0,0,1,3,1,42,1,passed
40254979,43,0,0,0,0,1,1,15,1,passed
40270671,15,0,0,0,0,1,1,10,1,passed
40320795,0,0,0,0,0,2,1,50,1,passed
40396715,10,0,0,0,0,4,1,83,1,passed
40575881,460,0,0,0,24,0,1,9,1,passed
40803364,460,0,0,0,24,0,1,10,1,passed
40952852,98,0,0,0,2,0,1,6,1,passed
40963882,88,0,0,0,6,1,1,15,1,passed
40965284,88,0,0,0,6,1,1,16,1,passed
40965288,98,0,0,0,2,0,1,7,1,passed
41159012,25,0,0,0,0,1,1,11,1,passed
41159908,13,0,0,0,0,1,1,18,1,passed
41297322,38,0,0,0,2,0,1,9,1,passed
41377042,32,0,0,0,0,1,1,9,1,passed
41378523,32,0,0,0,0,1,1,10,1,passed
41391987,0,0,0,0,0,2,2,11,2,passed
41535131,2,0,0,0,0,1,1,13,1,passed
41646062,0,0,0,0,0,2,1,13,1,passed
41661542,0,0,0,0,0,14,1,56,1,passed
41663992,11,0,0,0,0,1,1,2,1,passed
41665243,11,0,0,0,0,1,1,3,1,passed
41673439,0,0,0,0,0,14,1,57,1,passed
41759660,353,0,0,0,0,13,1,7,1,passed
41773042,154,0,0,0,0,2,1,11,1,passed
41979222,137,0,0,0,12,0,1,24,1,passed
41997007,29,0,0,1,1,3,1,64,1,passed
41998269,29,0,0,1,1,3,1,65,1,passed
42003441,220,0,0,0,0,1,1,15,1,passed
42004012,220,0,0,0,0,1,1,16,1,passed
42009480,0,0,0,0,0,1,1,27,1,passed
42012568,0,0,0,0,0,1,1,28,1,passed
42018808,33,0,0,0,0,2,1,24,1,passed
42019689,33,0,0,0,0,2,1,25,1,passed
42112924,67,0,0,1,0,3,1,31,1,passed
42122222,69,0,0,1,0,3,1,33,1,passed
42129242,3,0,0,0,0,1,1,20,1,passed
42137840,8,0,0,0,0,1,1,33,1,passed
42140220,8,0,0,0,0,1,1,34,1,passed
42236605,151,0,0,0,0,2,1,59,1,passed
42665551,151,0,0,0,0,2,1,60,1,passed
42774329,436,0,0,1,0,3,1,46,1,passed
43014526,465,0,0,1,0,3,1,48,1,passed
43142845,30,0,0,1,0,0,1,0,1,passed
43149114,6,0,0,0,0,1,1,1,1,passed
43149413,1,0,0,0,0,1,1,21,1,passed
43241600,0,0,0,0,0,3,1,30,1,passed
43393774,0,0,0,0,0,1,1,7,1,passed
43422428,2,0,0,0,0,1,1,12,1,passed
43532207,189,0,0,0,0,1,1,22,1,passed
43547771,189,0,0,0,0,1,1,23,1,passed
43746781,35,0,0,0,0,1,1,17,1,passed
43780571,35,0,0,0,0,1,1,18,1,passed
43873640,42,0,0,0,0,4,1,46,1,passed
43895062,59,0,0,0,0,2,4,64,4,passed
44124470,6,1,0,0,0,1,1,42,1,passed
44139495,720,0,0,2,0,10,1,127,1,passed
44151447,75,0,0,0,0,5,1,78,1,passed
44152761,53,0,0,0,1,0,1,9,1,passed
44240918,138,0,0,1,0,10,1,14,1,passed
44259853,25,0,0,1,0,3,2,20,2,passed
44261326,88,0,0,0,0,1,1,24,1,passed
44264908,12,0,0,0,0,1,1,14,1,passed
44280999,460,4,0,1,0,3,4,35,4,passed
44290484,50,0,0,1,0,3,1,23,1,passed
44377982,333,0,0,1,0,2,1,43,1,passed
44392096,10,0,0,0,0,1,1,12,1,passed
44397318,5,0,0,0,0,2,2,13,2,passed
44408689,59,1,0,0,0,1,1,32,1,passed
