tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
28818127,0,0,0,1,0,0,1,0,1,failed
28818185,3,0,0,0,0,1,1,1,1,failed
28818344,0,0,0,0,0,1,1,213,1,passed
28819476,0,0,0,1,0,1,1,215,1,passed
28819500,3,0,0,0,0,1,1,2,1,passed
29065131,0,0,0,0,0,1,1,215,1,passed
29068774,31,0,0,0,0,2,1,4,1,passed
29633056,0,0,0,0,7,1,1,222,1,passed
29633788,0,0,0,0,7,1,1,223,1,passed
29635098,0,0,0,0,0,1,1,219,1,passed
29699937,11,0,40,0,0,2,1,2,1,passed
29710255,11,0,40,0,0,2,1,3,1,passed
29891487,0,0,0,0,0,1,1,220,1,passed
29904640,0,0,0,0,0,1,1,221,1,passed
29909999,0,0,0,0,0,1,1,19,1,passed
30068541,0,0,0,0,0,1,1,222,1,passed
30518334,3,0,0,0,0,1,1,5,1,passed
30564695,3,0,0,0,0,1,1,6,1,passed
31050253,0,0,0,0,0,2,2,223,2,passed
31163866,289,0,0,3,0,3,1,227,1,passed
31711238,6,0,0,0,0,1,1,3,1,passed
31817723,6,0,0,0,0,1,1,4,1,passed
32259677,0,0,0,0,0,1,1,226,1,passed
33101017,8,0,0,0,0,274,1,37,1,passed
33103260,0,0,0,0,0,1,1,36,1,passed
33103940,8,0,0,0,0,273,1,4,1,passed
33314382,2,0,0,0,0,1,1,3,1,passed
33315386,2,0,0,0,0,1,1,4,1,passed
33501399,123,0,0,0,0,274,1,3,1,passed
33502666,115,0,0,0,0,1,1,4,1,passed
33503229,40,0,39,2,0,3,1,8,1,passed
33517558,265,0,74,2,0,1,1,228,1,passed
33616668,15,0,0,0,0,1,1,5,1,passed
33617503,15,0,0,0,0,1,1,6,1,passed
33627540,57,5,0,0,0,1,1,4,1,passed
33732247,25,0,0,0,0,1,1,5,1,passed
33734343,70,0,0,0,0,1,1,6,1,passed
34225181,185,0,0,1,0,1,1,2,1,passed
34226355,185,0,0,1,0,1,1,3,1,passed
34313269,120,0,69,12,0,1,1,229,1,passed
34317047,120,0,69,12,0,1,1,230,1,passed
34331781,3,0,3,2,0,2,1,2,1,passed
34334804,6,0,0,0,0,3,1,3,1,passed
34337356,7,0,3,2,0,4,1,4,1,passed
34421972,2,0,7,5,0,2,1,5,1,passed
34713296,162,0,0,0,7,8,3,263,3,passed
34722398,2,0,0,0,0,1,1,8,1,passed
34740975,6,0,0,0,0,1,1,29,1,passed
34748469,2,0,0,0,0,1,1,5,1,passed
34749598,122,0,0,0,0,1,1,9,1,passed
34751871,122,0,0,0,0,1,1,10,1,passed
34751907,2,0,0,0,0,1,1,6,1,passed
34901963,2,0,0,0,0,1,1,5,1,passed
34905334,35,0,0,0,0,2,1,8,1,passed
34910475,35,0,0,0,0,2,1,9,1,passed
34910485,2,0,0,0,0,1,1,6,1,passed
35039801,5,0,0,0,0,1,1,11,1,passed
35040531,5,0,0,0,0,1,1,12,1,passed
35152739,91,0,0,0,0,2,1,6,1,passed
35152850,241,0,678,7,0,6,3,236,3,passed
35156640,181,0,546,7,0,4,1,238,1,passed
35276356,1,0,0,0,0,1,1,13,1,passed
35290443,1,0,0,0,0,1,1,14,1,passed
