tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
5063126,0,0,0,0,0,1,1,5,1,passed
5081010,208,0,356,5,1,17,3,105,3,failed
5092457,2,0,6,0,0,2,1,7,1,failed
5092802,2,0,6,0,0,2,1,8,1,failed
5270091,396,0,210,17,0,15,14,64,14,failed
5325307,2,0,4,0,0,3,4,9,4,passed
5331892,370,0,249,18,0,10,1,92,1,passed
5541953,2,0,0,0,0,1,1,8,1,passed
5554555,2,0,0,0,0,1,1,9,1,passed
5658859,170,0,182,8,0,15,12,68,12,passed
5660232,162,0,180,8,0,11,1,81,1,passed
5660290,2,0,0,0,0,1,1,15,1,passed
5660348,3,0,0,0,0,1,1,39,1,passed
5667782,4,0,0,0,0,1,1,40,1,passed
5667900,4,0,0,0,0,1,1,41,1,passed
5674739,94,0,48,4,0,5,4,48,4,passed
5675332,90,0,42,4,0,1,1,52,1,passed
5675966,110,0,38,6,0,1,2,49,2,passed
5676462,140,0,46,5,0,1,1,50,1,passed
5689470,250,0,84,11,0,1,1,53,1,passed
5689631,12,0,2,0,0,4,1,2,1,passed
5697712,135,0,168,10,0,7,4,64,4,passed
5698448,107,0,84,10,0,3,1,73,1,passed
5766394,190,0,36,1,0,13,1,88,1,passed
5792322,86,0,25,1,0,7,1,122,1,passed
5844935,614,0,274,25,0,17,5,102,5,passed
5872270,13,0,11,0,0,4,2,10,2,passed
5911571,93,0,101,9,0,2,1,104,1,passed
5922801,19,0,0,0,0,3,1,28,1,passed
5967574,33,0,13,0,0,3,1,16,1,passed
5991755,88,0,13,1,0,7,1,81,1,passed
6051485,97,0,12,1,0,7,2,95,2,passed
6053920,42,0,14,0,0,4,1,43,1,passed
6054167,339,0,0,0,0,1,1,1,1,passed
6054328,339,0,0,0,0,1,1,2,1,passed
6418206,28,0,0,0,0,4,1,34,1,passed
6422891,43,0,31,4,0,1,1,66,1,passed
6431178,43,0,31,4,0,1,1,67,1,passed
6442740,0,0,83,3,0,0,1,0,1,passed
6455504,0,0,83,3,0,0,1,1,1,passed
6704472,8,0,0,0,0,4,1,18,1,passed
6726906,54,0,16,0,0,12,3,62,3,passed
6744945,10,0,0,0,0,3,1,34,1,passed
7197960,2619,0,1936,106,3,56,3,248,3,failed
7209178,0,0,6,0,0,1,1,1,1,passed
7209203,8,0,0,0,0,2,1,25,1,passed
7271379,4,0,0,0,0,1,1,11,1,passed
7280754,4,0,0,0,0,1,1,12,1,passed
7374241,15,0,48,3,0,4,1,22,1,passed
7401485,105,0,87,10,0,5,3,101,3,failed
7408517,103,0,87,10,0,4,1,104,1,failed
7490164,42,0,10,0,0,2,2,18,2,passed
7492170,42,0,10,0,0,2,1,20,1,passed
7573894,59,0,134,7,0,4,2,85,2,passed
7574788,59,0,134,7,0,4,2,85,2,passed
7574792,59,0,134,7,0,2,1,87,1,passed
7780178,483,0,101,14,0,10,1,102,1,passed
7781972,10,0,0,0,0,1,1,2,1,passed
7785338,18,0,0,0,0,1,1,48,1,passed
7785430,2,0,0,0,0,1,1,49,1,passed
7785442,7,0,0,0,0,1,1,50,1,passed
7786259,55,0,0,0,0,1,1,51,1,passed
7852589,33,0,30,1,0,5,1,46,1,passed
7961961,2,0,0,0,0,1,1,18,1,passed
7962090,2,0,0,0,0,1,1,19,1,passed
8019400,14,0,31,0,0,4,4,28,4,passed
8021074,14,0,31,0,0,4,1,32,1,passed
8166970,17,0,11,1,0,4,1,18,1,passed
8243866,1,0,0,0,0,1,1,5,1,passed
10731612,0,0,0,2,0,1,1,11,1,passed
10731755,0,0,0,2,0,1,1,12,1,passed
10731799,269,0,114,2,0,7,1,70,1,passed
10733098,94,0,0,0,0,1,1,61,1,passed
10733245,94,0,0,0,0,1,1,62,1,passed
10737569,0,0,768,1,1,40,5,120,5,passed
10759463,25,0,0,0,0,1,1,5,1,passed
10761253,669,0,387,10,10,2,1,51,1,passed
10823756,2,0,0,0,0,1,1,9,1,passed
10823974,2,0,0,0,0,1,1,10,1,passed
10905893,164,0,0,6,0,6,1,163,1,passed
11953164,10,0,0,0,0,1,1,5,1,passed
12961493,10,0,0,0,0,2,1,5,1,failed
12962489,10,0,0,0,0,2,1,6,1,failed
13176654,0,0,1,0,0,1,1,25,1,passed
13337427,1,0,0,0,0,1,1,67,1,passed
13338624,1,0,0,0,0,1,1,68,1,passed
13454443,12,0,0,0,0,2,1,13,1,passed
13478703,6,0,0,0,0,2,1,71,1,passed
13547736,6,0,0,0,0,2,1,72,1,passed
14214779,71,0,0,0,0,1,1,71,1,passed
14214846,4,0,0,0,0,1,2,72,2,passed
14214885,3,0,0,0,0,1,1,74,1,passed
14460876,5,0,0,0,0,1,1,75,1,passed
14460909,3,0,0,0,0,1,1,76,1,passed
14513752,4,0,0,0,0,2,1,11,1,passed
14514160,27,0,0,0,0,2,1,11,1,failed
14516400,27,0,0,0,0,2,1,12,1,failed
14615768,15,0,0,1,0,3,1,86,1,failed
14617094,1,0,0,0,0,1,1,4,1,passed
14617119,15,0,0,1,0,3,1,87,1,passed
15259185,363,0,0,10,0,3,1,157,1,passed
16896864,22,0,0,0,0,2,1,20,1,passed
18591021,43,0,0,1,0,2,1,7,1,passed
18599571,43,0,0,1,0,2,1,8,1,passed
20013359,58,0,0,0,0,4,1,54,1,passed
20023034,58,0,0,0,0,4,1,55,1,passed
20071926,2,0,0,0,0,1,1,10,1,passed
20083474,2,0,0,0,0,1,1,11,1,passed
22136553,31,0,0,0,0,2,1,30,1,passed
22804116,31,0,0,0,0,2,1,31,1,failed
23749039,48,0,0,0,0,5,1,58,1,failed
23762898,48,0,0,0,0,5,1,59,1,failed
25329400,4,0,0,0,0,2,1,10,1,failed
33015383,19,0,0,0,0,4,2,57,2,passed
