tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
18056503,15,0,0,1,0,2,2,57,2,passed
20345660,0,0,0,0,0,1,2,1,2,passed
20345974,4,0,0,0,0,1,1,15,1,passed
20376275,6,0,0,0,0,1,1,3,1,passed
22450264,1,0,0,0,0,1,1,20,1,failed
23436333,2,0,0,0,0,1,1,4,1,passed
23814787,24,0,0,0,0,1,1,3,1,failed
23815049,1,0,0,0,0,1,1,15,1,passed
23826416,1,0,0,0,0,1,1,6,1,passed
23938784,1,0,0,0,0,1,1,8,1,passed
23941040,2,0,0,0,0,1,1,9,1,passed
24022879,14,0,0,1,0,0,1,0,1,passed
25222572,2,0,0,0,0,1,1,7,1,passed
25452994,0,0,0,0,0,1,1,19,1,passed
25453240,26,0,0,0,0,1,1,55,1,passed
25525300,196,0,0,0,0,3,1,22,1,passed
25602693,196,0,0,0,0,3,1,23,1,passed
25606469,26,0,0,0,1,8,1,40,1,passed
25942935,4,0,0,0,0,1,1,19,1,passed
25943190,3,0,0,0,0,1,1,20,1,passed
26303981,24,0,0,0,0,1,1,18,1,passed
26304007,3,0,0,0,0,1,1,19,1,passed
26304483,6,0,0,0,0,1,1,20,1,passed
26304825,0,0,8,0,0,1,1,2,1,passed
26304839,0,0,2,0,0,1,1,3,1,passed
26305305,0,0,29,0,0,1,1,4,1,passed
26305633,0,0,37,0,0,1,1,5,1,passed
26305874,0,0,40,0,0,1,1,6,1,passed
26306480,0,0,18,0,0,1,1,7,1,passed
26306571,13,0,0,0,0,1,1,21,1,passed
26306981,30,0,2,0,0,2,1,30,1,passed
26307713,17,0,0,1,0,1,1,9,1,passed
26388703,18,0,0,0,0,5,1,171,1,passed
26390561,22,0,0,0,0,1,1,22,1,passed
26432996,25,0,0,1,0,0,1,0,1,passed
26433009,0,0,0,1,0,0,1,0,1,passed
26433081,64,0,0,0,0,1,1,23,1,passed
26443388,3,0,0,0,0,1,1,24,1,passed
