tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
364285,24,0,0,0,0,2,1,37,1,failed
388048,95,0,0,36,0,5,2,236,2,failed
394617,85,0,39,0,0,11,1,102,1,passed
394678,8,0,0,0,0,2,1,216,1,passed
397487,12,0,0,1,0,0,1,1,1,passed
397684,13,0,8,0,0,4,1,130,1,passed
402489,8,0,0,0,0,2,1,218,1,failed
414552,21,0,0,1,0,0,1,6,1,passed
432588,21,0,0,1,0,0,1,6,1,failed
479710,21,0,0,1,0,0,1,6,1,passed
492210,6,0,0,0,0,4,1,54,1,passed
493777,45,0,0,0,0,3,1,274,1,passed
493810,41,0,0,0,0,3,1,277,1,passed
494871,3,0,0,1,0,2,1,239,1,passed
497901,65,0,0,0,0,1,1,69,1,passed
502219,0,0,0,0,0,2,1,5,1,passed
502374,8,0,0,2,0,9,2,225,2,passed
521841,0,0,0,3,0,12,2,11,2,passed
523833,0,0,0,0,0,1,1,12,1,passed
523839,1,0,0,0,0,1,1,13,1,passed
524605,2,0,2,0,0,2,1,59,1,passed
529218,11,0,32,0,1,3,3,47,3,passed
553454,36,0,66,1,0,7,1,52,1,passed
577511,59,0,0,3,7,6,1,322,1,passed
587927,1,0,0,0,0,1,1,72,1,passed
589680,0,0,0,0,0,2,1,9,1,passed
594442,0,0,0,0,0,1,1,5,1,passed
594445,30,0,0,0,1,0,1,10,1,passed
596698,11,0,17,0,0,2,2,56,2,failed
596767,18,0,0,2,0,7,1,3,1,passed
612980,4,0,10,0,0,3,2,67,2,passed
613098,2,0,0,0,0,1,1,16,1,passed
622256,6,0,637,5,1,22,3,416,3,passed
622301,0,0,0,0,0,2,1,8,1,passed
622329,17,0,0,0,0,1,1,74,1,passed
622372,22,0,0,0,0,1,1,75,1,passed
622523,2,0,23,0,0,2,2,65,2,passed
622614,8,0,0,0,0,1,1,76,1,failed
622687,0,0,0,2,0,7,1,4,1,failed
622738,0,0,0,2,0,7,1,4,1,passed
625838,1,0,0,0,0,1,1,10,1,failed
628007,76,0,0,0,0,4,3,23,3,passed
628028,76,0,89,1,0,3,1,40,1,passed
641675,6,0,8,0,0,5,1,282,1,failed
641711,6,0,8,0,0,5,1,282,1,passed
642083,264,0,0,5,0,3,2,51,2,passed
642236,358,0,0,37,51,1,3,15,3,passed
642312,22,0,29,0,0,5,2,94,2,passed
642325,6,0,0,0,0,1,1,25,1,passed
654284,0,0,516,0,0,11,9,197,9,passed
657610,30,0,29,0,0,5,6,111,6,failed
657761,18,0,216,0,1,4,1,84,1,passed
657983,10,0,0,0,0,3,1,280,1,passed
662065,0,0,0,0,0,0,1,1,1,failed
662071,0,0,0,0,0,0,1,1,1,passed
662196,19,0,0,2,0,6,1,7,1,passed
663514,3,0,0,0,1,5,1,33,1,passed
666456,0,0,0,0,0,2,1,12,1,passed
666575,0,0,0,1,0,8,2,10,2,passed
668034,158,0,0,32,37,0,2,10,2,passed
668138,151,0,0,1,0,4,1,22,1,passed
668273,2,0,0,0,0,1,1,17,1,passed
677325,2,0,0,0,0,1,1,7,1,passed
679763,2,0,30,0,0,2,1,48,1,failed
693854,29,0,56,0,0,4,1,105,1,passed
695445,154,0,0,0,0,8,2,133,2,passed
697826,8,0,0,1,0,2,1,250,1,passed
700198,19,0,0,2,0,8,3,21,3,failed
700242,0,0,2,0,0,1,1,43,1,passed
702907,0,0,0,0,0,1,1,7,1,passed
724739,15,0,43,2,0,3,3,18,3,passed
755263,8,0,0,0,0,6,6,76,6,passed
755344,0,0,0,0,0,1,1,9,1,passed
762579,41,0,117,3,0,4,3,50,3,passed
788768,61,0,73,0,0,4,1,43,1,passed
919315,12,0,0,0,0,5,1,92,1,passed
965295,3,0,0,0,0,1,1,56,1,passed
990665,3,0,0,0,0,1,1,56,1,failed
990677,2,0,0,0,0,1,1,77,1,passed
990761,27,0,22,4,0,5,1,363,1,passed
991461,30,0,6,0,1,7,2,41,2,passed
995032,8,0,14,0,0,2,2,62,2,passed
995182,0,0,0,0,0,2,1,6,1,passed
995562,16,0,0,0,0,7,6,25,6,passed
1143240,84,0,128,3,0,6,5,290,5,passed
1143393,11,0,11,0,0,4,4,275,4,passed
1145535,40,0,20,0,0,5,1,41,1,failed
1145589,30,0,0,0,1,6,5,102,5,passed
1145614,0,0,0,0,0,7,1,14,1,failed
1145689,0,0,0,0,0,7,1,14,1,failed
1154526,0,0,0,0,0,7,1,14,1,passed
1163381,414,0,305,4,0,3,1,61,1,passed
1177619,0,0,4,12,0,4,1,128,1,passed
1223074,21,0,46,0,1,5,1,330,1,failed
1223786,15,0,177,1,0,13,1,116,1,failed
1281434,0,0,2,0,0,1,1,50,1,failed
1281879,0,0,0,0,0,1,1,9,1,failed
1301236,2,0,0,0,0,2,1,17,1,passed
1301360,0,0,0,0,0,1,1,20,1,failed
1332297,51,0,81,2,0,4,5,86,5,failed
1332361,0,0,2,0,0,1,1,51,1,passed
1370370,6,0,28,0,0,2,3,76,3,passed
1630402,16,0,730,6,1,16,10,164,10,passed
1630689,211,0,0,0,0,2,3,260,3,passed
1643521,0,0,0,0,0,1,1,19,1,passed
1744056,4,0,99,0,0,5,3,107,3,passed
1928486,152,0,225,5,0,15,11,419,11,failed
1928511,0,0,1,0,0,1,1,52,1,failed
1928543,0,0,1,0,0,1,1,53,1,passed
1929115,105,0,2,0,34,8,4,352,4,passed
1996484,2,0,0,0,0,1,1,45,1,passed
1996509,2,0,0,0,0,1,1,46,1,passed
2087695,14,0,0,0,0,2,1,266,1,passed
2089469,43,0,67,0,0,3,3,19,3,passed
2102997,10,0,42,0,0,3,2,91,2,passed
2111404,290,0,10,0,0,14,11,439,11,passed
2112620,290,0,10,0,0,14,1,450,1,passed
2122418,12,0,0,0,0,2,1,275,1,passed
2124070,9,0,5,0,0,2,1,12,1,passed
2148133,5,0,0,1,0,5,2,50,2,passed
2152022,0,0,0,0,0,1,2,2,2,passed
2152344,28,0,0,0,0,2,1,6,1,passed
2152927,85,0,0,0,0,1,1,78,1,passed
2152941,4,0,0,0,0,1,1,79,1,passed
2152956,17,0,0,0,0,1,1,80,1,passed
2152980,3,0,0,0,0,1,1,81,1,passed
2153014,2,0,0,0,0,1,1,82,1,passed
2153937,0,0,0,0,0,3,1,19,1,passed
2155015,1,0,0,0,0,1,1,6,1,passed
2155541,0,0,0,0,0,1,1,4,1,passed
2156146,0,0,0,0,0,1,1,5,1,passed
2156923,23,0,8,0,0,2,1,78,1,passed
2157255,0,0,0,0,0,1,1,6,1,passed
2158150,14,0,0,0,0,2,1,276,1,passed
2165266,0,0,0,0,2,0,1,4,1,passed
2169615,0,0,0,0,2,0,1,5,1,passed
2170693,9,0,0,0,0,2,2,276,2,passed
2170862,5,0,0,0,0,2,1,279,1,failed
2172430,0,0,36,0,0,2,3,5,3,passed
2177701,0,0,36,0,0,2,1,8,1,passed
2179574,14,0,12,0,0,3,1,64,1,passed
2179795,81,0,0,0,0,1,1,86,1,passed
2179920,0,0,0,0,0,1,1,8,1,passed
2180174,0,0,53,0,0,2,7,9,7,passed
2181449,0,0,51,0,0,2,1,16,1,passed
2185508,2,0,13,0,0,3,2,88,2,passed
2185632,2,0,13,0,0,3,1,90,1,passed
2263379,6,0,0,0,0,2,1,25,1,passed
2263584,72,0,139,0,0,12,1,428,1,passed
2263638,0,0,0,0,0,1,1,9,1,passed
2263643,0,0,0,0,0,1,1,10,1,passed
2295316,7,0,20,0,0,2,1,51,1,passed
2313406,0,0,0,0,0,1,1,5,1,passed
2313927,0,0,0,0,0,1,1,6,1,passed
2324197,57,0,85,2,0,16,4,285,4,passed
2324227,57,0,85,2,0,16,1,289,1,passed
2324242,0,0,0,0,0,1,1,7,1,passed
2324252,0,0,0,0,0,1,1,8,1,passed
2331338,0,0,0,0,0,1,1,11,1,passed
2331524,0,0,0,0,0,1,1,12,1,passed
2331753,0,0,0,0,0,1,1,13,1,passed
2332008,0,0,0,0,0,1,1,14,1,passed
2334241,27,0,22,0,0,8,4,197,4,failed
2334701,2,0,0,0,0,1,1,6,1,passed
2334837,2,0,0,0,0,1,1,7,1,passed
2359787,4,0,56,0,0,5,2,171,2,passed
2360183,4,0,56,0,0,5,1,173,1,failed
2360534,4,0,56,0,0,5,1,173,1,passed
2374656,0,0,0,0,0,1,1,12,1,passed
2374659,0,0,1,0,0,1,1,51,1,failed
2375628,0,0,1,0,0,2,1,62,1,passed
2379057,28,0,19,0,0,2,1,54,1,passed
2390699,28,0,19,0,0,2,1,55,1,passed
2390702,12,0,32,0,0,2,1,57,1,passed
2434145,0,0,0,0,0,1,1,10,1,passed
2435119,0,0,0,0,0,1,1,11,1,passed
2435218,2,0,0,1,0,2,1,134,1,passed
2558009,326,0,33,1,0,10,5,439,5,failed
2558285,326,0,33,1,0,10,5,439,5,failed
2558380,0,0,0,0,0,1,1,18,1,failed
2558631,0,0,3,0,0,2,1,72,1,passed
2559002,26,0,0,0,0,4,2,114,2,passed
2591305,5,0,15,0,0,2,1,40,1,passed
2591358,5,0,15,0,0,2,1,41,1,passed
2591628,36,0,14,0,0,6,1,85,1,passed
2591684,22,0,354,2,0,4,1,114,1,passed
2598385,0,0,0,0,0,1,1,17,1,passed
2598645,4,0,0,0,0,1,1,4,1,passed
2598743,4,0,0,0,0,1,1,5,1,passed
2631872,2,0,5,0,0,2,1,72,1,passed
2654052,2,0,5,0,0,2,1,73,1,passed
2688854,8,0,18,0,0,3,4,91,4,passed
2689415,0,0,0,0,0,1,1,19,1,passed
2690238,0,0,0,0,0,1,1,20,1,passed
2691065,0,0,0,0,0,1,1,54,1,passed
2699257,0,0,0,0,0,1,1,55,1,passed
2752275,0,0,0,0,0,1,1,57,1,passed
2765466,5,0,0,0,0,1,1,227,1,passed
2777745,161,0,83,2,0,13,1,511,1,passed
2777948,99,0,0,1,0,3,2,362,2,passed
2778229,11,0,0,3,0,6,3,17,3,passed
2778297,32,0,0,1,0,1,1,13,1,passed
2788018,15,0,71,1,0,5,5,130,5,passed
2788153,0,0,0,0,0,1,2,21,2,passed
2833665,0,0,0,0,0,1,1,23,1,passed
2894213,0,0,0,0,0,1,1,8,1,passed
2901641,0,0,0,0,0,1,1,9,1,passed
2955462,7,0,0,0,0,2,1,93,1,passed
2960652,11,0,34,1,0,3,1,78,1,passed
2963746,11,0,34,1,0,3,1,79,1,passed
2965250,73,0,0,1,1,1,3,18,3,passed
2966523,73,0,0,1,1,1,1,21,1,passed
2982658,0,0,0,1,0,3,3,44,3,passed
2982777,0,0,0,1,0,3,1,47,1,passed
3046568,83,0,59,0,0,4,5,81,5,passed
3048931,44,0,0,0,0,2,2,291,2,passed
3058978,0,0,163,0,0,4,2,141,2,passed
3059120,0,0,163,0,0,4,1,143,1,passed
3225133,10,0,0,0,0,2,1,37,1,passed
3237803,0,0,0,0,0,1,1,24,1,passed
3237898,0,0,0,0,0,1,1,25,1,passed
3254809,2,0,0,0,0,1,1,274,1,passed
3260783,2,0,0,0,0,1,1,275,1,passed
3293125,133,0,116,0,0,10,1,441,1,passed
3293143,2,0,0,0,0,3,1,54,1,passed
3293202,8,0,8,0,0,3,1,105,1,passed
3308121,1,0,15,0,0,2,1,83,1,passed
3335189,0,0,17,0,0,2,1,88,1,passed
3340460,0,0,17,0,0,2,1,89,1,passed
3466198,4,0,31,0,0,2,2,87,2,passed
3584816,2,0,31,0,0,2,1,89,1,passed
3836086,126,0,52,0,3,10,1,146,1,passed
3836093,501,0,516,10,7,8,1,234,1,passed
3836119,0,0,165,0,0,2,1,62,1,passed
3836129,90,0,112,1,0,8,1,417,1,failed
3836153,0,0,0,0,0,20,1,8,1,failed
3836230,0,0,2,0,0,1,1,42,1,passed
4031767,69,0,0,0,0,2,1,302,1,passed
4735602,68,0,0,0,0,2,1,303,1,passed
4841419,7,0,0,0,0,1,1,245,1,passed
4880709,18,0,0,0,0,2,1,305,1,passed
4892319,18,0,0,0,0,2,2,304,2,passed
4894651,16,0,0,0,0,2,1,306,1,passed
4901121,11,0,12,0,0,6,3,297,3,passed
4907457,11,0,12,0,0,6,1,302,1,passed
4987863,8,0,0,0,0,2,1,294,1,passed
4988136,8,0,0,0,0,2,1,295,1,passed
5207140,0,0,34,0,0,1,2,5,2,passed
5207213,0,0,95,0,0,1,1,4,1,passed
5380483,0,0,29,0,0,3,1,29,1,passed
5670623,90,0,0,0,0,2,1,311,1,passed
5673556,90,0,0,0,0,2,1,312,1,passed
5675696,17,0,0,0,0,2,1,313,1,passed
5676169,17,0,0,0,0,2,1,314,1,passed
7549319,23,0,0,0,0,2,1,317,1,passed
7549396,0,0,34,0,0,1,1,7,1,passed
7549439,0,0,95,0,0,1,1,5,1,passed
7549574,0,0,29,0,0,3,1,30,1,passed
7708418,4,0,17,0,0,4,2,269,2,passed
9148825,82,0,0,0,0,2,3,318,3,passed
9327627,82,0,0,0,0,2,3,318,3,passed
9815877,75,0,0,0,0,2,1,321,1,passed
9821509,75,0,0,0,0,2,1,322,1,passed
13130545,0,1,0,0,0,1,1,15,1,passed
13214599,98,0,108,2,0,1,1,86,1,passed
31765853,272,0,152,5,0,15,6,657,6,passed
33331791,170,0,12,0,0,7,5,482,5,passed
36526348,420,0,164,5,0,16,1,710,1,passed
36526518,46,1,0,0,0,2,2,334,2,passed
36527179,54,0,0,1,0,3,1,412,1,passed
37151155,6,0,0,0,0,2,1,337,1,failed
37355486,14,0,28,2,1,5,1,391,1,failed
39447039,8,0,0,2,0,0,1,0,1,failed
39554095,57,0,0,0,0,2,1,340,1,failed
39554701,6,0,0,0,0,2,1,340,1,failed
40137236,8,0,0,0,1,2,1,340,1,failed
40138167,0,0,0,0,0,1,1,2,1,failed
40258625,8,0,0,2,0,0,1,1,1,failed
40258658,57,0,0,0,0,2,1,341,1,failed
40258774,6,0,0,0,0,3,1,344,1,failed
40259230,8,0,0,0,1,2,1,345,1,failed
40260645,4,0,0,0,0,2,2,347,2,passed
40408439,2,0,0,0,0,2,1,282,1,passed
40408941,10,0,0,0,0,2,1,347,1,passed
40410398,7,0,0,1,0,2,1,347,1,passed
40412741,4,0,0,0,0,2,1,348,1,passed
43304394,2,0,0,0,0,1,1,105,1,passed
43307936,2,0,0,0,0,1,1,106,1,passed
45866112,0,0,0,0,0,2,3,4,3,passed
47304949,2,0,0,0,0,2,1,283,1,passed
47304984,10,0,0,0,0,2,1,350,1,passed
47305017,7,0,0,1,0,2,1,353,1,passed
47305079,0,0,0,0,0,2,1,7,1,passed
