tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
265424,4,0,0,1,0,1,2,5,2,passed
265473,16,0,0,0,0,1,1,4,1,passed
265477,0,0,0,0,0,1,1,17,1,passed
265498,0,0,0,0,0,1,1,18,1,passed
265507,0,0,0,0,0,1,1,1,1,failed
297968,7,0,39,1,0,3,1,35,1,passed
298045,45,0,0,2,0,6,4,65,4,passed
298292,3,0,4,0,0,2,1,26,1,passed
298407,2,0,0,0,0,4,2,51,2,passed
314350,8,0,0,0,0,1,1,74,1,failed
314580,0,0,9,0,0,1,1,2,1,passed
314903,4,0,0,0,0,3,2,52,2,passed
317677,8,0,3,0,0,5,3,128,3,passed
332805,0,0,0,0,1,0,1,2,1,passed
333384,4,0,0,0,0,1,1,8,1,passed
333476,16,0,0,0,0,5,3,67,3,failed
333545,4,0,0,0,0,2,1,15,1,passed
354513,5,0,0,0,0,1,1,7,1,passed
356716,4,0,0,0,0,1,1,76,1,passed
356734,0,0,0,0,0,2,1,33,1,passed
356744,10,0,0,0,0,1,1,29,1,passed
424289,50,0,17,0,0,4,3,58,3,passed
424305,4,0,0,0,0,1,1,30,1,passed
508077,27,0,0,0,0,1,1,37,1,passed
622400,8,0,0,0,0,1,1,8,1,passed
666829,5,0,17,0,0,2,1,81,1,passed
669980,142,0,410,11,0,12,5,58,5,passed
678509,118,0,93,1,0,1,1,40,1,passed
678672,12,0,0,0,0,2,2,37,2,passed
679374,23,0,2,0,0,6,1,22,1,failed
679415,0,0,0,0,0,1,1,22,1,failed
729323,4,0,2,0,0,4,4,23,4,failed
730169,0,0,10,0,0,1,1,4,1,failed
753520,0,0,21,0,0,2,1,5,1,failed
753918,10,0,4,0,0,5,3,24,3,failed
931893,7,0,61,0,0,2,2,29,2,failed
931926,0,0,0,0,0,1,1,5,1,passed
936188,114,0,89,0,0,3,3,52,3,passed
936240,65,0,0,0,0,3,1,65,1,passed
936253,4,0,0,0,0,2,2,52,2,passed
1667678,0,0,0,0,0,1,1,7,1,passed
1668034,13,0,0,0,2,5,4,96,4,failed
1917445,0,0,0,0,0,1,1,8,1,passed
2359249,398,0,0,7,1,8,4,121,4,passed
2370639,177,0,7,0,0,7,2,129,2,passed
2391336,11,0,0,0,0,1,1,33,1,passed
2392626,2,0,0,0,0,2,2,103,2,passed
2403340,2,0,0,0,0,1,1,81,1,passed
3022812,0,0,0,0,0,2,2,48,2,passed
5604025,15,0,2,0,0,3,1,59,1,passed
5604884,4,0,2,0,0,5,3,49,3,passed
9402159,0,0,0,0,0,1,1,23,1,passed
9411727,0,0,0,0,0,1,1,24,1,passed
9724235,0,0,0,0,0,1,1,25,1,passed
9861391,0,0,0,0,0,1,1,26,1,failed
10088924,2,0,0,0,0,1,1,36,1,passed
12097407,0,0,0,0,0,2,2,40,2,passed
12098629,0,0,0,0,0,1,1,28,1,passed
12133853,2,0,0,0,0,1,1,19,1,passed
12273553,8,0,0,0,0,1,1,34,1,passed
21049049,3,0,0,0,0,2,1,37,1,passed
33751710,0,0,0,0,0,1,2,29,2,failed
34044502,0,0,0,0,0,1,1,31,1,failed
