tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
6318231,22,2,66,0,0,4,4,94,4,passed
9075228,27,0,0,0,0,4,5,100,5,passed
9082742,16,0,0,0,0,1,1,23,1,failed
9083237,16,0,0,0,0,1,1,24,1,passed
9083561,26,0,0,0,0,3,2,107,2,passed
9084003,0,0,0,0,0,1,1,59,1,passed
9094918,0,0,0,0,0,1,1,60,1,passed
9126378,2,0,15,0,0,4,1,107,1,passed
9126802,16,0,25,0,0,3,3,97,3,passed
9131254,43,0,84,0,0,5,3,115,3,passed
9252198,232,0,187,0,1,8,9,146,9,failed
9252511,0,0,12,0,0,2,1,35,1,failed
9252948,24,0,17,0,0,5,2,122,2,passed
9253577,18,0,15,0,0,2,1,75,1,passed
9275904,170,0,210,0,0,7,5,134,5,passed
9303551,5,0,0,0,0,3,2,77,2,passed
9314149,27,0,26,0,0,5,3,129,3,failed
9316202,3,0,0,0,0,1,1,76,1,passed
9321071,47,0,78,0,0,4,1,121,1,passed
9343089,8,0,10,0,0,5,3,124,3,passed
9344786,93,2,35,0,0,8,3,177,3,passed
9353152,806,0,50,1,0,5,2,145,2,passed
9384397,40,0,26,0,0,6,3,128,3,failed
9394542,0,0,6,0,0,3,1,93,1,failed
9394898,0,0,4,0,0,2,2,19,2,passed
9454069,0,0,690,0,0,2,2,91,2,failed
9474864,136,0,141,1,0,6,1,150,1,failed
9536731,65,0,36,0,0,6,2,175,2,failed
9537616,0,0,2,0,0,1,1,23,1,passed
9563505,81,0,87,0,0,7,3,152,3,passed
9567743,696,1,104,1,0,6,3,150,3,passed
9570926,37,0,27,0,0,6,2,160,2,passed
9712307,19,0,44,0,0,4,2,150,2,passed
9922674,16,0,2,0,0,2,1,10,1,passed
9962401,56,0,126,0,0,7,3,216,3,passed
10008207,27,0,95,1,0,4,2,162,2,passed
10070096,41,0,33,0,0,5,2,152,2,failed
10070973,0,0,2,0,0,1,1,26,1,passed
10079629,0,0,33,0,0,4,1,100,1,passed
10112628,34,0,0,0,0,2,1,111,1,passed
10112697,2,0,0,0,0,1,1,54,1,failed
10131526,0,0,2,0,0,2,3,113,3,passed
10176746,40,0,74,1,0,3,2,158,2,failed
10178468,0,0,4,0,0,1,1,1,1,passed
10294834,15,0,25,0,0,4,3,161,3,passed
10343773,50,0,61,0,0,4,1,133,1,passed
