tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
6434845,12,0,0,1,0,4,3,128,3,passed
6444443,0,0,0,0,0,1,1,3,1,passed
6446328,0,0,0,0,0,1,1,4,1,passed
6476783,0,0,0,0,0,4,1,119,1,passed
6476837,0,0,0,0,0,4,1,120,1,passed
6575239,0,0,0,0,0,1,1,4,1,passed
6608429,4,0,0,0,0,1,1,4,1,passed
6608902,4,0,1,0,0,2,1,101,1,passed
6640480,0,0,0,1,0,0,1,0,1,passed
6643758,2,0,0,0,0,1,1,45,1,passed
6643968,0,0,0,1,0,0,1,1,1,passed
6643979,4,0,0,0,0,1,1,5,1,passed
6647705,84,0,29,2,2,10,1,268,1,passed
6663548,250,0,0,1,0,2,1,78,1,passed
6665287,5,0,21,0,0,2,1,25,1,passed
6665921,14,0,2,0,0,3,1,33,1,passed
6667723,2,0,1,0,0,2,1,33,1,passed
6668291,267,0,22,1,0,4,1,92,1,passed
6668928,1,0,0,0,0,1,1,54,1,passed
6788663,30,0,0,1,1,5,1,131,1,passed
6788849,7,0,0,0,0,1,1,90,1,passed
6790358,0,0,6,0,0,1,1,25,1,passed
6799298,1,0,0,1,0,1,1,10,1,failed
6828978,2,0,0,0,0,1,1,7,1,failed
6829437,2,0,0,0,0,1,1,8,1,failed
6925547,6,0,3,0,1,2,1,32,1,failed
6925884,6,0,3,0,1,2,1,33,1,failed
6970526,18,0,0,0,0,2,2,51,2,failed
6970844,2,0,4,0,0,2,2,167,2,failed
7007554,14,0,0,0,0,5,1,62,1,failed
7008427,45,0,24,0,0,2,1,34,1,failed
7008885,0,0,0,0,0,1,1,10,1,passed
7009026,45,0,24,0,0,2,1,35,1,failed
7009385,5,0,3,0,0,2,1,21,1,passed
7009627,4,0,0,0,0,1,1,13,1,passed
7019104,18,0,0,0,0,4,1,205,1,passed
7019778,14,0,0,0,0,5,1,63,1,passed
7057600,0,0,22,0,0,1,1,151,1,passed
7058482,0,0,22,0,0,1,1,152,1,passed
7060763,188,0,0,0,0,5,1,85,1,failed
7061373,188,0,0,0,0,5,1,88,1,failed
7065425,3,0,0,0,0,2,1,186,1,passed
7160196,35,0,0,0,0,1,1,4,1,passed
7189189,3,0,21,0,0,3,1,12,1,passed
7222831,75,0,0,1,0,2,1,45,1,passed
7261048,2,0,32,0,0,2,2,125,2,passed
7329121,2,0,32,0,0,2,1,127,1,passed
7329156,160,0,0,1,0,2,1,73,1,passed
7364637,2,0,13,0,0,2,1,31,1,passed
7369943,16,0,19,0,0,15,1,322,1,passed
7397037,75,0,0,1,0,2,1,48,1,passed
7397141,0,0,13,0,0,1,1,29,1,passed
7398657,36,0,0,1,0,3,1,119,1,passed
7398786,5,0,0,0,0,2,1,33,1,passed
7400751,16,0,19,0,0,15,1,323,1,passed
7406261,36,0,0,1,0,3,1,120,1,failed
7406304,5,0,0,0,0,2,1,34,1,passed
7438426,0,0,0,0,1,1,1,9,1,passed
7438595,0,0,0,0,1,1,1,10,1,passed
7459103,18,0,0,0,0,2,1,19,1,passed
7465394,11,0,0,0,0,2,1,45,1,passed
7465567,11,0,0,0,0,2,1,46,1,passed
7481988,8,0,0,0,0,2,1,47,1,failed
7482451,8,0,0,0,0,2,1,48,1,passed
7572693,13,0,0,0,0,3,1,63,1,failed
7573657,13,0,0,0,0,3,1,64,1,passed
7599694,473,0,8,13,1,17,1,465,1,passed
