tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
7180516,939,0,170,6,95,23,1,1470,1,passed
10231733,1005,0,416,23,2,40,1,1512,1,passed
10250815,36,0,0,0,0,9,2,898,2,passed
10835885,101,0,0,0,0,19,1,1011,1,passed
13201640,2,0,0,0,0,1,1,10,1,passed
13636994,686,0,9,1,0,31,2,1286,2,passed
14299279,3,0,0,0,0,1,1,36,1,passed
14302862,2,0,0,0,0,1,1,37,1,passed
14925492,21,0,0,0,0,8,2,380,2,passed
15757814,529,0,0,1,0,15,2,905,2,passed
17689721,81,0,112,3,0,9,2,707,2,passed
18344273,93,0,0,0,0,10,2,566,2,passed
19697128,1282,0,121,5,0,40,1,1583,1,passed
21257804,241,0,40,1,1,21,2,512,2,passed
22751742,209,0,0,0,0,38,2,1525,2,passed
25506160,162,0,0,0,0,11,2,413,2,passed
29193978,51,0,0,0,0,10,2,256,2,passed
37221350,312,0,144,8,2,25,2,1176,2,passed
50531037,521,0,211,6,0,38,2,1435,2,passed
67018195,122,0,443,13,0,30,2,1102,2,passed
67330652,4,0,0,0,0,3,2,155,2,failed
