tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
52814054,564,0,96,9,0,12,13,213,13,passed
52818348,29,0,0,1,1,0,1,1,1,passed
52865183,5,0,0,0,0,1,1,12,1,passed
52865399,2,0,4,0,0,2,1,16,1,passed
53015351,0,0,7,0,0,1,1,4,1,passed
53100531,4,0,3,0,0,2,1,22,1,passed
53306618,2,0,0,0,0,1,1,113,1,passed
53491153,4,0,5,0,0,2,1,26,1,passed
53494149,4,0,5,0,0,2,1,26,1,passed
54067863,11,0,0,0,0,1,1,35,1,passed
54068068,2,0,3,0,0,2,1,41,1,passed
54175535,42,0,9,0,0,2,1,16,1,passed
54190692,31,0,4,0,0,2,1,6,1,passed
54424135,2,0,3,0,0,2,1,16,1,passed
54510952,3,0,0,0,0,1,1,14,1,passed
54539518,4,0,0,0,0,1,1,15,1,passed
54625086,0,0,3,0,0,1,1,19,1,passed
54629082,4,0,0,0,0,1,1,1,1,passed
54671278,28,0,3,0,0,2,1,27,1,passed
54778800,10,0,19,0,0,2,1,16,1,passed
54932792,2,0,6,0,0,2,1,17,1,passed
54999953,4,0,0,0,0,1,1,20,1,passed
55754355,164,0,4,0,0,2,1,6,1,passed
56392116,12,0,3,0,0,2,1,26,1,passed
57091420,0,0,3,0,0,1,1,26,1,passed
57204405,10,0,3,0,0,2,1,28,1,passed
57286690,6,0,18,0,0,2,1,27,1,passed
57439353,34,0,4,0,0,2,1,43,1,passed
57439716,4,0,0,0,0,1,1,21,1,passed
58017324,252,0,26,2,0,2,1,166,1,passed
58020498,8,0,6,0,0,2,1,1,1,passed
58021785,15,0,0,0,0,1,1,2,1,passed
58023394,135,0,20,2,0,2,1,167,1,passed
58139990,35,0,0,0,0,1,1,4,1,passed
58584507,0,0,3,0,0,1,1,2,1,passed
58868617,2,0,0,0,0,5,1,64,1,passed
58871485,0,0,0,0,0,1,1,1,1,passed
58982460,7,0,0,0,0,1,1,1,1,passed
58982497,4,0,0,0,0,1,1,13,1,passed
59003814,133,0,43,2,0,2,1,168,1,passed
59016286,0,0,3,0,0,1,1,28,1,passed
59195770,19,0,0,0,0,1,1,2,1,passed
59225137,25,0,6,0,0,2,1,44,1,passed
59325945,0,0,21,0,0,1,1,18,1,passed
59343048,0,0,31,1,0,0,1,0,1,passed
59358361,0,0,0,0,0,1,1,5,1,passed
59377755,122,0,0,0,0,2,1,7,1,passed
59530414,60,0,0,0,0,1,1,8,1,passed
59533666,134,0,0,1,0,3,1,147,1,passed
59533737,7,0,0,0,0,1,1,118,1,passed
59661614,2166,0,343,2,0,175,1,581,1,passed
59664658,0,0,6,0,0,1,1,7,1,passed
59702809,6,0,3,0,0,2,1,3,1,passed
