tr_build_id,git_diff_src_churn,gh_num_commit_comments,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,git_num_all_built_commits,gh_num_commits_on_files_touched,git_num_all_built_commits,tr_status
934961,1625,0,196,15,2,24,23,11,23,passed
934998,2,0,0,0,0,1,1,10,1,passed
935039,2,0,0,0,0,1,1,6,1,passed
935124,0,0,0,0,0,1,1,1,1,passed
935145,0,0,0,0,0,1,1,2,1,failed
935153,0,0,0,0,0,1,1,3,1,failed
935220,65,0,0,0,0,2,1,15,1,failed
935380,2,0,0,0,0,2,1,15,1,passed
937172,2,0,0,0,0,2,1,16,1,passed
937240,2,0,0,0,0,1,1,7,1,passed
937501,0,0,0,0,1,1,1,2,1,passed
938441,141,0,0,1,0,6,1,19,1,passed
938758,14,0,83,1,0,2,1,18,1,passed
938777,2,0,0,0,0,1,1,2,1,passed
939038,2,0,10,0,0,2,1,11,1,passed
956878,2,0,0,0,0,1,1,8,1,passed
961248,54,0,105,1,0,8,2,26,2,passed
976477,3,0,17,0,0,2,1,12,1,passed
976504,2,0,0,0,0,1,1,9,1,passed
980422,75,0,0,0,0,2,1,14,1,passed
980589,43,0,0,0,0,1,1,12,1,passed
985135,5,0,67,1,0,1,1,14,1,passed
985172,2,0,0,0,0,1,1,10,1,passed
989817,184,0,5,0,0,9,4,47,4,passed
1002395,7,0,0,0,0,2,2,16,2,passed
1002535,0,0,50,1,0,0,1,0,1,passed
1011048,159,0,44,0,0,19,3,45,3,passed
1011115,1,0,0,0,0,1,1,15,1,passed
1011125,2,0,0,0,0,1,1,12,1,passed
1011544,10,0,0,0,0,1,1,10,1,passed
1011554,2,0,0,0,0,1,1,13,1,passed
1012214,60,0,109,2,0,8,1,35,1,passed
1019170,13,0,0,0,0,1,1,3,1,passed
1026374,8,0,0,0,0,2,1,6,1,passed
1032115,70,0,0,1,0,3,1,29,1,passed
1034545,75,0,0,0,0,3,1,31,1,passed
1060305,12,0,45,1,0,2,1,21,1,passed
1061775,0,0,48,1,0,1,1,3,1,passed
1074740,253,0,16,0,0,10,1,25,1,passed
1074827,2,0,0,0,0,1,1,14,1,passed
1144083,109,0,4,0,0,6,2,34,2,passed
1144127,2,0,0,0,0,1,1,15,1,passed
1149665,13,0,21,0,0,3,2,18,2,passed
1156242,117,0,51,0,0,13,1,42,1,failed
1156358,13,0,21,0,0,3,2,18,2,passed
1158142,17,0,66,0,0,4,1,26,1,passed
1158185,2,0,0,0,0,1,1,16,1,passed
1299134,14,0,44,0,0,2,1,17,1,passed
1299852,54,0,59,3,0,7,4,39,4,failed
1299865,0,0,2,0,0,1,1,6,1,passed
1299906,2,0,0,0,0,1,1,17,1,passed
1304059,2,0,2,0,0,3,1,1,1,failed
1304132,3,0,0,0,0,1,1,18,1,failed
1304186,0,0,4,0,0,1,1,2,1,failed
1304205,8,0,0,0,0,2,1,7,1,failed
1304553,4,0,39,0,0,4,1,23,1,failed
1315880,2,0,0,0,0,1,1,20,1,failed
1315962,2,0,0,0,0,1,1,18,1,failed
1316628,0,0,68,0,0,3,1,9,1,failed
1322138,1,0,0,0,0,1,1,17,1,failed
1334355,2,0,0,0,0,1,1,18,1,failed
1339626,13,0,9,0,0,4,3,19,3,failed
1339805,0,0,28,0,0,1,1,5,1,failed
1340516,0,0,30,0,0,3,1,10,1,passed
1340541,2,0,0,0,0,1,1,19,1,passed
1340717,0,0,2,0,0,1,1,6,1,passed
1357394,17,0,9,0,0,2,1,21,1,passed
1366221,41,0,16,0,0,5,1,37,1,passed
1393282,2,0,0,0,0,1,1,19,1,passed
1491262,44,0,0,0,0,1,1,24,1,passed
1491299,38,0,2,0,0,2,1,17,1,passed
1491542,8,0,0,0,0,1,1,15,1,passed
