,Unnamed: 0,project,algorithm,batch_size,builds_reqd,median_delay,testall_size,sum_delay,method,confidence
0,0,rubinius.csv,BATCH4,4,30.751498386353152,5.0,2169,2960.0,sbs,
1,1,rubinius.csv,BATCHBISECT,1,30.751498386353152,5.0,2169,2960.0,sbs,
2,2,rubinius.csv,BATCHBISECT,2,30.751498386353152,5.0,2169,2960.0,sbs,
3,3,rubinius.csv,BATCHBISECT,4,30.751498386353152,5.0,2169,2960.0,sbs,
4,4,rubinius.csv,BATCHBISECT,8,30.751498386353152,5.0,2169,2960.0,sbs,
5,5,rubinius.csv,BATCHBISECT,16,30.751498386353152,5.0,2169,2960.0,sbs,
7,7,rubinius.csv,BATCHSTOP4,8,30.751498386353152,5.0,2169,2960.0,sbs,
8,8,rubinius.csv,BATCHSTOP4,16,30.751498386353152,5.0,2169,2960.0,sbs,
9,9,open-build-service.csv,BATCH4,4,16.542102640757346,7.0,2007,3380.0,sbs,
10,10,open-build-service.csv,BATCHBISECT,1,16.542102640757346,7.0,2007,3380.0,sbs,
11,11,open-build-service.csv,BATCHBISECT,2,16.542102640757346,7.0,2007,3380.0,sbs,
12,12,open-build-service.csv,BATCHBISECT,4,16.542102640757346,7.0,2007,3380.0,sbs,
13,13,open-build-service.csv,BATCHBISECT,8,16.542102640757346,7.0,2007,3380.0,sbs,
14,14,open-build-service.csv,BATCHBISECT,16,16.542102640757346,7.0,2007,3380.0,sbs,
16,16,open-build-service.csv,BATCHSTOP4,8,16.542102640757346,7.0,2007,3380.0,sbs,
17,17,open-build-service.csv,BATCHSTOP4,16,16.542102640757346,7.0,2007,3380.0,sbs,
18,18,metasploit-framework.csv,BATCH4,4,1.023391812865497,80.0,4104,13884.0,sbs,
19,19,metasploit-framework.csv,BATCHBISECT,1,1.023391812865497,80.0,4104,13884.0,sbs,
20,20,metasploit-framework.csv,BATCHBISECT,2,1.023391812865497,80.0,4104,13884.0,sbs,
21,21,metasploit-framework.csv,BATCHBISECT,4,1.023391812865497,80.0,4104,13884.0,sbs,
22,22,metasploit-framework.csv,BATCHBISECT,8,1.023391812865497,80.0,4104,13884.0,sbs,
23,23,metasploit-framework.csv,BATCHBISECT,16,1.023391812865497,80.0,4104,13884.0,sbs,
25,25,metasploit-framework.csv,BATCHSTOP4,8,1.023391812865497,80.0,4104,13884.0,sbs,
26,26,metasploit-framework.csv,BATCHSTOP4,16,1.023391812865497,80.0,4104,13884.0,sbs,
27,27,puppet.csv,BATCH4,4,1.7336485421591803,22.0,1269,1517.0,sbs,
28,28,puppet.csv,BATCHBISECT,1,1.7336485421591803,22.0,1269,1517.0,sbs,
29,29,puppet.csv,BATCHBISECT,2,1.7336485421591803,22.0,1269,1517.0,sbs,
30,30,puppet.csv,BATCHBISECT,4,1.7336485421591803,22.0,1269,1517.0,sbs,
31,31,puppet.csv,BATCHBISECT,8,1.7336485421591803,22.0,1269,1517.0,sbs,
32,32,puppet.csv,BATCHBISECT,16,1.7336485421591803,22.0,1269,1517.0,sbs,
34,34,puppet.csv,BATCHSTOP4,8,1.7336485421591803,22.0,1269,1517.0,sbs,
35,35,puppet.csv,BATCHSTOP4,16,1.7336485421591803,22.0,1269,1517.0,sbs,
36,36,geoserver.csv,BATCH4,4,62.00169635284139,4.0,1179,675.0,sbs,
37,37,geoserver.csv,BATCHBISECT,1,62.00169635284139,4.0,1179,675.0,sbs,
38,38,geoserver.csv,BATCHBISECT,2,62.00169635284139,4.0,1179,675.0,sbs,
39,39,geoserver.csv,BATCHBISECT,4,62.00169635284139,4.0,1179,675.0,sbs,
40,40,geoserver.csv,BATCHBISECT,8,62.00169635284139,4.0,1179,675.0,sbs,
41,41,geoserver.csv,BATCHBISECT,16,62.00169635284139,4.0,1179,675.0,sbs,
43,43,geoserver.csv,BATCHSTOP4,8,62.00169635284139,4.0,1179,675.0,sbs,
44,44,geoserver.csv,BATCHSTOP4,16,62.00169635284139,4.0,1179,675.0,sbs,
45,45,graylog2-server.csv,BATCH4,4,1.2248468941382329,12.0,1143,1008.0,sbs,
46,46,graylog2-server.csv,BATCHBISECT,1,1.2248468941382329,12.0,1143,1008.0,sbs,
47,47,graylog2-server.csv,BATCHBISECT,2,1.2248468941382329,12.0,1143,1008.0,sbs,
48,48,graylog2-server.csv,BATCHBISECT,4,1.2248468941382329,12.0,1143,1008.0,sbs,
49,49,graylog2-server.csv,BATCHBISECT,8,1.2248468941382329,12.0,1143,1008.0,sbs,
50,50,graylog2-server.csv,BATCHBISECT,16,1.2248468941382329,12.0,1143,1008.0,sbs,
52,52,graylog2-server.csv,BATCHSTOP4,8,1.2248468941382329,12.0,1143,1008.0,sbs,
53,53,graylog2-server.csv,BATCHSTOP4,16,1.2248468941382329,12.0,1143,1008.0,sbs,
54,54,vagrant.csv,BATCH4,4,2.377686328303612,27.0,2187,6231.0,sbs,
55,55,vagrant.csv,BATCHBISECT,1,2.377686328303612,27.0,2187,6231.0,sbs,
56,56,vagrant.csv,BATCHBISECT,2,2.377686328303612,27.0,2187,6231.0,sbs,
57,57,vagrant.csv,BATCHBISECT,4,2.377686328303612,27.0,2187,6231.0,sbs,
58,58,vagrant.csv,BATCHBISECT,8,2.377686328303612,27.0,2187,6231.0,sbs,
59,59,vagrant.csv,BATCHBISECT,16,2.377686328303612,27.0,2187,6231.0,sbs,
61,61,vagrant.csv,BATCHSTOP4,8,2.377686328303612,27.0,2187,6231.0,sbs,
62,62,vagrant.csv,BATCHSTOP4,16,2.377686328303612,27.0,2187,6231.0,sbs,
63,63,jruby.csv,BATCH4,4,79.32036664431031,3.0,4473,1889.0,sbs,
64,64,jruby.csv,BATCHBISECT,1,79.32036664431031,3.0,4473,1889.0,sbs,
65,65,jruby.csv,BATCHBISECT,2,79.32036664431031,3.0,4473,1889.0,sbs,
66,66,jruby.csv,BATCHBISECT,4,79.32036664431031,3.0,4473,1889.0,sbs,
67,67,jruby.csv,BATCHBISECT,8,79.32036664431031,3.0,4473,1889.0,sbs,
68,68,jruby.csv,BATCHBISECT,16,79.32036664431031,3.0,4473,1889.0,sbs,
70,70,jruby.csv,BATCHSTOP4,8,79.32036664431031,3.0,4473,1889.0,sbs,
71,71,jruby.csv,BATCHSTOP4,16,79.32036664431031,3.0,4473,1889.0,sbs,
72,72,opal.csv,BATCH4,4,3.490028490028491,19.0,1404,2654.0,sbs,
73,73,opal.csv,BATCHBISECT,1,3.490028490028491,19.0,1404,2654.0,sbs,
74,74,opal.csv,BATCHBISECT,2,3.490028490028491,19.0,1404,2654.0,sbs,
75,75,opal.csv,BATCHBISECT,4,3.490028490028491,19.0,1404,2654.0,sbs,
76,76,opal.csv,BATCHBISECT,8,3.490028490028491,19.0,1404,2654.0,sbs,
77,77,opal.csv,BATCHBISECT,16,3.490028490028491,19.0,1404,2654.0,sbs,
79,79,opal.csv,BATCHSTOP4,8,3.490028490028491,19.0,1404,2654.0,sbs,
80,80,opal.csv,BATCHSTOP4,16,3.490028490028491,19.0,1404,2654.0,sbs,
81,81,cloudify.csv,BATCH4,4,16.955017301038062,16.0,2601,2967.0,sbs,
82,82,cloudify.csv,BATCHBISECT,1,16.955017301038062,16.0,2601,2967.0,sbs,
83,83,cloudify.csv,BATCHBISECT,2,16.955017301038062,16.0,2601,2967.0,sbs,
84,84,cloudify.csv,BATCHBISECT,4,16.955017301038062,16.0,2601,2967.0,sbs,
85,85,cloudify.csv,BATCHBISECT,8,16.955017301038062,16.0,2601,2967.0,sbs,
86,86,cloudify.csv,BATCHBISECT,16,16.955017301038062,16.0,2601,2967.0,sbs,
88,88,cloudify.csv,BATCHSTOP4,8,16.955017301038062,16.0,2601,2967.0,sbs,
89,89,cloudify.csv,BATCHSTOP4,16,16.955017301038062,16.0,2601,2967.0,sbs,
90,90,sufia.csv,BATCH4,4,4.411764705882353,23.5,1224,4108.0,sbs,
91,91,sufia.csv,BATCHBISECT,1,4.411764705882353,23.5,1224,4108.0,sbs,
92,92,sufia.csv,BATCHBISECT,2,4.411764705882353,23.5,1224,4108.0,sbs,
93,93,sufia.csv,BATCHBISECT,4,4.411764705882353,23.5,1224,4108.0,sbs,
94,94,sufia.csv,BATCHBISECT,8,4.411764705882353,23.5,1224,4108.0,sbs,
95,95,sufia.csv,BATCHBISECT,16,4.411764705882353,23.5,1224,4108.0,sbs,
97,97,sufia.csv,BATCHSTOP4,8,4.411764705882353,23.5,1224,4108.0,sbs,
98,98,sufia.csv,BATCHSTOP4,16,4.411764705882353,23.5,1224,4108.0,sbs,
99,99,cloud_controller_ng.csv,BATCH4,4,11.265432098765432,7.0,1296,3389.0,sbs,
100,100,cloud_controller_ng.csv,BATCHBISECT,1,11.265432098765432,7.0,1296,3389.0,sbs,
101,101,cloud_controller_ng.csv,BATCHBISECT,2,11.265432098765432,7.0,1296,3389.0,sbs,
102,102,cloud_controller_ng.csv,BATCHBISECT,4,11.265432098765432,7.0,1296,3389.0,sbs,
103,103,cloud_controller_ng.csv,BATCHBISECT,8,11.265432098765432,7.0,1296,3389.0,sbs,
104,104,cloud_controller_ng.csv,BATCHBISECT,16,11.265432098765432,7.0,1296,3389.0,sbs,
106,106,cloud_controller_ng.csv,BATCHSTOP4,8,11.265432098765432,7.0,1296,3389.0,sbs,
107,107,cloud_controller_ng.csv,BATCHSTOP4,16,11.265432098765432,7.0,1296,3389.0,sbs,
108,108,fog.csv,BATCH4,4,26.58730158730159,7.0,1512,3247.0,sbs,
109,109,fog.csv,BATCHBISECT,1,26.58730158730159,7.0,1512,3247.0,sbs,
110,110,fog.csv,BATCHBISECT,2,26.58730158730159,7.0,1512,3247.0,sbs,
111,111,fog.csv,BATCHBISECT,4,26.58730158730159,7.0,1512,3247.0,sbs,
112,112,fog.csv,BATCHBISECT,8,26.58730158730159,7.0,1512,3247.0,sbs,
113,113,fog.csv,BATCHBISECT,16,26.58730158730159,7.0,1512,3247.0,sbs,
115,115,fog.csv,BATCHSTOP4,8,26.58730158730159,7.0,1512,3247.0,sbs,
116,116,fog.csv,BATCHSTOP4,16,26.58730158730159,7.0,1512,3247.0,sbs,
117,117,loomio.csv,BATCH4,4,17.2979797979798,10.0,1584,6309.0,sbs,
118,118,loomio.csv,BATCHBISECT,1,17.2979797979798,10.0,1584,6309.0,sbs,
119,119,loomio.csv,BATCHBISECT,2,17.2979797979798,10.0,1584,6309.0,sbs,
120,120,loomio.csv,BATCHBISECT,4,17.2979797979798,10.0,1584,6309.0,sbs,
121,121,loomio.csv,BATCHBISECT,8,17.2979797979798,10.0,1584,6309.0,sbs,
122,122,loomio.csv,BATCHBISECT,16,17.2979797979798,10.0,1584,6309.0,sbs,
124,124,loomio.csv,BATCHSTOP4,8,17.2979797979798,10.0,1584,6309.0,sbs,
125,125,loomio.csv,BATCHSTOP4,16,17.2979797979798,10.0,1584,6309.0,sbs,
