project,B4_builds,B4_delay,B4_Batch,BB_builds,BB_delay,BB_Batch,BS4_builds,BS4_delay,BS4_Batch
puppet,109.77147674560548,2.0,4,17.88810157775879,7.0,16,17.88810157775879,7.0,16
metasploit-framework,119.6881103515625,2.0,4,13.620857238769531,7.0,16,13.474658966064451,7.0,16
rails,124.1614227294922,2.0,4,71.9339599609375,2.0,4,67.45282745361328,2.0,4
geoserver,121.20440673828124,2.0,4,110.26293182373048,1.0,2,91.85750579833984,2.0,4
rubinius,122.36053466796876,2.0,4,86.6297836303711,1.0,2,79.76026153564453,2.0,4
heroku,113.86666870117188,2.0,4,54.57777786254883,4.0,8,51.022220611572266,4.0,8
concerto,109.17874145507812,2.0,4,26.650564193725582,7.0,16,26.328502655029297,7.0,16
cloud_controller_ng,117.8240737915039,2.0,4,55.70987701416016,2.0,4,52.85493850708008,2.0,4
sonarqube,114.85379791259766,2.0,4,43.09941482543945,4.0,8,41.578948974609375,4.0,8
sufia,112.17320251464844,2.0,4,29.901960372924805,7.0,16,29.0849666595459,7.0,16
gradle,113.44756317138672,2.0,4,12.201454162597656,7.0,16,12.097611427307127,7.0,16
fog,118.78306579589844,2.0,4,74.53704071044922,2.0,4,67.06349182128906,2.0,4
jruby,124.25665283203124,2.0,4,127.1182632446289,1.0,2,113.14553833007812,2.0,4
open-build-service,118.63478088378906,2.0,4,61.08619689941406,2.0,4,57.49875259399414,2.0,4
graylog2-server,104.81189727783205,2.0,4,12.51093578338623,8.0,16,12.33595848083496,8.0,16
cloudify,118.30065155029295,2.0,4,52.01845550537109,8.0,16,46.789695739746094,4.0,8
vagrant,114.90626525878906,2.0,4,22.267946243286133,7.0,16,22.267946243286133,7.0,16
opal,112.6068344116211,2.0,4,25.64102554321289,7.5,16,25.356124877929688,7.5,16
orbeon-forms,120.76923370361328,2.0,4,117.008544921875,1.0,2,103.84615325927734,2.0,4
loomio,118.49747467041016,2.0,4,59.40656661987305,2.0,4,57.13383865356445,2.0,4
