,tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
0,1680613,openSUSE/open-build-service,0.0,,,ruby,,master,1.0,e14f9f3aa29ae8daa10747b908e01c8fde87fc0a,merge_found,,,2012-06-20 19:29:12,21,e14f9f3aa29ae8daa10747b908e01c8fde87fc0a#32fe5e43503b17d4489796b3122e70c871a0623e#794482cbca1d40df8b1de699f30c472eed125c65#323bf858b69926a8c929ff91f60d147437307f66#e04a4a398d2dbea20e1add058626d17808a39e1d#6b1928c169203dbe785787279cb99d989f13cb06#a9efb753bc7988faaa6218ce51edf4da1e1a6477#13fbafb16447414aa1fdfaa0e448774837226b96#0a5810e019a9bc617deb91c48da121d5d0430c82#77adaa2cad565968a431091f5dc269834f42412c#846901649f30049ddb6b7425083facf3e3d6bc42#5f5f7ed944fc7f8cdac66cb61c4c50bd2f6e5e7c#05297245432aa62a17272fb0885886bb62011662#18e71d966f191a7e3ce5a403c56a944c36e1fe7f#5d1791e242239e88356f8b1814255cbd493c89c7#5c965e5d68b09da804eb7bb4c18edcd5a2fea249#860467f89a50048411ba1d086be459834de779e4#97c7ba3f8565ac1e85391cd1d29c72700381b162#e40af6cbe67fa3451735ad9a7ef572ad5ab8f973#c24f055402bf930d4db60df0f9627ee223164b9b#48a51c4e31b1f8870fd414941ff24327046d68cd#a461d03ea360cfe68a49e92884763596ea9a9fb0#8ee33173a96eb789dcd482e0c1d83198bfd78179#3c51a309899afc82d3576944968a53497bbc6280#1c47bf945000d870e682d76e79d493505a904c12#33d1d1e349c3547a53dd82e2a0a2af80e051885e#51ff5a06c611bc49b749650af2d648d2d62cb865#609488fd2cc7d4cc614bf3d248f555923f224c0d,28,e14f9f3aa29ae8daa10747b908e01c8fde87fc0a,,e14f9f3aa29ae8daa10747b908e01c8fde87fc0a,,0,,383,0,2,0,18,0,0,10,2,7,1607,29331,707.715386451195,14.523882581569,141.488527496505,0.0,,2012-06-22 10:10:31,2012-06-22 10:10:34,failed,155,[1680614],1,1680614,ruby,unknown,,ruby,,0.0,,,,,,,,,0
42,1774290,openSUSE/open-build-service,0.0,,,ruby,,master,1.0,aaa2d6b03bac71e9812a9beeaf293777509ecbee,build_found,4bb820e19022610ee6fc4968363e1e9ff76bc01a,1770166.0,2012-07-04 07:56:26,17,aaa2d6b03bac71e9812a9beeaf293777509ecbee,1,aaa2d6b03bac71e9812a9beeaf293777509ecbee,,aaa2d6b03bac71e9812a9beeaf293777509ecbee,,0,,0,0,0,0,1,0,0,0,0,1,442,28796,718.780386164745,14.7589943047646,142.867064870121,1.0,,2012-07-04 07:57:32,2012-07-04 07:57:36,passed,4234,"[1774292, 1774293, 1774294, 1774291, 1774295, 1774296]",54,1774296,ruby,unknown,,ruby,,0.0,,,,,,,,,0
43,1774498,openSUSE/open-build-service,0.0,,,ruby,,master,2.0,8b4752a19c815a8510f36c427fa6879d6669af79#96b4364645a79ddd984432e010b5831e3d3f9383,build_found,aaa2d6b03bac71e9812a9beeaf293777509ecbee,1774290.0,2012-07-04 08:02:45,17,96b4364645a79ddd984432e010b5831e3d3f9383#8b4752a19c815a8510f36c427fa6879d6669af79,2,96b4364645a79ddd984432e010b5831e3d3f9383,,96b4364645a79ddd984432e010b5831e3d3f9383,,0,,15,0,0,0,3,0,0,2,1,0,566,28791,718.905213434754,14.7615574311417,142.891875933451,1.0,,2012-07-04 08:34:53,2012-07-04 08:34:54,failed,5041,"[1774499, 1774502, 1774504, 1774503, 1774501, 1774500]",55,1774504,ruby,unknown,,ruby,,0.0,,,,,,,,,0
44,1774621,openSUSE/open-build-service,0.0,,,ruby,,master,1.0,4283ba09ef2b5eff2cd657240fa441fb471485c9,build_found,96b4364645a79ddd984432e010b5831e3d3f9383,1774498.0,2012-07-04 08:53:13,17,4283ba09ef2b5eff2cd657240fa441fb471485c9,1,4283ba09ef2b5eff2cd657240fa441fb471485c9,,4283ba09ef2b5eff2cd657240fa441fb471485c9,,0,,10,0,0,0,1,0,0,1,0,0,2,28799,718.705510608007,14.7574568561408,142.852182367443,1.0,,2012-07-04 08:53:56,2012-07-04 08:54:07,passed,4280,"[1774626, 1774624, 1774625, 1774627, 1774622, 1774623]",56,1774622,ruby,unknown,,ruby,,0.0,,,,,,,,,0
45,1775145,openSUSE/open-build-service,0.0,,,ruby,,master,2.0,b88cea05dcf31d3d579f8c76ed2a63c6731e11d5#7e20cb69468eac677b517b1f12ee4706b8c8ec7e,build_found,4283ba09ef2b5eff2cd657240fa441fb471485c9,1774621.0,2012-07-04 08:43:25,17,7e20cb69468eac677b517b1f12ee4706b8c8ec7e#b88cea05dcf31d3d579f8c76ed2a63c6731e11d5,2,7e20cb69468eac677b517b1f12ee4706b8c8ec7e,,7e20cb69468eac677b517b1f12ee4706b8c8ec7e,,0,,156,43,0,0,9,0,0,7,0,1,1558,28826,719.003677235829,14.7436342191077,143.308124609727,1.0,,2012-07-04 10:09:12,2012-07-04 10:09:31,passed,4170,"[1775148, 1775149, 1775151, 1775150, 1775147, 1775146]",58,1775148,ruby,unknown,,ruby,,0.0,,,,,,,,,0
46,1775443,openSUSE/open-build-service,0.0,,,ruby,,master,1.0,b81118f4420be35f4cb44b03b04dfbc72cea8221,build_found,7e20cb69468eac677b517b1f12ee4706b8c8ec7e,1775145.0,2012-07-04 11:07:26,17,b81118f4420be35f4cb44b03b04dfbc72cea8221,1,b81118f4420be35f4cb44b03b04dfbc72cea8221,,b81118f4420be35f4cb44b03b04dfbc72cea8221,,0,,34,0,0,0,1,0,0,1,0,0,92,28826,719.003677235829,14.7436342191077,143.308124609727,1.0,,2012-07-04 11:07:47,2012-07-04 11:07:57,passed,4522,"[1775447, 1775448, 1775444, 1775445, 1775446, 1775449]",59,1775446,ruby,unknown,,ruby,,0.0,,,,,,,,,0
47,1775454,openSUSE/open-build-service,0.0,,,ruby,,master,1.0,bc7f1e70010562d9dac3d304719cf043f3f57a2a,build_found,b81118f4420be35f4cb44b03b04dfbc72cea8221,1775443.0,2012-07-04 11:09:48,17,bc7f1e70010562d9dac3d304719cf043f3f57a2a,1,bc7f1e70010562d9dac3d304719cf043f3f57a2a,,bc7f1e70010562d9dac3d304719cf043f3f57a2a,,0,,0,0,0,0,1,0,0,0,0,1,591,28826,719.003677235829,14.7436342191077,143.308124609727,1.0,,2012-07-04 11:10:11,2012-07-04 11:10:17,passed,4854,"[1775459, 1775458, 1775457, 1775456, 1775455, 1775460]",60,1775458,ruby,unknown,,ruby,,0.0,,,,,,,,,0
48,1775578,openSUSE/open-build-service,0.0,,,ruby,,master,1.0,244244683ccf902a64e9d584573bef36bfe1ceae,build_found,bc7f1e70010562d9dac3d304719cf043f3f57a2a,1775454.0,2012-07-04 11:32:07,17,244244683ccf902a64e9d584573bef36bfe1ceae,1,244244683ccf902a64e9d584573bef36bfe1ceae,,244244683ccf902a64e9d584573bef36bfe1ceae,,0,,11,0,0,0,2,0,0,1,0,1,717,28826,719.003677235829,14.7436342191077,143.308124609727,1.0,,2012-07-04 11:32:31,2012-07-04 11:32:42,passed,4123,"[1775584, 1775583, 1775582, 1775581, 1775579, 1775580]",61,1775579,ruby,unknown,,ruby,,0.0,,,,,,,,,0
49,1775693,openSUSE/open-build-service,0.0,,,ruby,,master,1.0,83177ac3a813b3d2873ae131c71caa614c334c62,build_found,244244683ccf902a64e9d584573bef36bfe1ceae,1775578.0,2012-07-04 11:51:45,17,83177ac3a813b3d2873ae131c71caa614c334c62,1,83177ac3a813b3d2873ae131c71caa614c334c62,,83177ac3a813b3d2873ae131c71caa614c334c62,,0,,0,0,0,0,1,0,0,0,0,1,593,28826,719.003677235829,14.7436342191077,143.308124609727,1.0,,2012-07-04 11:52:10,2012-07-04 11:52:17,passed,4367,"[1775697, 1775695, 1775696, 1775694, 1775699, 1775698]",62,1775697,ruby,unknown,,ruby,,0.0,,,,,,,,,0
50,1776175,openSUSE/open-build-service,0.0,,,ruby,,master,1.0,176a2773b16c48f135f62e990684c5b2e0e7da19,build_found,83177ac3a813b3d2873ae131c71caa614c334c62,1775693.0,2012-07-04 12:44:51,17,176a2773b16c48f135f62e990684c5b2e0e7da19,1,176a2773b16c48f135f62e990684c5b2e0e7da19,,176a2773b16c48f135f62e990684c5b2e0e7da19,,0,,0,0,0,0,1,0,0,0,0,1,189,28826,719.003677235829,14.7436342191077,143.308124609727,1.0,,2012-07-04 12:45:24,2012-07-04 12:45:34,passed,4190,"[1776177, 1776178, 1776179, 1776176, 1776180, 1776181]",63,1776179,ruby,unknown,,ruby,,0.0,,,,,,,,,0
