tr_build_id,gh_project_name,gh_is_pr,gh_pr_created_at,gh_pull_req_num,gh_lang,git_merged_with,git_branch,gh_num_commits_in_push,gh_commits_in_push,git_prev_commit_resolution_status,git_prev_built_commit,tr_prev_build,gh_first_commit_created_at,gh_team_size,git_all_built_commits,git_num_all_built_commits,git_trigger_commit,tr_virtual_merged_into,tr_original_commit,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,gh_description_complexity,gh_pushed_at,gh_build_started_at,tr_status,tr_duration,tr_jobs,tr_build_number,tr_job_id,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration,build_successful
8068919,chef/chef,0.0,,,ruby,,master,,,merge_found,,,,27,9a95a632921001d971365382414ca0c44aca27e4#98c245244836f65839b795cb992b371c575d777e,2,9a95a632921001d971365382414ca0c44aca27e4,,9a95a632921001d971365382414ca0c44aca27e4,,0,,2,41,1,0,3,0,0,3,0,1,23,40631,1277.02985405232,131.303684378922,226.846496517437,0.0,,,2013-06-13 22:19:49,passed,1542,"[8068920, 8068921, 8068922]",1,8068922,ruby,ok,,ruby,rspec,1.0,,7993,0,7993,253,,52.04,,0
8101978,chef/chef,0.0,,,ruby,,master,,,merge_found,,,,27,86310112ed1aa81045f179d47c89e3cfb65e12e7,1,86310112ed1aa81045f179d47c89e3cfb65e12e7,,86310112ed1aa81045f179d47c89e3cfb65e12e7,,0,,9,262,1,0,14,0,0,15,0,0,140,40631,1277.8174300411,131.328296128572,226.846496517437,1.0,,,2013-06-14 22:05:50,passed,1476,"[8101979, 8101981, 8101980]",15,8101981,ruby,ok,,ruby,rspec,1.0,,7994,0,7994,253,,11.02,,0
8104535,chef/chef,0.0,,,ruby,,master,,,build_found,86310112ed1aa81045f179d47c89e3cfb65e12e7,8101978,,27,51d8059bd067f1a67361db3705648e4394c85d84,1,51d8059bd067f1a67361db3705648e4394c85d84,,51d8059bd067f1a67361db3705648e4394c85d84,,0,,0,4,0,0,1,0,0,1,0,0,18,40631,1277.8174300411,131.328296128572,226.846496517437,1.0,,,2013-06-14 23:58:30,passed,1409,"[8104538, 8104537, 8104536]",17,8104538,ruby,ok,,ruby,rspec,1.0,,7994,0,7994,253,,22.13,,0
8105096,chef/chef,0.0,,,ruby,,master,,,build_found,51d8059bd067f1a67361db3705648e4394c85d84,8104535,,27,8eb66a3463bb58a96b68dc156551f5772264b725,1,8eb66a3463bb58a96b68dc156551f5772264b725,,8eb66a3463bb58a96b68dc156551f5772264b725,,0,,2,12,0,0,3,0,0,2,1,0,29,40631,1277.8174300411,131.328296128572,226.846496517437,1.0,,,2013-06-15 00:27:27,passed,1568,"[8105098, 8105097, 8105099]",22,8105098,ruby,ok,,ruby,rspec,1.0,,7995,0,7995,253,,56.16,,0
8175780,chef/chef,0.0,,,ruby,,master,,,merge_found,,,,28,4886a8d160dfdcedd6960e7a5e89fd9514c44769,1,4886a8d160dfdcedd6960e7a5e89fd9514c44769,,4886a8d160dfdcedd6960e7a5e89fd9514c44769,,0,,274,62,2,0,8,0,0,10,0,0,51,40681,1276.1977335857,131.16688380325,226.567685160148,1.0,,,2013-06-17 21:07:52,passed,1687,"[8175782, 8175781, 8175783]",27,8175782,ruby,ok,,ruby,rspec,1.0,,7995,0,7995,244,,47.07,,0
8175938,chef/chef,0.0,,,ruby,,master,,,build_found,4886a8d160dfdcedd6960e7a5e89fd9514c44769,8175780,,28,6f0296cb2ff48210222d25468bf854f91f9fd124,1,6f0296cb2ff48210222d25468bf854f91f9fd124,,6f0296cb2ff48210222d25468bf854f91f9fd124,,0,,2,2,0,0,2,0,0,2,0,0,10,40681,1276.1977335857,131.16688380325,226.567685160148,0.0,,,2013-06-17 21:14:10,passed,1557,"[8175939, 8175941, 8175940]",28,8175940,ruby,ok,,ruby,rspec,1.0,,7995,0,7995,244,,42.34,,0
8176141,chef/chef,0.0,,,ruby,,master,,,merge_found,,,,28,66e2b95126d677e140742cc60118d196196715f9,1,66e2b95126d677e140742cc60118d196196715f9,,66e2b95126d677e140742cc60118d196196715f9,,0,,37,0,0,1,1,0,0,2,0,0,10,40663,1276.76265892826,131.224946511571,226.667978260335,1.0,,,2013-06-17 21:21:12,passed,1575,"[8176143, 8176142, 8176144]",29,8176143,ruby,ok,,ruby,rspec,1.0,,7995,0,7995,244,,23.24,,0
8202621,chef/chef,0.0,,,ruby,,master,,,merge_found,,,,28,81a6c19e402f71336dc4f1c6bfcf439c74c426cf,1,81a6c19e402f71336dc4f1c6bfcf439c74c426cf,,81a6c19e402f71336dc4f1c6bfcf439c74c426cf,,0,,2,3,0,0,2,0,0,2,0,0,5,40663,1276.78725130954,131.224946511571,226.667978260335,1.0,,,2013-06-18 16:35:02,passed,1832,"[8202623, 8202622, 8202624]",50,8202623,ruby,ok,,ruby,rspec,1.0,,7996,0,7996,244,,42.29,,0
8202898,chef/chef,0.0,,,ruby,,master,,,merge_found,,,,28,e43d7ebda3d9334df8f01a2e072db93cedead776,1,e43d7ebda3d9334df8f01a2e072db93cedead776,,e43d7ebda3d9334df8f01a2e072db93cedead776,,0,,170,176,1,0,3,0,0,4,0,0,38,40694,1275.22484887207,131.075834275323,226.102128077849,1.0,,,2013-06-18 16:43:40,passed,1742,"[8202901, 8202900, 8202899]",51,8202899,ruby,ok,,ruby,rspec,1.0,,7994,0,7994,258,,54.12,,0
8203200,chef/chef,0.0,,,ruby,,master,,,build_found,e43d7ebda3d9334df8f01a2e072db93cedead776,8202898,,28,a11b6e98c5ab975bb918ce86d35eadf1fbae4683#6776b22d717acd3af9e1c018c8aaf842c1bc23b4,2,a11b6e98c5ab975bb918ce86d35eadf1fbae4683,,a11b6e98c5ab975bb918ce86d35eadf1fbae4683,,0,,6,55,0,0,2,0,0,2,0,0,14,40694,1276.330662997,131.174128864206,226.200422666732,0.0,,,2013-06-18 17:23:16,passed,1706,"[8203201, 8203202, 8203203]",52,8203203,ruby,ok,,ruby,rspec,1.0,,7997,0,7997,244,,43.72,,0
8205514,chef/chef,0.0,,,ruby,,master,,,build_found,a11b6e98c5ab975bb918ce86d35eadf1fbae4683,8203200,,28,cd2f13334f118aa0f48332ee99f9d42b02bf29d9#8706908bed44e627303bfcca87a48a2e011335e6#b88df4d6991254740c5b04f7a4032b4d8ba32e12,3,cd2f13334f118aa0f48332ee99f9d42b02bf29d9,,cd2f13334f118aa0f48332ee99f9d42b02bf29d9,,0,,70,140,2,0,2,0,0,2,0,0,0,40728,1277.76959340012,131.35926144176,226.551758004321,0.0,,,2013-06-18 17:57:23,passed,1869,"[8205515, 8205516, 8205517]",54,8205516,ruby,ok,,ruby,rspec,1.0,,8010,0,8010,244,,34.19,,0
8206054,chef/chef,0.0,,,ruby,,master,,,build_found,cd2f13334f118aa0f48332ee99f9d42b02bf29d9,8205514,,28,e0925fc0192ffa20e2bc0bef6ef0626d2ef75619,1,e0925fc0192ffa20e2bc0bef6ef0626d2ef75619,,e0925fc0192ffa20e2bc0bef6ef0626d2ef75619,,0,,6,9,0,0,2,0,0,2,0,0,14,40728,1277.96601846396,131.38381457474,226.576311137301,0.0,,,2013-06-18 18:20:12,passed,1898,"[8206055, 8206056, 8206057]",55,8206055,ruby,ok,,ruby,rspec,1.0,,8011,0,8011,258,,11.46,,0
8206695,chef/chef,0.0,,,ruby,,master,,,build_found,e0925fc0192ffa20e2bc0bef6ef0626d2ef75619,8206054,,28,1c45026031490eea4a235af0fd5f0fabd8e1c57f#06e78bf338cbb5558e5a41b5fbad3b2866ca1343#ec619d7352a6ed4c7d87ae76ab5db6b21e90e29d#6bd4f732c6651e4ac38e7069030929f226c8cc51#a0a59852283a3cacd23791e1f86fc6b7634b0035#d2a420a48c6bfe4a6c57569c9fea2e3fbaaea5ad#f33f0f7953d65271ac4e7f81101b7fa50671f096#db2730e41d2b99c4f8c52de67278355a60849c1d,8,1c45026031490eea4a235af0fd5f0fabd8e1c57f,,1c45026031490eea4a235af0fd5f0fabd8e1c57f,,0,,54,29,0,0,2,0,0,2,0,0,4,40735,1278.16374125445,131.434884006383,226.733767030809,1.0,,,2013-06-18 18:23:50,passed,1647,"[8206698, 8206697, 8206696]",56,8206697,ruby,ok,,ruby,rspec,1.0,,8014,0,8014,244,,41.56,,0
8207336,chef/chef,0.0,,,ruby,,master,,,build_found,1c45026031490eea4a235af0fd5f0fabd8e1c57f,8206695,,28,309635b8b05f620704627be421eef508a735f68b#a6b85925db688b174d7a5b9876aff42841226875#57df2074d5cf8395ac9dcdec6865cd3092eeb898#f637885a94d2568573211772cffa399701dd7812#260ac75d76108fff4612508a45c98aeb26a1fe8d#78322cac75b972960f180f3341dc4a6e6605564e#c62887e615c0df7737f6434aaf9a082475f0fc11#c5f346229fd31867734635b555e593ce08d1d8e0#a961f079d07542030140df355c167f3a506a764c#88db604600b118203f999c1218d7a6fccdc83eb6#b5e95c654f312a5e07ae29e063316b0ad5535bbf,11,309635b8b05f620704627be421eef508a735f68b,,309635b8b05f620704627be421eef508a735f68b,,0,,119,602,0,0,2,0,0,2,0,0,18,40746,1281.86815883768,131.718450890885,227.457909978894,1.0,,,2013-06-18 18:49:17,passed,1598,"[8207339, 8207338, 8207337]",58,8207337,ruby,ok,,ruby,rspec,1.0,,8027,0,8027,258,,36.76,,0
8209393,chef/chef,0.0,,,ruby,,master,,,build_found,309635b8b05f620704627be421eef508a735f68b,8207336,,28,e0fce91c08881c08081bc8e1720c6df00f21c234#5144cf38f43e82778f9fb55b9ffb1c86e6436baa#8d24bf282c27ebc44ee3178fe6f2d7d41d355e6d#f50ec2bbaef307b9775481675c5708e48880a515,4,e0fce91c08881c08081bc8e1720c6df00f21c234,,e0fce91c08881c08081bc8e1720c6df00f21c234,,0,,23,31,2,0,3,0,0,5,0,0,25,40759,1281.90092985598,131.725508476655,227.48350057656,0.0,,,2013-06-18 19:30:18,passed,1714,"[8209396, 8209394, 8209395]",60,8209395,ruby,ok,,ruby,rspec,1.0,,8029,0,8029,244,,50.59,,0
8209852,chef/chef,0.0,,,ruby,,master,,,build_found,e0fce91c08881c08081bc8e1720c6df00f21c234,8209393,,28,879f4b995aacece234466504c5df46d93a96b869,1,879f4b995aacece234466504c5df46d93a96b869,,879f4b995aacece234466504c5df46d93a96b869,,0,,2,2,0,0,2,0,0,2,0,0,6,40759,1281.90092985598,131.725508476655,227.48350057656,1.0,,,2013-06-18 19:39:32,passed,1829,"[8209855, 8209853, 8209854]",61,8209853,ruby,ok,,ruby,rspec,1.0,,8029,0,8029,258,,26.49,,0
8211263,chef/chef,0.0,,,ruby,,master,,,merge_found,,,,28,82397c4d9f04c8ac8e24bed52b6aa00a3cefe258,1,82397c4d9f04c8ac8e24bed52b6aa00a3cefe258,,82397c4d9f04c8ac8e24bed52b6aa00a3cefe258,,0,,55,9,0,0,2,0,0,2,0,0,3,40787,1281.21705445362,131.659597420747,227.351852305882,1.0,,,2013-06-18 20:20:29,passed,1811,"[8211264, 8211266, 8211265]",62,8211264,ruby,ok,,ruby,rspec,1.0,,8030,0,8030,258,,48.28,,0
8212065,chef/chef,0.0,,,ruby,,master,,,build_found,82397c4d9f04c8ac8e24bed52b6aa00a3cefe258,8211263,,28,184f8b91ae7758a709fa18ce4322f800aa868d48#d8975a8aa5b9a6efa1ce70e23c29581dbee4844f,2,184f8b91ae7758a709fa18ce4322f800aa868d48,,184f8b91ae7758a709fa18ce4322f800aa868d48,,0,,0,23,0,0,1,0,0,1,0,0,4,40787,1281.4867482286,131.659597420747,227.547993233138,1.0,,,2013-06-18 20:45:35,passed,1831,"[8212067, 8212066, 8212068]",63,8212067,ruby,ok,,ruby,rspec,1.0,,8030,0,8030,244,,18.82,,0
8212382,chef/chef,0.0,,,ruby,,master,,,build_found,184f8b91ae7758a709fa18ce4322f800aa868d48,8212065,,28,4ee5dc9c95e75ec835c6e6d35298ef67c445b579#febf9c2be9a35ac5f756c207f4dad9853839951a,2,4ee5dc9c95e75ec835c6e6d35298ef67c445b579,,4ee5dc9c95e75ec835c6e6d35298ef67c445b579,,0,,123,50,0,0,3,0,0,3,0,0,12,40726,1284.4374600992,131.881353435152,228.060698325394,1.0,,,2013-06-18 21:09:55,passed,1933,"[8212385, 8212383, 8212384]",64,8212383,ruby,ok,,ruby,rspec,1.0,,8031,0,8031,258,,54.5,,0
8214902,chef/chef,0.0,,,ruby,,master,,,merge_found,,,,28,55fcbe532a14fe1458f469cb932fbe6059e758cc,1,55fcbe532a14fe1458f469cb932fbe6059e758cc,,55fcbe532a14fe1458f469cb932fbe6059e758cc,,0,,0,8,0,0,1,0,0,1,0,0,5,40726,1284.4374600992,131.881353435152,228.060698325394,1.0,,,2013-06-18 22:13:31,passed,1610,"[8214903, 8214905, 8214904]",69,8214904,ruby,ok,,ruby,rspec,1.0,,8031,0,8031,244,,39.67,,0
8244033,chef/chef,0.0,,,ruby,,master,,,merge_found,,,,28,26e73a83cb5d80103d9d3efc9f403d2f4ca2b3a9,1,26e73a83cb5d80103d9d3efc9f403d2f4ca2b3a9,,26e73a83cb5d80103d9d3efc9f403d2f4ca2b3a9,,0,,25,35,0,0,2,0,0,2,0,0,19,40740,1284.7324496809,131.934216985763,228.154148257241,1.0,,,2013-06-19 16:19:06,passed,1624,"[8244036, 8244034, 8244035]",75,8244034,ruby,ok,,ruby,rspec,1.0,,8036,0,8036,258,,25.08,,0
8247445,chef/chef,0.0,,,ruby,,master,,,merge_found,,,,28,4510e2da72db8e5db1a7662407a3c57801a702bf,1,4510e2da72db8e5db1a7662407a3c57801a702bf,,4510e2da72db8e5db1a7662407a3c57801a702bf,,0,,0,174,1,0,0,0,0,1,0,0,1,40740,1287.53068237604,132.106038291605,228.375061364752,1.0,,,2013-06-19 17:52:00,passed,1700,"[8247447, 8247446, 8247448]",77,8247448,ruby,ok,,ruby,rspec,1.0,,8035,0,8035,244,,42.36,,0
8247909,chef/chef,0.0,,,ruby,,master,,,build_found,4510e2da72db8e5db1a7662407a3c57801a702bf,8247445,,28,71fbdcfda3926455c231b6a027471a5d4767c56c,1,71fbdcfda3926455c231b6a027471a5d4767c56c,,71fbdcfda3926455c231b6a027471a5d4767c56c,,0,,0,238,0,0,1,0,0,1,0,0,2,40740,1291.62984781541,132.498772704958,228.964162984782,1.0,,,2013-06-19 18:10:43,passed,1595,"[8247911, 8247910, 8247912]",78,8247912,ruby,ok,,ruby,rspec,1.0,,8035,0,8035,244,,3.86,,0
