,project,method,algorithm,batch_size,builds_reqd,batch_delays,sbs_delays
0,cloud_controller_ng.csv,gr,BATCHBISECT,2,76.2845849802372,1.0,0.0
1,cloud_controller_ng.csv,gr,BATCHBISECT,4,76.6798418972332,2.0,0.0
2,cloud_controller_ng.csv,gr,BATCH4,4,75.8893280632411,2.0,0.0
3,cloud_controller_ng.csv,gr,BATCHSTOP4,4,75.8893280632411,2.0,0.0
4,cloud_controller_ng.csv,gr,BATCHBISECT,8,82.2134387351779,4.0,0.0
5,cloud_controller_ng.csv,gr,BATCHSTOP4,8,81.4229249011858,4.0,0.0
6,cloud_controller_ng.csv,gr,BATCHBISECT,16,88.5375494071146,8.0,0.0
7,cloud_controller_ng.csv,gr,BATCHSTOP4,16,86.9565217391304,8.0,0.0
8,cloudify.csv,gr,BATCHBISECT,2,57.3770491803279,0.5,0.0
9,cloudify.csv,gr,BATCHBISECT,4,39.344262295082,1.5,0.0
10,cloudify.csv,gr,BATCH4,4,38.9344262295082,1.5,0.0
11,cloudify.csv,gr,BATCHSTOP4,4,38.9344262295082,1.5,0.0
12,cloudify.csv,gr,BATCHBISECT,8,32.5819672131148,3.5,0.0
13,cloudify.csv,gr,BATCHSTOP4,8,32.172131147541,3.5,0.0
14,cloudify.csv,gr,BATCHBISECT,16,31.3524590163934,8.0,0.0
15,cloudify.csv,gr,BATCHSTOP4,16,30.9426229508197,8.0,0.0
16,concerto.csv,gr,BATCHBISECT,2,60.3448275862069,0.5,0.0
17,concerto.csv,gr,BATCHBISECT,4,45.8620689655172,2.0,0.0
18,concerto.csv,gr,BATCH4,4,45.8620689655172,2.0,0.0
19,concerto.csv,gr,BATCHSTOP4,4,45.8620689655172,2.0,0.0
20,concerto.csv,gr,BATCHBISECT,8,42.4137931034483,4.0,0.0
21,concerto.csv,gr,BATCHSTOP4,8,42.4137931034483,4.0,0.0
22,concerto.csv,gr,BATCHBISECT,16,43.7931034482759,8.0,0.0
23,concerto.csv,gr,BATCHSTOP4,16,43.7931034482759,8.0,0.0
24,fog.csv,gr,BATCHBISECT,2,78.0626780626781,1.0,0.0
25,fog.csv,gr,BATCHBISECT,4,76.3532763532764,2.0,0.0
26,fog.csv,gr,BATCH4,4,71.5099715099715,2.0,0.0
27,fog.csv,gr,BATCHSTOP4,4,71.5099715099715,2.0,0.0
28,fog.csv,gr,BATCHBISECT,8,79.7720797720798,4.0,0.0
29,fog.csv,gr,BATCHSTOP4,8,74.9287749287749,4.0,0.0
30,fog.csv,gr,BATCHBISECT,16,83.7606837606838,8.0,0.0
31,fog.csv,gr,BATCHSTOP4,16,78.3475783475784,8.0,0.0
32,geoserver.csv,gr,BATCHBISECT,2,97.6190476190476,0.5,0.0
33,geoserver.csv,gr,BATCHBISECT,4,107.142857142857,1.5,0.0
34,geoserver.csv,gr,BATCH4,4,94.0476190476191,1.5,0.0
35,geoserver.csv,gr,BATCHSTOP4,4,94.0476190476191,1.5,0.0
36,geoserver.csv,gr,BATCHBISECT,8,118.452380952381,3.5,0.0
37,geoserver.csv,gr,BATCHSTOP4,8,105.357142857143,3.5,0.0
38,geoserver.csv,gr,BATCHBISECT,16,124.404761904762,8.0,0.0
39,geoserver.csv,gr,BATCHSTOP4,16,111.309523809524,8.0,0.0
40,gradle.csv,gr,BATCHBISECT,2,57.2710951526032,1.0,0.0
41,gradle.csv,gr,BATCHBISECT,4,39.4973070017953,2.0,0.0
42,gradle.csv,gr,BATCH4,4,39.4973070017953,2.0,0.0
43,gradle.csv,gr,BATCHSTOP4,4,39.4973070017953,2.0,0.0
44,gradle.csv,gr,BATCHBISECT,8,33.7522441651706,4.0,0.0
45,gradle.csv,gr,BATCHSTOP4,8,33.7522441651706,4.0,0.0
46,gradle.csv,gr,BATCHBISECT,16,33.572710951526,8.0,0.0
47,gradle.csv,gr,BATCHSTOP4,16,33.572710951526,8.0,0.0
48,graylog2-server.csv,gr,BATCHBISECT,2,53.6159600997506,1.0,0.0
49,graylog2-server.csv,gr,BATCHBISECT,4,32.1695760598504,2.0,0.0
50,graylog2-server.csv,gr,BATCH4,4,32.1695760598504,2.0,0.0
51,graylog2-server.csv,gr,BATCHSTOP4,4,32.1695760598504,2.0,0.0
52,graylog2-server.csv,gr,BATCHBISECT,8,23.1920199501247,4.0,0.0
53,graylog2-server.csv,gr,BATCHSTOP4,8,23.1920199501247,4.0,0.0
54,graylog2-server.csv,gr,BATCHBISECT,16,20.4488778054863,8.0,0.0
55,graylog2-server.csv,gr,BATCHSTOP4,16,20.4488778054863,8.0,0.0
56,jruby.csv,gr,BATCHBISECT,2,84.9878934624697,1.0,0.0
57,jruby.csv,gr,BATCHBISECT,4,88.6198547215496,2.0,0.0
58,jruby.csv,gr,BATCH4,4,82.3244552058111,2.0,0.0
59,jruby.csv,gr,BATCHSTOP4,4,82.3244552058111,2.0,0.0
60,jruby.csv,gr,BATCHBISECT,8,95.8837772397095,4.0,0.0
61,jruby.csv,gr,BATCHSTOP4,8,89.588377723971,4.0,0.0
62,jruby.csv,gr,BATCHBISECT,16,101.694915254237,8.0,0.0
63,jruby.csv,gr,BATCHSTOP4,16,94.9152542372881,8.0,0.0
64,loomio.csv,gr,BATCHBISECT,2,74.6341463414634,1.0,0.0
65,loomio.csv,gr,BATCHBISECT,4,68.2926829268293,2.0,0.0
66,loomio.csv,gr,BATCH4,4,62.4390243902439,2.0,0.0
67,loomio.csv,gr,BATCHSTOP4,4,62.4390243902439,2.0,0.0
68,loomio.csv,gr,BATCHBISECT,8,71.219512195122,4.0,0.0
69,loomio.csv,gr,BATCHSTOP4,8,65.3658536585366,4.0,0.0
70,loomio.csv,gr,BATCHBISECT,16,74.6341463414634,8.0,0.0
71,loomio.csv,gr,BATCHSTOP4,16,68.2926829268293,8.0,0.0
72,metasploit-framework.csv,gr,BATCHBISECT,2,56.2905317769131,1.0,0.0
73,metasploit-framework.csv,gr,BATCHBISECT,4,37.2243839169909,2.0,0.0
74,metasploit-framework.csv,gr,BATCH4,4,36.9649805447471,2.0,0.0
75,metasploit-framework.csv,gr,BATCHSTOP4,4,36.9649805447471,2.0,0.0
76,metasploit-framework.csv,gr,BATCHBISECT,8,30.2204928664073,4.0,0.0
77,metasploit-framework.csv,gr,BATCHSTOP4,8,29.9610894941634,4.0,0.0
78,metasploit-framework.csv,gr,BATCHBISECT,16,28.1452658884566,8.0,0.0
79,metasploit-framework.csv,gr,BATCHSTOP4,16,27.8858625162127,8.0,0.0
80,opal.csv,gr,BATCHBISECT,2,58.0357142857143,0.5,0.0
81,opal.csv,gr,BATCHBISECT,4,40.1785714285714,1.5,0.0
82,opal.csv,gr,BATCH4,4,39.2857142857143,1.5,0.0
83,opal.csv,gr,BATCHSTOP4,4,39.2857142857143,1.5,0.0
84,opal.csv,gr,BATCHBISECT,8,34.8214285714286,3.5,0.0
85,opal.csv,gr,BATCHSTOP4,8,33.9285714285714,3.5,0.0
86,opal.csv,gr,BATCHBISECT,16,34.8214285714286,7.5,0.0
87,opal.csv,gr,BATCHSTOP4,16,33.9285714285714,7.5,0.0
88,open-build-service.csv,gr,BATCHBISECT,2,70.6008583690987,0.5,0.0
89,open-build-service.csv,gr,BATCHBISECT,4,64.1630901287554,2.0,0.0
90,open-build-service.csv,gr,BATCH4,4,62.0171673819743,2.0,0.0
91,open-build-service.csv,gr,BATCHSTOP4,4,62.0171673819743,2.0,0.0
92,open-build-service.csv,gr,BATCHBISECT,8,66.7381974248927,4.0,0.0
93,open-build-service.csv,gr,BATCHSTOP4,8,64.5922746781116,4.0,0.0
94,open-build-service.csv,gr,BATCHBISECT,16,71.2446351931331,8.0,0.0
95,open-build-service.csv,gr,BATCHSTOP4,16,69.0987124463519,8.0,0.0
96,orbeon-forms.csv,gr,BATCHBISECT,2,67.381974248927,1.0,0.0
97,orbeon-forms.csv,gr,BATCHBISECT,4,59.656652360515,2.0,0.0
98,orbeon-forms.csv,gr,BATCH4,4,59.656652360515,2.0,0.0
99,orbeon-forms.csv,gr,BATCHSTOP4,4,59.656652360515,2.0,0.0
100,orbeon-forms.csv,gr,BATCHBISECT,8,60.9442060085837,4.0,0.0
101,orbeon-forms.csv,gr,BATCHSTOP4,8,60.9442060085837,4.0,0.0
102,orbeon-forms.csv,gr,BATCHBISECT,16,63.9484978540773,8.0,0.0
103,orbeon-forms.csv,gr,BATCHSTOP4,16,63.9484978540773,8.0,0.0
