,project,algorithm,batch_size,builds_reqd,median_delay,testall_size,method
109,cloud_controller_ng.csv,BATCH4,4,73.09136420525657,2.0,2397,gr
104,cloud_controller_ng.csv,BATCHBISECT,1,100.0,0.0,2397,gr
105,cloud_controller_ng.csv,BATCHBISECT,2,80.1418439716312,1.0,2397,gr
106,cloud_controller_ng.csv,BATCHBISECT,4,79.09887359198999,2.0,2397,gr
107,cloud_controller_ng.csv,BATCHBISECT,8,83.77138089278264,4.0,2397,gr
108,cloud_controller_ng.csv,BATCHBISECT,16,88.4438881935753,8.0,2397,gr
110,cloud_controller_ng.csv,BATCHSTOP4,8,77.59699624530663,4.0,2397,gr
111,cloud_controller_ng.csv,BATCHSTOP4,16,82.26950354609929,8.0,2397,gr
45,cloudify.csv,BATCH4,4,51.52711406607106,2.0,4813,gr
40,cloudify.csv,BATCHBISECT,1,100.0,0.0,4813,gr
41,cloudify.csv,BATCHBISECT,2,71.16143777269895,1.0,4813,gr
42,cloudify.csv,BATCHBISECT,4,59.42239767296904,2.0,4813,gr
43,cloudify.csv,BATCHBISECT,8,55.682526490754206,4.0,4813,gr
44,cloudify.csv,BATCHBISECT,16,55.32931643465614,8.0,4813,gr
46,cloudify.csv,BATCHSTOP4,8,47.78724288385622,4.0,4813,gr
47,cloudify.csv,BATCHSTOP4,16,47.43403282775815,8.0,4813,gr
125,concerto.csv,BATCH4,4,46.75946063505872,2.0,2299,gr
120,concerto.csv,BATCHBISECT,1,100.0,0.0,2299,gr
121,concerto.csv,BATCHBISECT,2,63.41887777294476,1.0,2299,gr
122,concerto.csv,BATCHBISECT,4,49.2822966507177,2.0,2299,gr
123,concerto.csv,BATCHBISECT,8,45.67203131796433,4.0,2299,gr
124,concerto.csv,BATCHBISECT,16,46.36798608090474,8.0,2299,gr
126,concerto.csv,BATCHSTOP4,8,43.14919530230535,4.0,2299,gr
127,concerto.csv,BATCHSTOP4,16,43.84515006524576,8.0,2299,gr
93,fog.csv,BATCH4,4,78.33273445921667,2.0,2783,gr
88,fog.csv,BATCHBISECT,1,100.0,0.0,2783,gr
89,fog.csv,BATCHBISECT,2,89.18433345310815,1.0,2783,gr
90,fog.csv,BATCHBISECT,4,90.83722601509164,2.0,2783,gr
91,fog.csv,BATCHBISECT,8,95.50844412504492,4.0,2783,gr
92,fog.csv,BATCHBISECT,16,98.88609414301114,8.0,2783,gr
94,fog.csv,BATCHSTOP4,8,83.00395256916995,4.0,2783,gr
95,fog.csv,BATCHSTOP4,16,86.38160258713619,8.0,2783,gr
141,geoserver.csv,BATCH4,4,98.57863365428702,2.0,2181,gr
136,geoserver.csv,BATCHBISECT,1,100.0,0.0,2181,gr
137,geoserver.csv,BATCHBISECT,2,109.62861072902338,1.0,2181,gr
138,geoserver.csv,BATCHBISECT,4,121.41219624025676,2.0,2181,gr
139,geoserver.csv,BATCHBISECT,8,130.90325538743696,4.0,2181,gr
140,geoserver.csv,BATCHBISECT,16,136.49701971572674,8.0,2181,gr
142,geoserver.csv,BATCHSTOP4,8,108.16139385602936,4.0,2181,gr
143,geoserver.csv,BATCHSTOP4,16,113.75515818431911,8.0,2181,gr
21,gradle.csv,BATCH4,4,42.38856181665265,2.0,3567,gr
16,gradle.csv,BATCHBISECT,1,100.0,0.0,3567,gr
17,gradle.csv,BATCHBISECT,2,59.99439304737875,1.0,3567,gr
18,gradle.csv,BATCHBISECT,4,43.67816091954023,2.0,3567,gr
19,gradle.csv,BATCHBISECT,8,38.968320717689934,4.0,3567,gr
20,gradle.csv,BATCHBISECT,16,38.940285954583686,8.0,3567,gr
22,gradle.csv,BATCHSTOP4,8,37.67872161480236,4.0,3567,gr
23,gradle.csv,BATCHSTOP4,16,37.6506868516961,8.0,3567,gr
157,graylog2-server.csv,BATCH4,4,32.77988614800759,1.5,2108,gr
152,graylog2-server.csv,BATCHBISECT,1,100.0,0.0,2108,gr
153,graylog2-server.csv,BATCHBISECT,2,54.7438330170778,0.5,2108,gr
154,graylog2-server.csv,BATCHBISECT,4,33.63377609108159,1.5,2108,gr
155,graylog2-server.csv,BATCHBISECT,8,24.193548387096776,4.0,2108,gr
156,graylog2-server.csv,BATCHBISECT,16,20.58823529411765,8.0,2108,gr
158,graylog2-server.csv,BATCHSTOP4,8,23.33965844402277,4.0,2108,gr
159,graylog2-server.csv,BATCHSTOP4,16,19.734345351043643,8.0,2108,gr
